;v0.3.135e1_chain8_Inc-CL_Ligne_8Summ
Total size of solve for extended hyp (NC) (min) ;5176;
Total size of solve for extended hyp (NC) (max) ;5176;
Global Max size of solve for own context (NC) (avg) ;38.0;
Global Max size of solve for own context (NC) (stddev) ;0.0;
Global Max size of solve for own context (NC) (min) ;38;
Global Max size of solve for own context (NC) (max) ;38;
Nb of solve for own context (NC) (avg) ;1309.0;
Nb of solve for own context (NC) (stddev) ;0.0;
Nb of solve for own context (NC) (min) ;1309;
Nb of solve for own context (NC) (max) ;1309;
Total size of solve for own context (NC) (avg) ;13135.0;
Total size of solve for own context (NC) (stddev) ;0.0;
Total size of solve for own context (NC) (min) ;13135;
Total size of solve for own context (NC) (max) ;13135;
Global Max size of solve for external context (NC) (avg) ;34.0;
Global Max size of solve for external context (NC) (stddev) ;0.0;
Global Max size of solve for external context (NC) (min) ;34;
Global Max size of solve for external context (NC) (max) ;34;
Nb of solve for external context (NC) (avg) ;1451.0;
Nb of solve for external context (NC) (stddev) ;0.0;
Nb of solve for external context (NC) (min) ;1451;
Nb of solve for external context (NC) (max) ;1451;
Total size of solve for external context (NC) (avg) ;8218.0;
Total size of solve for external context (NC) (stddev) ;0.0;
Total size of solve for external context (NC) (min) ;8218;
Total size of solve for external context (NC) (max) ;8218;
Global Max size of  sent messages (avg) ;44.0;
Global Max size of  sent messages (stddev) ;0.0;
Global Max size of  sent messages (min) ;44;
Global Max size of  sent messages (max) ;44;
Nb of  sent messages (avg) ;3271.0;
Nb of  sent messages (stddev) ;0.0;
Nb of  sent messages (min) ;3271;
Nb of  sent messages (max) ;3271;
Total size of  sent messages (avg) ;47746.0;
Total size of  sent messages (stddev) ;0.0;
Total size of  sent messages (min) ;47746;
Total size of  sent messages (max) ;47746;
Global Max size of  received messages (avg) ;44.0;
Global Max size of  received messages (stddev) ;0.0;
Global Max size of  received messages (min) ;44;
Global Max size of  received messages (max) ;44;
Nb of  received messages (avg) ;3294.0;
Nb of  received messages (stddev) ;0.0;
Nb of  received messages (min) ;3294;
Nb of  received messages (max) ;3294;
Total size of  received messages (avg) ;47746.0;
Total size of  received messages (stddev) ;0.0;
Total size of  received messages (min) ;47746;
Total size of  received messages (max) ;47746;
Global Max size of  initLocalConv (avg) ;1.0;
Global Max size of  initLocalConv (stddev) ;0.0;
Global Max size of  initLocalConv (min) ;1;
Global Max size of  initLocalConv (max) ;1;
Nb of  initLocalConv (avg) ;154.0;
Nb of  initLocalConv (stddev) ;0.0;
Nb of  initLocalConv (min) ;154;
Nb of  initLocalConv (max) ;154;
Total size of  initLocalConv (avg) ;154.0;
Total size of  initLocalConv (stddev) ;0.0;
Total size of  initLocalConv (min) ;154;
Total size of  initLocalConv (max) ;154;
Global Max size of  acceptLocalConv (avg) ;1.0;
Global Max size of  acceptLocalConv (stddev) ;0.0;
Global Max size of  acceptLocalConv (min) ;1;
Global Max size of  acceptLocalConv (max) ;1;
Nb of  acceptLocalConv (avg) ;154.0;
Nb of  acceptLocalConv (stddev) ;0.0;
Nb of  acceptLocalConv (min) ;154;
Nb of  acceptLocalConv (max) ;154;
Total size of  acceptLocalConv (avg) ;154.0;
Total size of  acceptLocalConv (stddev) ;0.0;
Total size of  acceptLocalConv (min) ;154;
Total size of  acceptLocalConv (max) ;154;
Global Max size of {Started} sent (avg) ;0.0;
Global Max size of {Started} sent (stddev) ;0.0;
Global Max size of {Started} sent (min) ;0;
Global Max size of {Started} sent (max) ;0;
Nb of {Started} sent (avg) ;8.0;
Nb of {Started} sent (stddev) ;0.0;
Nb of {Started} sent (min) ;8;
Nb of {Started} sent (max) ;8;
Total size of {Started} sent (avg) ;0.0;
Total size of {Started} sent (stddev) ;0.0;
Total size of {Started} sent (min) ;0;
Total size of {Started} sent (max) ;0;
