;v0.3.1395e1_DAREscheduleBisW2_Inc_DARE_8All
Max of max size of solve for hyp (avg) ;193.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;193;
Max of max size of solve for hyp (max) ;193;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;11.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;11;
Min of nb of solve for hyp (max) ;11;
Min of total size of solve for hyp (avg) ;189.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;189;
Min of total size of solve for hyp (max) ;189;
Min of max size of solve for hyp (avg) ;26.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;26;
Min of max size of solve for hyp (max) ;26;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;119.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;119;
Sum of nb of solve for hyp (max) ;119;
Sum of total size of solve for hyp (avg) ;6314.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;6314;
Sum of total size of solve for hyp (max) ;6314;
Sum of max size of solve for hyp (avg) ;779.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;779;
Sum of max size of solve for hyp (max) ;779;
Sum of min size of solve for hyp (avg) ;29.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;29;
Sum of min size of solve for hyp (max) ;29;
Average of nb of solve for hyp (avg) ;14.875;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;14.875;
Average of nb of solve for hyp (max) ;14.875;
Average of total size of solve for hyp (avg) ;789.25;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;789.25;
Average of total size of solve for hyp (max) ;789.25;
Average of max size of solve for hyp (avg) ;97.375;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;97.375;
Average of max size of solve for hyp (max) ;97.375;
Average of min size of solve for hyp (avg) ;3.625;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;3.625;
Average of min size of solve for hyp (max) ;3.625;
Standard deviation of nb of solve for hyp (avg) ;5.4184292004233106;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;5.4184292004233106;
Standard deviation of nb of solve for hyp (max) ;5.4184292004233106;
