;v0.3.12e10_exEcai-3ag_Inc-CL_Ligne_3Summ
Total size of solve for extended hyp (NC) (min) ;31;
Total size of solve for extended hyp (NC) (max) ;31;
Global Max size of solve for own context (NC) (avg) ;19.0;
Global Max size of solve for own context (NC) (stddev) ;0.0;
Global Max size of solve for own context (NC) (min) ;19;
Global Max size of solve for own context (NC) (max) ;19;
Nb of solve for own context (NC) (avg) ;31.0;
Nb of solve for own context (NC) (stddev) ;0.0;
Nb of solve for own context (NC) (min) ;31;
Nb of solve for own context (NC) (max) ;31;
Total size of solve for own context (NC) (avg) ;231.0;
Total size of solve for own context (NC) (stddev) ;0.0;
Total size of solve for own context (NC) (min) ;231;
Total size of solve for own context (NC) (max) ;231;
Global Max size of solve for external context (NC) (avg) ;19.0;
Global Max size of solve for external context (NC) (stddev) ;0.0;
Global Max size of solve for external context (NC) (min) ;19;
Global Max size of solve for external context (NC) (max) ;19;
Nb of solve for external context (NC) (avg) ;36.0;
Nb of solve for external context (NC) (stddev) ;0.0;
Nb of solve for external context (NC) (min) ;36;
Nb of solve for external context (NC) (max) ;36;
Total size of solve for external context (NC) (avg) ;182.0;
Total size of solve for external context (NC) (stddev) ;0.0;
Total size of solve for external context (NC) (min) ;182;
Total size of solve for external context (NC) (max) ;182;
Global Max size of  sent messages (avg) ;61.0;
Global Max size of  sent messages (stddev) ;0.0;
Global Max size of  sent messages (min) ;61;
Global Max size of  sent messages (max) ;61;
Nb of  sent messages (avg) ;97.0;
Nb of  sent messages (stddev) ;0.0;
Nb of  sent messages (min) ;97;
Nb of  sent messages (max) ;97;
Total size of  sent messages (avg) ;1514.0;
Total size of  sent messages (stddev) ;0.0;
Total size of  sent messages (min) ;1514;
Total size of  sent messages (max) ;1514;
Global Max size of  received messages (avg) ;61.0;
Global Max size of  received messages (stddev) ;0.0;
Global Max size of  received messages (min) ;61;
Global Max size of  received messages (max) ;61;
Nb of  received messages (avg) ;105.0;
Nb of  received messages (stddev) ;0.0;
