;v0.3.1395e2_exEcai-3ag_ECAI-CL_Clique_3All
Min of min size of solve step (max) ;2;
Sum of nb of solve step (avg) ;195.5;
Sum of nb of solve step (stddev) ;3.5;
Sum of nb of solve step (min) ;192;
Sum of nb of solve step (max) ;199;
Sum of total size of solve step (avg) ;1713.5;
Sum of total size of solve step (stddev) ;26.5;
Sum of total size of solve step (min) ;1687;
Sum of total size of solve step (max) ;1740;
Sum of max size of solve step (avg) ;90.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;90;
Sum of max size of solve step (max) ;90;
Sum of min size of solve step (avg) ;6.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;6;
Sum of min size of solve step (max) ;6;
Average of nb of solve step (avg) ;65.16666666666666;
Average of nb of solve step (stddev) ;1.1666666666666643;
Average of nb of solve step (min) ;64.0;
Average of nb of solve step (max) ;66.33333333333333;
Average of total size of solve step (avg) ;571.1666666666667;
Average of total size of solve step (stddev) ;8.833333333333314;
Average of total size of solve step (min) ;562.3333333333334;
Average of total size of solve step (max) ;580.0;
Average of max size of solve step (avg) ;30.0;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;30.0;
Average of max size of solve step (max) ;30.0;
Average of min size of solve step (avg) ;2.0;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;2.0;
Average of min size of solve step (max) ;2.0;
Standard deviation of nb of solve step (avg) ;12.750300584259474;
Standard deviation of nb of solve step (stddev) ;1.4858037517822735;
Standard deviation of nb of solve step (min) ;11.264496832477201;
Standard deviation of nb of solve step (max) ;14.236104336041748;
Standard deviation of total size of solve step (avg) ;59.517597645051126;
Standard deviation of total size of solve step (stddev) ;8.875059530668803;
Standard deviation of total size of solve step (min) ;50.642538114382326;
Standard deviation of total size of solve step (max) ;68.39265717571993;
Standard deviation of max size of solve step (avg) ;5.0990195135927845;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;5.0990195135927845;
Standard deviation of max size of solve step (max) ;5.0990195135927845;
Standard deviation of min size of solve step (avg) ;0.0;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.0;
Standard deviation of min size of solve step (max) ;0;
Product of nb of solve for hyp (avg) ;48.0;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;48;
Product of nb of solve for hyp (max) ;48;
Product of total size of solve for hyp (avg) ;30628.0;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;30628;
Product of total size of solve for hyp (max) ;30628;
Product of max size of solve for hyp (avg) ;1760.0;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;1760;
Product of max size of solve for hyp (max) ;1760;
Product of min size of solve for hyp (avg) ;168.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;168;
Product of min size of solve for hyp (max) ;168;
Max of nb of solve for hyp (avg) ;4.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;4;
Max of nb of solve for hyp (max) ;4;
Max of total size of solve for hyp (avg) ;38.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;38;
Max of total size of solve for hyp (max) ;38;
Max of max size of solve for hyp (avg) ;16.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;16;
Max of max size of solve for hyp (max) ;16;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;3.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;3;
Min of nb of solve for hyp (max) ;3;
Min of total size of solve for hyp (avg) ;26.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;26;
Min of total size of solve for hyp (max) ;26;
Min of max size of solve for hyp (avg) ;10.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;10;
Min of max size of solve for hyp (max) ;10;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;11.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;11;
Sum of nb of solve for hyp (max) ;11;
Sum of total size of solve for hyp (avg) ;95.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;95;
Sum of total size of solve for hyp (max) ;95;
Sum of max size of solve for hyp (avg) ;37.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;37;
Sum of max size of solve for hyp (max) ;37;
Sum of min size of solve for hyp (avg) ;18.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;18;
Sum of min size of solve for hyp (max) ;18;
Average of nb of solve for hyp (avg) ;3.6666666666666665;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;3.6666666666666665;
