;v0.3.12e10_exEcai-3ag_Inc_Ligne_3All
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;1.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;1;
Min of nb of solve for hyp (max) ;1;
Min of total size of solve for hyp (avg) ;8.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;8;
Min of total size of solve for hyp (max) ;8;
Min of max size of solve for hyp (avg) ;8.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;8;
Min of max size of solve for hyp (max) ;8;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;8.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;8;
Sum of nb of solve for hyp (max) ;8;
Sum of total size of solve for hyp (avg) ;67.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;67;
Sum of total size of solve for hyp (max) ;67;
Sum of max size of solve for hyp (avg) ;36.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;36;
Sum of max size of solve for hyp (max) ;36;
Sum of min size of solve for hyp (avg) ;18.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;18;
Sum of min size of solve for hyp (max) ;18;
Average of nb of solve for hyp (avg) ;2.666666666666667;
Average of nb of solve for hyp (stddev) ;4.440892098500626E-16;
Average of nb of solve for hyp (min) ;2.6666666666666665;
Average of nb of solve for hyp (max) ;2.6666666666666665;
Average of total size of solve for hyp (avg) ;22.333333333333336;
Average of total size of solve for hyp (stddev) ;3.552713678800501E-15;
Average of total size of solve for hyp (min) ;22.333333333333332;
Average of total size of solve for hyp (max) ;22.333333333333332;
Average of max size of solve for hyp (avg) ;12.0;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;12.0;
Average of max size of solve for hyp (max) ;12.0;
Average of min size of solve for hyp (avg) ;6.0;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;6.0;
Average of min size of solve for hyp (max) ;6.0;
Standard deviation of nb of solve for hyp (avg) ;1.2472191289246468;
Standard deviation of nb of solve for hyp (stddev) ;2.220446049250313E-16;
Standard deviation of nb of solve for hyp (min) ;1.247219128924647;
Standard deviation of nb of solve for hyp (max) ;1.247219128924647;
