;v0.3.135e1_chain8_Inc_Ligne_8Summ
Total size of solve for extended hyp (NC) (min) ;8446;
Total size of solve for extended hyp (NC) (max) ;8446;
Global Max size of solve for own context (NC) (avg) ;74.0;
Global Max size of solve for own context (NC) (stddev) ;0.0;
Global Max size of solve for own context (NC) (min) ;74;
Global Max size of solve for own context (NC) (max) ;74;
Nb of solve for own context (NC) (avg) ;1771.0;
Nb of solve for own context (NC) (stddev) ;0.0;
Nb of solve for own context (NC) (min) ;1771;
Nb of solve for own context (NC) (max) ;1771;
Total size of solve for own context (NC) (avg) ;29383.0;
Total size of solve for own context (NC) (stddev) ;0.0;
Total size of solve for own context (NC) (min) ;29383;
Total size of solve for own context (NC) (max) ;29383;
Global Max size of solve for external context (NC) (avg) ;74.0;
Global Max size of solve for external context (NC) (stddev) ;0.0;
Global Max size of solve for external context (NC) (min) ;74;
Global Max size of solve for external context (NC) (max) ;74;
Nb of solve for external context (NC) (avg) ;2398.0;
Nb of solve for external context (NC) (stddev) ;0.0;
Nb of solve for external context (NC) (min) ;2398;
Nb of solve for external context (NC) (max) ;2398;
Total size of solve for external context (NC) (avg) ;25941.0;
Total size of solve for external context (NC) (stddev) ;0.0;
Total size of solve for external context (NC) (min) ;25941;
Total size of solve for external context (NC) (max) ;25941;
Global Max size of  sent messages (avg) ;121.0;
Global Max size of  sent messages (stddev) ;0.0;
Global Max size of  sent messages (min) ;121;
Global Max size of  sent messages (max) ;121;
Nb of  sent messages (avg) ;2557.0;
Nb of  sent messages (stddev) ;0.0;
Nb of  sent messages (min) ;2557;
Nb of  sent messages (max) ;2557;
Total size of  sent messages (avg) ;60920.0;
Total size of  sent messages (stddev) ;0.0;
Total size of  sent messages (min) ;60920;
Total size of  sent messages (max) ;60920;
Global Max size of  received messages (avg) ;121.0;
Global Max size of  received messages (stddev) ;0.0;
Global Max size of  received messages (min) ;121;
Global Max size of  received messages (max) ;121;
Nb of  received messages (avg) ;2580.0;
Nb of  received messages (stddev) ;0.0;
Nb of  received messages (min) ;2580;
Nb of  received messages (max) ;2580;
Total size of  received messages (avg) ;60920.0;
Total size of  received messages (stddev) ;0.0;
Total size of  received messages (min) ;60920;
Total size of  received messages (max) ;60920;
Global Max size of  initLocalConv (avg) ;1.0;
Global Max size of  initLocalConv (stddev) ;0.0;
Global Max size of  initLocalConv (min) ;1;
Global Max size of  initLocalConv (max) ;1;
Nb of  initLocalConv (avg) ;98.0;
Nb of  initLocalConv (stddev) ;0.0;
Nb of  initLocalConv (min) ;98;
Nb of  initLocalConv (max) ;98;
Total size of  initLocalConv (avg) ;98.0;
Total size of  initLocalConv (stddev) ;0.0;
Total size of  initLocalConv (min) ;98;
