;v0.3.135e1_chain8_ECAI-CL_Ligne_8All
Sum of total size of {end of local conversation} sent (max) ;2960;
Sum of max size of {end of local conversation} sent (avg) ;80.0;
Sum of max size of {end of local conversation} sent (stddev) ;0.0;
Sum of max size of {end of local conversation} sent (min) ;80;
Sum of max size of {end of local conversation} sent (max) ;80;
Sum of min size of {end of local conversation} sent (avg) ;80.0;
Sum of min size of {end of local conversation} sent (stddev) ;0.0;
Sum of min size of {end of local conversation} sent (min) ;80;
Sum of min size of {end of local conversation} sent (max) ;80;
Average of nb of {end of local conversation} sent (avg) ;37.0;
Average of nb of {end of local conversation} sent (stddev) ;0.0;
Average of nb of {end of local conversation} sent (min) ;37.0;
Average of nb of {end of local conversation} sent (max) ;37.0;
Average of total size of {end of local conversation} sent (avg) ;370.0;
Average of total size of {end of local conversation} sent (stddev) ;0.0;
Average of total size of {end of local conversation} sent (min) ;370.0;
Average of total size of {end of local conversation} sent (max) ;370.0;
Average of max size of {end of local conversation} sent (avg) ;10.0;
Average of max size of {end of local conversation} sent (stddev) ;0.0;
Average of max size of {end of local conversation} sent (min) ;10.0;
Average of max size of {end of local conversation} sent (max) ;10.0;
Average of min size of {end of local conversation} sent (avg) ;10.0;
Average of min size of {end of local conversation} sent (stddev) ;0.0;
Average of min size of {end of local conversation} sent (min) ;10.0;
Average of min size of {end of local conversation} sent (max) ;10.0;
Standard deviation of nb of {end of local conversation} sent (avg) ;9.1104335791443;
Standard deviation of nb of {end of local conversation} sent (stddev) ;0.0;
Standard deviation of nb of {end of local conversation} sent (min) ;9.1104335791443;
Standard deviation of nb of {end of local conversation} sent (max) ;9.1104335791443;
Standard deviation of total size of {end of local conversation} sent (avg) ;91.10433579144299;
Standard deviation of total size of {end of local conversation} sent (stddev) ;0.0;
Standard deviation of total size of {end of local conversation} sent (min) ;91.10433579144299;
Standard deviation of total size of {end of local conversation} sent (max) ;91.10433579144299;
Standard deviation of max size of {end of local conversation} sent (avg) ;0.0;
Standard deviation of max size of {end of local conversation} sent (stddev) ;0.0;
Standard deviation of max size of {end of local conversation} sent (min) ;0.0;
Standard deviation of max size of {end of local conversation} sent (max) ;0;
Standard deviation of min size of {end of local conversation} sent (avg) ;0.0;
Standard deviation of min size of {end of local conversation} sent (stddev) ;0.0;
Standard deviation of min size of {end of local conversation} sent (min) ;0.0;
Standard deviation of min size of {end of local conversation} sent (max) ;0;
Product of nb of {accept request} sent (avg) ;1.124755632E10;
Product of nb of {accept request} sent (stddev) ;0.0;
Product of nb of {accept request} sent (min) ;11247556320;
Product of nb of {accept request} sent (max) ;11247556320;
Product of total size of {accept request} sent (avg) ;1.124755632E18;
Product of total size of {accept request} sent (stddev) ;0.0;
Product of total size of {accept request} sent (min) ;1124755632000000000;
Product of total size of {accept request} sent (max) ;1124755632000000000;
Product of max size of {accept request} sent (avg) ;1.0E8;
Product of max size of {accept request} sent (stddev) ;0.0;
Product of max size of {accept request} sent (min) ;100000000;
Product of max size of {accept request} sent (max) ;100000000;
Product of min size of {accept request} sent (avg) ;1.0E8;
Product of min size of {accept request} sent (stddev) ;0.0;
Product of min size of {accept request} sent (min) ;100000000;
Product of min size of {accept request} sent (max) ;100000000;
Max of nb of {accept request} sent (avg) ;27.0;
Max of nb of {accept request} sent (stddev) ;0.0;
Max of nb of {accept request} sent (min) ;27;
Max of nb of {accept request} sent (max) ;27;
Max of total size of {accept request} sent (avg) ;270.0;
Max of total size of {accept request} sent (stddev) ;0.0;
Max of total size of {accept request} sent (min) ;270;
Max of total size of {accept request} sent (max) ;270;
Max of max size of {accept request} sent (avg) ;10.0;
Max of max size of {accept request} sent (stddev) ;0.0;
Max of max size of {accept request} sent (min) ;10;
Max of max size of {accept request} sent (max) ;10;
Max of min size of {accept request} sent (avg) ;10.0;
Max of min size of {accept request} sent (stddev) ;0.0;
Max of min size of {accept request} sent (min) ;10;
Max of min size of {accept request} sent (max) ;10;
Min of nb of {accept request} sent (avg) ;13.0;
Min of nb of {accept request} sent (stddev) ;0.0;
Min of nb of {accept request} sent (min) ;13;
Min of nb of {accept request} sent (max) ;13;
Min of total size of {accept request} sent (avg) ;130.0;
Min of total size of {accept request} sent (stddev) ;0.0;
Min of total size of {accept request} sent (min) ;130;
Min of total size of {accept request} sent (max) ;130;
Min of max size of {accept request} sent (avg) ;10.0;
Min of max size of {accept request} sent (stddev) ;0.0;
Min of max size of {accept request} sent (min) ;10;
Min of max size of {accept request} sent (max) ;10;
Min of min size of {accept request} sent (avg) ;10.0;
Min of min size of {accept request} sent (stddev) ;0.0;
Min of min size of {accept request} sent (min) ;10;
Min of min size of {accept request} sent (max) ;10;
Sum of nb of {accept request} sent (avg) ;148.0;
Sum of nb of {accept request} sent (stddev) ;0.0;
Sum of nb of {accept request} sent (min) ;148;
Sum of nb of {accept request} sent (max) ;148;
Sum of total size of {accept request} sent (avg) ;1480.0;
Sum of total size of {accept request} sent (stddev) ;0.0;
Sum of total size of {accept request} sent (min) ;1480;
Sum of total size of {accept request} sent (max) ;1480;
Sum of max size of {accept request} sent (avg) ;80.0;
Sum of max size of {accept request} sent (stddev) ;0.0;
Sum of max size of {accept request} sent (min) ;80;
Sum of max size of {accept request} sent (max) ;80;
Sum of min size of {accept request} sent (avg) ;80.0;
Sum of min size of {accept request} sent (stddev) ;0.0;
Sum of min size of {accept request} sent (min) ;80;
Sum of min size of {accept request} sent (max) ;80;
Average of nb of {accept request} sent (avg) ;18.5;
Average of nb of {accept request} sent (stddev) ;0.0;
Average of nb of {accept request} sent (min) ;18.5;
Average of nb of {accept request} sent (max) ;18.5;
Average of total size of {accept request} sent (avg) ;185.0;
Average of total size of {accept request} sent (stddev) ;0.0;
Average of total size of {accept request} sent (min) ;185.0;
Average of total size of {accept request} sent (max) ;185.0;
Average of max size of {accept request} sent (avg) ;10.0;
Average of max size of {accept request} sent (stddev) ;0.0;
Average of max size of {accept request} sent (min) ;10.0;
Average of max size of {accept request} sent (max) ;10.0;
Average of min size of {accept request} sent (avg) ;10.0;
Average of min size of {accept request} sent (stddev) ;0.0;
Average of min size of {accept request} sent (min) ;10.0;
Average of min size of {accept request} sent (max) ;10.0;
Standard deviation of nb of {accept request} sent (avg) ;4.2130748865881795;
Standard deviation of nb of {accept request} sent (stddev) ;0.0;
Standard deviation of nb of {accept request} sent (min) ;4.2130748865881795;
Standard deviation of nb of {accept request} sent (max) ;4.2130748865881795;
Standard deviation of total size of {accept request} sent (avg) ;42.13074886588179;
Standard deviation of total size of {accept request} sent (stddev) ;0.0;
Standard deviation of total size of {accept request} sent (min) ;42.13074886588179;
Standard deviation of total size of {accept request} sent (max) ;42.13074886588179;
Standard deviation of max size of {accept request} sent (avg) ;0.0;
Standard deviation of max size of {accept request} sent (stddev) ;0.0;
Standard deviation of max size of {accept request} sent (min) ;0.0;
Standard deviation of max size of {accept request} sent (max) ;0;
Standard deviation of min size of {accept request} sent (avg) ;0.0;
Standard deviation of min size of {accept request} sent (stddev) ;0.0;
Standard deviation of min size of {accept request} sent (min) ;0.0;
Standard deviation of min size of {accept request} sent (max) ;0;
Product of nb of {deny} sent (avg) ;5.841264E11;
Product of nb of {deny} sent (stddev) ;0.0;
Product of nb of {deny} sent (min) ;584126400000;
Product of nb of {deny} sent (max) ;584126400000;
Product of total size of {deny} sent (avg) ;-7.9753192336844902E18;
Product of total size of {deny} sent (stddev) ;0.0;
Product of total size of {deny} sent (min) ;-7975319233684489952;
Product of total size of {deny} sent (max) ;0;
Product of max size of {deny} sent (avg) ;9.8074196224E10;
Product of max size of {deny} sent (stddev) ;0.0;
Product of max size of {deny} sent (min) ;98074196224;
Product of max size of {deny} sent (max) ;98074196224;
Product of min size of {deny} sent (avg) ;9.59512576E8;
Product of min size of {deny} sent (stddev) ;0.0;
Product of min size of {deny} sent (min) ;959512576;
Product of min size of {deny} sent (max) ;959512576;
Max of nb of {deny} sent (avg) ;50.0;
Max of nb of {deny} sent (stddev) ;0.0;
Max of nb of {deny} sent (min) ;50;
Max of nb of {deny} sent (max) ;50;
Max of total size of {deny} sent (avg) ;797.0;
Max of total size of {deny} sent (stddev) ;0.0;
Max of total size of {deny} sent (min) ;797;
Max of total size of {deny} sent (max) ;797;
Max of max size of {deny} sent (avg) ;37.0;
Max of max size of {deny} sent (stddev) ;0.0;
Max of max size of {deny} sent (min) ;37;
Max of max size of {deny} sent (max) ;37;
Max of min size of {deny} sent (avg) ;16.0;
Max of min size of {deny} sent (stddev) ;0.0;
Max of min size of {deny} sent (min) ;16;
Max of min size of {deny} sent (max) ;16;
Min of nb of {deny} sent (avg) ;22.0;
Min of nb of {deny} sent (stddev) ;0.0;
Min of nb of {deny} sent (min) ;22;
Min of nb of {deny} sent (max) ;22;
Min of total size of {deny} sent (avg) ;359.0;
Min of total size of {deny} sent (stddev) ;0.0;
Min of total size of {deny} sent (min) ;359;
Min of total size of {deny} sent (max) ;359;
Min of max size of {deny} sent (avg) ;16.0;
Min of max size of {deny} sent (stddev) ;0.0;
Min of max size of {deny} sent (min) ;16;
Min of max size of {deny} sent (max) ;16;
Min of min size of {deny} sent (avg) ;11.0;
Min of min size of {deny} sent (stddev) ;0.0;
Min of min size of {deny} sent (min) ;11;
Min of min size of {deny} sent (max) ;11;
Sum of nb of {deny} sent (avg) ;245.0;
Sum of nb of {deny} sent (stddev) ;0.0;
Sum of nb of {deny} sent (min) ;245;
Sum of nb of {deny} sent (max) ;245;
Sum of total size of {deny} sent (avg) ;4853.0;
Sum of total size of {deny} sent (stddev) ;0.0;
Sum of total size of {deny} sent (min) ;4853;
Sum of total size of {deny} sent (max) ;4853;
Sum of max size of {deny} sent (avg) ;198.0;
Sum of max size of {deny} sent (stddev) ;0.0;
Sum of max size of {deny} sent (min) ;198;
Sum of max size of {deny} sent (max) ;198;
Sum of min size of {deny} sent (avg) ;108.0;
Sum of min size of {deny} sent (stddev) ;0.0;
Sum of min size of {deny} sent (min) ;108;
Sum of min size of {deny} sent (max) ;108;
Average of nb of {deny} sent (avg) ;30.625;
Average of nb of {deny} sent (stddev) ;0.0;
Average of nb of {deny} sent (min) ;30.625;
Average of nb of {deny} sent (max) ;30.625;
Average of total size of {deny} sent (avg) ;606.625;
Average of total size of {deny} sent (stddev) ;0.0;
Average of total size of {deny} sent (min) ;606.625;
Average of total size of {deny} sent (max) ;606.625;
Average of max size of {deny} sent (avg) ;24.75;
Average of max size of {deny} sent (stddev) ;0.0;
Average of max size of {deny} sent (min) ;24.75;
Average of max size of {deny} sent (max) ;24.75;
Average of min size of {deny} sent (avg) ;13.5;
Average of min size of {deny} sent (stddev) ;0.0;
Average of min size of {deny} sent (min) ;13.5;
Average of min size of {deny} sent (max) ;13.5;
Standard deviation of nb of {deny} sent (avg) ;8.688174434252572;
Standard deviation of nb of {deny} sent (stddev) ;0.0;
Standard deviation of nb of {deny} sent (min) ;8.688174434252572;
Standard deviation of nb of {deny} sent (max) ;8.688174434252572;
Standard deviation of total size of {deny} sent (avg) ;134.12954325949224;
Standard deviation of total size of {deny} sent (stddev) ;0.0;
Standard deviation of total size of {deny} sent (min) ;134.12954325949224;
Standard deviation of total size of {deny} sent (max) ;134.12954325949224;
Standard deviation of max size of {deny} sent (avg) ;7.628073151196179;
Standard deviation of max size of {deny} sent (stddev) ;0.0;
Standard deviation of max size of {deny} sent (min) ;7.628073151196179;
Standard deviation of max size of {deny} sent (max) ;7.628073151196179;
Standard deviation of min size of {deny} sent (avg) ;2.5;
Standard deviation of min size of {deny} sent (stddev) ;0.0;
Standard deviation of min size of {deny} sent (min) ;2.5;
Standard deviation of min size of {deny} sent (max) ;2.5;
Product of nb of {argue} sent (avg) ;50000.0;
Product of nb of {argue} sent (stddev) ;0.0;
Product of nb of {argue} sent (min) ;50000;
Product of nb of {argue} sent (max) ;50000;
Product of total size of {argue} sent (avg) ;4.5715148354304E13;
Product of total size of {argue} sent (stddev) ;0.0;
Product of total size of {argue} sent (min) ;45715148354304;
Product of total size of {argue} sent (max) ;45715148354304;
Product of max size of {argue} sent (avg) ;1.475789056E9;
Product of max size of {argue} sent (stddev) ;0.0;
Product of max size of {argue} sent (min) ;1475789056;
Product of max size of {argue} sent (max) ;1475789056;
Product of min size of {argue} sent (avg) ;4.29981696E8;
Product of min size of {argue} sent (stddev) ;0.0;
Product of min size of {argue} sent (min) ;429981696;
Product of min size of {argue} sent (max) ;429981696;
Max of nb of {argue} sent (avg) ;5.0;
Max of nb of {argue} sent (stddev) ;0.0;
Max of nb of {argue} sent (min) ;5;
Max of nb of {argue} sent (max) ;5;
Max of total size of {argue} sent (avg) ;66.0;
Max of total size of {argue} sent (stddev) ;0.0;
Max of total size of {argue} sent (min) ;66;
Max of total size of {argue} sent (max) ;66;
Max of max size of {argue} sent (avg) ;14.0;
Max of max size of {argue} sent (stddev) ;0.0;
Max of max size of {argue} sent (min) ;14;
Max of max size of {argue} sent (max) ;14;
Max of min size of {argue} sent (avg) ;12.0;
Max of min size of {argue} sent (stddev) ;0.0;
Max of min size of {argue} sent (min) ;12;
Max of min size of {argue} sent (max) ;12;
Min of nb of {argue} sent (avg) ;2.0;
Min of nb of {argue} sent (stddev) ;0.0;
Min of nb of {argue} sent (min) ;2;
Min of nb of {argue} sent (max) ;2;
Min of total size of {argue} sent (avg) ;26.0;
Min of total size of {argue} sent (stddev) ;0.0;
Min of total size of {argue} sent (min) ;26;
Min of total size of {argue} sent (max) ;26;
Min of max size of {argue} sent (avg) ;14.0;
Min of max size of {argue} sent (stddev) ;0.0;
Min of max size of {argue} sent (min) ;14;
Min of max size of {argue} sent (max) ;14;
Min of min size of {argue} sent (avg) ;12.0;
Min of min size of {argue} sent (stddev) ;0.0;
Min of min size of {argue} sent (min) ;12;
Min of min size of {argue} sent (max) ;12;
Sum of nb of {argue} sent (avg) ;33.0;
Sum of nb of {argue} sent (stddev) ;0.0;
Sum of nb of {argue} sent (min) ;33;
Sum of nb of {argue} sent (max) ;33;
Sum of total size of {argue} sent (avg) ;436.0;
Sum of total size of {argue} sent (stddev) ;0.0;
Sum of total size of {argue} sent (min) ;436;
Sum of total size of {argue} sent (max) ;436;
Sum of max size of {argue} sent (avg) ;112.0;
Sum of max size of {argue} sent (stddev) ;0.0;
Sum of max size of {argue} sent (min) ;112;
Sum of max size of {argue} sent (max) ;112;
Sum of min size of {argue} sent (avg) ;96.0;
Sum of min size of {argue} sent (stddev) ;0.0;
Sum of min size of {argue} sent (min) ;96;
Sum of min size of {argue} sent (max) ;96;
Average of nb of {argue} sent (avg) ;4.125;
Average of nb of {argue} sent (stddev) ;0.0;
Average of nb of {argue} sent (min) ;4.125;
Average of nb of {argue} sent (max) ;4.125;
Average of total size of {argue} sent (avg) ;54.5;
Average of total size of {argue} sent (stddev) ;0.0;
Average of total size of {argue} sent (min) ;54.5;
Average of total size of {argue} sent (max) ;54.5;
Average of max size of {argue} sent (avg) ;14.0;
Average of max size of {argue} sent (stddev) ;0.0;
Average of max size of {argue} sent (min) ;14.0;
Average of max size of {argue} sent (max) ;14.0;
Average of min size of {argue} sent (avg) ;12.0;
Average of min size of {argue} sent (stddev) ;0.0;
Average of min size of {argue} sent (min) ;12.0;
Average of min size of {argue} sent (max) ;12.0;
Standard deviation of nb of {argue} sent (avg) ;1.2686114456365274;
Standard deviation of nb of {argue} sent (stddev) ;0.0;
Standard deviation of nb of {argue} sent (min) ;1.2686114456365274;
Standard deviation of nb of {argue} sent (max) ;1.2686114456365274;
Standard deviation of total size of {argue} sent (avg) ;16.904141504376966;
Standard deviation of total size of {argue} sent (stddev) ;0.0;
Standard deviation of total size of {argue} sent (min) ;16.904141504376966;
Standard deviation of total size of {argue} sent (max) ;16.904141504376966;
Standard deviation of max size of {argue} sent (avg) ;0.0;
Standard deviation of max size of {argue} sent (stddev) ;0.0;
Standard deviation of max size of {argue} sent (min) ;0.0;
Standard deviation of max size of {argue} sent (max) ;0;
Standard deviation of min size of {argue} sent (avg) ;0.0;
Standard deviation of min size of {argue} sent (stddev) ;0.0;
Standard deviation of min size of {argue} sent (min) ;0.0;
Standard deviation of min size of {argue} sent (max) ;0;
Product of nb of {ask other hypothesis} sent (avg) ;3.92771808E9;
Product of nb of {ask other hypothesis} sent (stddev) ;0.0;
Product of nb of {ask other hypothesis} sent (min) ;3927718080;
Product of nb of {ask other hypothesis} sent (max) ;3927718080;
Product of total size of {ask other hypothesis} sent (avg) ;1.805301788941728E16;
Product of total size of {ask other hypothesis} sent (stddev) ;0.0;
Product of total size of {ask other hypothesis} sent (min) ;18053017889417280;
Product of total size of {ask other hypothesis} sent (max) ;18053017889417280;
Product of max size of {ask other hypothesis} sent (avg) ;5764801.0;
Product of max size of {ask other hypothesis} sent (stddev) ;0.0;
Product of max size of {ask other hypothesis} sent (min) ;5764801;
Product of max size of {ask other hypothesis} sent (max) ;5764801;
Product of min size of {ask other hypothesis} sent (avg) ;10976.0;
Product of min size of {ask other hypothesis} sent (stddev) ;0.0;
Product of min size of {ask other hypothesis} sent (min) ;10976;
Product of min size of {ask other hypothesis} sent (max) ;10976;
Max of nb of {ask other hypothesis} sent (avg) ;26.0;
Max of nb of {ask other hypothesis} sent (stddev) ;0.0;
Max of nb of {ask other hypothesis} sent (min) ;26;
Max of nb of {ask other hypothesis} sent (max) ;26;
Max of total size of {ask other hypothesis} sent (avg) ;177.0;
Max of total size of {ask other hypothesis} sent (stddev) ;0.0;
Max of total size of {ask other hypothesis} sent (min) ;177;
Max of total size of {ask other hypothesis} sent (max) ;177;
Max of max size of {ask other hypothesis} sent (avg) ;7.0;
Max of max size of {ask other hypothesis} sent (stddev) ;0.0;
Max of max size of {ask other hypothesis} sent (min) ;7;
Max of max size of {ask other hypothesis} sent (max) ;7;
Max of min size of {ask other hypothesis} sent (avg) ;7.0;
Max of min size of {ask other hypothesis} sent (stddev) ;0.0;
Max of min size of {ask other hypothesis} sent (min) ;7;
Max of min size of {ask other hypothesis} sent (max) ;7;
Min of nb of {ask other hypothesis} sent (avg) ;11.0;
Min of nb of {ask other hypothesis} sent (stddev) ;0.0;
Min of nb of {ask other hypothesis} sent (min) ;11;
Min of nb of {ask other hypothesis} sent (max) ;11;
Min of total size of {ask other hypothesis} sent (avg) ;72.0;
Min of total size of {ask other hypothesis} sent (stddev) ;0.0;
Min of total size of {ask other hypothesis} sent (min) ;72;
Min of total size of {ask other hypothesis} sent (max) ;72;
Min of max size of {ask other hypothesis} sent (avg) ;7.0;
Min of max size of {ask other hypothesis} sent (stddev) ;0.0;
Min of max size of {ask other hypothesis} sent (min) ;7;
Min of max size of {ask other hypothesis} sent (max) ;7;
Min of min size of {ask other hypothesis} sent (avg) ;2.0;
Min of min size of {ask other hypothesis} sent (stddev) ;0.0;
Min of min size of {ask other hypothesis} sent (min) ;2;
Min of min size of {ask other hypothesis} sent (max) ;2;
Sum of nb of {ask other hypothesis} sent (avg) ;131.0;
Sum of nb of {ask other hypothesis} sent (stddev) ;0.0;
Sum of nb of {ask other hypothesis} sent (min) ;131;
Sum of nb of {ask other hypothesis} sent (max) ;131;
Sum of total size of {ask other hypothesis} sent (avg) ;892.0;
Sum of total size of {ask other hypothesis} sent (stddev) ;0.0;
Sum of total size of {ask other hypothesis} sent (min) ;892;
Sum of total size of {ask other hypothesis} sent (max) ;892;
Sum of max size of {ask other hypothesis} sent (avg) ;56.0;
Sum of max size of {ask other hypothesis} sent (stddev) ;0.0;
Sum of max size of {ask other hypothesis} sent (min) ;56;
Sum of max size of {ask other hypothesis} sent (max) ;56;
Sum of min size of {ask other hypothesis} sent (avg) ;31.0;
Sum of min size of {ask other hypothesis} sent (stddev) ;0.0;
Sum of min size of {ask other hypothesis} sent (min) ;31;
Sum of min size of {ask other hypothesis} sent (max) ;31;
Average of nb of {ask other hypothesis} sent (avg) ;16.375;
Average of nb of {ask other hypothesis} sent (stddev) ;0.0;
Average of nb of {ask other hypothesis} sent (min) ;16.375;
Average of nb of {ask other hypothesis} sent (max) ;16.375;
Average of total size of {ask other hypothesis} sent (avg) ;111.5;
Average of total size of {ask other hypothesis} sent (stddev) ;0.0;
Average of total size of {ask other hypothesis} sent (min) ;111.5;
Average of total size of {ask other hypothesis} sent (max) ;111.5;
Average of max size of {ask other hypothesis} sent (avg) ;7.0;
Average of max size of {ask other hypothesis} sent (stddev) ;0.0;
Average of max size of {ask other hypothesis} sent (min) ;7.0;
Average of max size of {ask other hypothesis} sent (max) ;7.0;
Average of min size of {ask other hypothesis} sent (avg) ;3.875;
Average of min size of {ask other hypothesis} sent (stddev) ;0.0;
Average of min size of {ask other hypothesis} sent (min) ;3.875;
Average of min size of {ask other hypothesis} sent (max) ;3.875;
Standard deviation of nb of {ask other hypothesis} sent (avg) ;4.414110895752394;
Standard deviation of nb of {ask other hypothesis} sent (stddev) ;0.0;
Standard deviation of nb of {ask other hypothesis} sent (min) ;4.414110895752394;
Standard deviation of nb of {ask other hypothesis} sent (max) ;4.414110895752394;
Standard deviation of total size of {ask other hypothesis} sent (avg) ;30.26136150274802;
Standard deviation of total size of {ask other hypothesis} sent (stddev) ;0.0;
Standard deviation of total size of {ask other hypothesis} sent (min) ;30.26136150274802;
Standard deviation of total size of {ask other hypothesis} sent (max) ;30.26136150274802;
Standard deviation of max size of {ask other hypothesis} sent (avg) ;0.0;
Standard deviation of max size of {ask other hypothesis} sent (stddev) ;0.0;
Standard deviation of max size of {ask other hypothesis} sent (min) ;0.0;
Standard deviation of max size of {ask other hypothesis} sent (max) ;0;
Standard deviation of min size of {ask other hypothesis} sent (avg) ;2.4206145913796355;
Standard deviation of min size of {ask other hypothesis} sent (stddev) ;0.0;
Standard deviation of min size of {ask other hypothesis} sent (min) ;2.4206145913796355;
Standard deviation of min size of {ask other hypothesis} sent (max) ;2.4206145913796355;
Product of nb of {check context} sent (avg) ;-160080.0;
Product of nb of {check context} sent (stddev) ;0.0;
Product of nb of {check context} sent (min) ;-160080;
Product of nb of {check context} sent (max) ;0;
Product of total size of {check context} sent (avg) ;-1.154256912864E12;
Product of total size of {check context} sent (stddev) ;0.0;
Product of total size of {check context} sent (min) ;-1154256912864;
Product of total size of {check context} sent (max) ;0;
Product of max size of {check context} sent (avg) ;-1.1290752E7;
Product of max size of {check context} sent (stddev) ;0.0;
Product of max size of {check context} sent (min) ;-11290752;
Product of max size of {check context} sent (max) ;0;
Product of min size of {check context} sent (avg) ;-5146416.0;
Product of min size of {check context} sent (stddev) ;0.0;
Product of min size of {check context} sent (min) ;-5146416;
Product of min size of {check context} sent (max) ;0;
Max of nb of {check context} sent (avg) ;60.0;
Max of nb of {check context} sent (stddev) ;0.0;
Max of nb of {check context} sent (min) ;60;
Max of nb of {check context} sent (max) ;60;
Max of total size of {check context} sent (avg) ;1656.0;
Max of total size of {check context} sent (stddev) ;0.0;
Max of total size of {check context} sent (min) ;1656;
Max of total size of {check context} sent (max) ;1656;
Max of max size of {check context} sent (avg) ;32.0;
Max of max size of {check context} sent (stddev) ;0.0;
Max of max size of {check context} sent (min) ;32;
Max of max size of {check context} sent (max) ;32;
Max of min size of {check context} sent (avg) ;27.0;
Max of min size of {check context} sent (stddev) ;0.0;
Max of min size of {check context} sent (min) ;27;
Max of min size of {check context} sent (max) ;27;
Min of nb of {check context} sent (avg) ;-1.0;
Min of nb of {check context} sent (stddev) ;0.0;
Min of nb of {check context} sent (min) ;-1;
Min of nb of {check context} sent (max) ;0;
Min of total size of {check context} sent (avg) ;-1.0;
Min of total size of {check context} sent (stddev) ;0.0;
Min of total size of {check context} sent (min) ;-1;
Min of total size of {check context} sent (max) ;0;
Min of max size of {check context} sent (avg) ;-1.0;
Min of max size of {check context} sent (stddev) ;0.0;
Min of max size of {check context} sent (min) ;-1;
Min of max size of {check context} sent (max) ;0;
Min of min size of {check context} sent (avg) ;-1.0;
Min of min size of {check context} sent (stddev) ;0.0;
Min of min size of {check context} sent (min) ;-1;
Min of min size of {check context} sent (max) ;0;
Sum of nb of {check context} sent (avg) ;135.0;
Sum of nb of {check context} sent (stddev) ;0.0;
Sum of nb of {check context} sent (min) ;135;
Sum of nb of {check context} sent (max) ;135;
Sum of total size of {check context} sent (avg) ;3275.0;
Sum of total size of {check context} sent (stddev) ;0.0;
Sum of total size of {check context} sent (min) ;3275;
Sum of total size of {check context} sent (max) ;3275;
Sum of max size of {check context} sent (avg) ;127.0;
Sum of max size of {check context} sent (stddev) ;0.0;
Sum of max size of {check context} sent (min) ;127;
Sum of max size of {check context} sent (max) ;127;
Sum of min size of {check context} sent (avg) ;108.0;
Sum of min size of {check context} sent (stddev) ;0.0;
Sum of min size of {check context} sent (min) ;108;
Sum of min size of {check context} sent (max) ;108;
Average of nb of {check context} sent (avg) ;16.875;
Average of nb of {check context} sent (stddev) ;0.0;
Average of nb of {check context} sent (min) ;16.875;
Average of nb of {check context} sent (max) ;16.875;
Average of total size of {check context} sent (avg) ;409.375;
Average of total size of {check context} sent (stddev) ;0.0;
Average of total size of {check context} sent (min) ;409.375;
Average of total size of {check context} sent (max) ;409.375;
Average of max size of {check context} sent (avg) ;15.875;
Average of max size of {check context} sent (stddev) ;0.0;
Average of max size of {check context} sent (min) ;15.875;
Average of max size of {check context} sent (max) ;15.875;
Average of min size of {check context} sent (avg) ;13.5;
Average of min size of {check context} sent (stddev) ;0.0;
Average of min size of {check context} sent (min) ;13.5;
Average of min size of {check context} sent (max) ;13.5;
Standard deviation of nb of {check context} sent (avg) ;23.14863656892129;
Standard deviation of nb of {check context} sent (stddev) ;0.0;
Standard deviation of nb of {check context} sent (min) ;23.14863656892129;
Standard deviation of nb of {check context} sent (max) ;23.14863656892129;
Standard deviation of total size of {check context} sent (avg) ;572.4646140810801;
Standard deviation of total size of {check context} sent (stddev) ;0.0;
Standard deviation of total size of {check context} sent (min) ;572.4646140810801;
Standard deviation of total size of {check context} sent (max) ;572.4646140810801;
Standard deviation of max size of {check context} sent (avg) ;13.401842224112325;
Standard deviation of max size of {check context} sent (stddev) ;0.0;
Standard deviation of max size of {check context} sent (min) ;13.401842224112325;
Standard deviation of max size of {check context} sent (max) ;13.401842224112325;
Standard deviation of min size of {check context} sent (avg) ;11.489125293076057;
Standard deviation of min size of {check context} sent (stddev) ;0.0;
Standard deviation of min size of {check context} sent (min) ;11.489125293076057;
Standard deviation of min size of {check context} sent (max) ;11.489125293076057;
Product of nb of {accept} sent (avg) ;1.0622976E10;
Product of nb of {accept} sent (stddev) ;0.0;
Product of nb of {accept} sent (min) ;10622976000;
Product of nb of {accept} sent (max) ;10622976000;
Product of total size of {accept} sent (avg) ;-1.13832071205292518E18;
Product of total size of {accept} sent (stddev) ;0.0;
Product of total size of {accept} sent (min) ;-1138320712052925184;
Product of total size of {accept} sent (max) ;0;
Product of max size of {accept} sent (avg) ;2.14681104E12;
Product of max size of {accept} sent (stddev) ;0.0;
Product of max size of {accept} sent (min) ;2146811040000;
Product of max size of {accept} sent (max) ;2146811040000;
Product of min size of {accept} sent (avg) ;5.3209143E9;
Product of min size of {accept} sent (stddev) ;0.0;
Product of min size of {accept} sent (min) ;5320914300;
Product of min size of {accept} sent (max) ;5320914300;
Max of nb of {accept} sent (avg) ;28.0;
Max of nb of {accept} sent (stddev) ;0.0;
Max of nb of {accept} sent (min) ;28;
Max of nb of {accept} sent (max) ;28;
Max of total size of {accept} sent (avg) ;539.0;
Max of total size of {accept} sent (stddev) ;0.0;
Max of total size of {accept} sent (min) ;539;
Max of total size of {accept} sent (max) ;539;
Max of max size of {accept} sent (avg) ;44.0;
Max of max size of {accept} sent (stddev) ;0.0;
Max of max size of {accept} sent (min) ;44;
Max of max size of {accept} sent (max) ;44;
Max of min size of {accept} sent (avg) ;25.0;
Max of min size of {accept} sent (stddev) ;0.0;
Max of min size of {accept} sent (min) ;25;
Max of min size of {accept} sent (max) ;25;
