;v0.3.1395e1_DAREscheduleBisW2_Inc-CL_DARE_8All
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;87;
Max of max size of solve for hyp (max) ;87;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;4.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;4;
Min of nb of solve for hyp (max) ;4;
Min of total size of solve for hyp (avg) ;44.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;44;
Min of total size of solve for hyp (max) ;44;
Min of max size of solve for hyp (avg) ;23.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;23;
Min of max size of solve for hyp (max) ;23;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;66.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;66;
Sum of nb of solve for hyp (max) ;66;
Sum of total size of solve for hyp (avg) ;1723.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;1723;
Sum of total size of solve for hyp (max) ;1723;
Sum of max size of solve for hyp (avg) ;409.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;409;
Sum of max size of solve for hyp (max) ;409;
Sum of min size of solve for hyp (avg) ;29.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;29;
Sum of min size of solve for hyp (max) ;29;
Average of nb of solve for hyp (avg) ;8.25;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;8.25;
Average of nb of solve for hyp (max) ;8.25;
Average of total size of solve for hyp (avg) ;215.375;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;215.375;
Average of total size of solve for hyp (max) ;215.375;
Average of max size of solve for hyp (avg) ;51.125;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;51.125;
Average of max size of solve for hyp (max) ;51.125;
Average of min size of solve for hyp (avg) ;3.625;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;3.625;
Average of min size of solve for hyp (max) ;3.625;
Standard deviation of nb of solve for hyp (avg) ;3.072051431861127;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;3.072051431861127;
Standard deviation of nb of solve for hyp (max) ;3.072051431861127;
Standard deviation of total size of solve for hyp (avg) ;165.57244449182963;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;165.57244449182963;
Standard deviation of total size of solve for hyp (max) ;165.57244449182963;
Standard deviation of max size of solve for hyp (avg) ;24.189034189070053;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
