;v0.3.13e10_exEcai-3ag_Inc_Clique_3Summ
Nb of solve for extended hyp (NC) (max) ;9;
Total size of solve for extended hyp (NC) (avg) ;40.2;
Total size of solve for extended hyp (NC) (stddev) ;1.4696938456699067;
Total size of solve for extended hyp (NC) (min) ;39;
Total size of solve for extended hyp (NC) (max) ;42;
Global Max size of solve for own context (NC) (avg) ;19.0;
Global Max size of solve for own context (NC) (stddev) ;0.0;
Global Max size of solve for own context (NC) (min) ;19;
Global Max size of solve for own context (NC) (max) ;19;
Nb of solve for own context (NC) (avg) ;50.6;
Nb of solve for own context (NC) (stddev) ;0.4898979485566356;
Nb of solve for own context (NC) (min) ;50;
Nb of solve for own context (NC) (max) ;51;
Total size of solve for own context (NC) (avg) ;379.2;
Total size of solve for own context (NC) (stddev) ;13.227244611029162;
Total size of solve for own context (NC) (min) ;363;
Total size of solve for own context (NC) (max) ;390;
Global Max size of solve for external context (NC) (avg) ;19.0;
Global Max size of solve for external context (NC) (stddev) ;0.0;
Global Max size of solve for external context (NC) (min) ;19;
Global Max size of solve for external context (NC) (max) ;19;
Nb of solve for external context (NC) (avg) ;60.2;
Nb of solve for external context (NC) (stddev) ;3.4292856398964497;
Nb of solve for external context (NC) (min) ;56;
Nb of solve for external context (NC) (max) ;63;
Total size of solve for external context (NC) (avg) ;326.6;
Total size of solve for external context (NC) (stddev) ;22.535305633605237;
Total size of solve for external context (NC) (min) ;299;
Total size of solve for external context (NC) (max) ;345;
Global Max size of  sent messages (avg) ;76.0;
Global Max size of  sent messages (stddev) ;0.0;
Global Max size of  sent messages (min) ;76;
Global Max size of  sent messages (max) ;76;
Nb of  sent messages (avg) ;126.4;
Nb of  sent messages (stddev) ;1.9595917942265424;
Nb of  sent messages (min) ;124;
Nb of  sent messages (max) ;128;
Total size of  sent messages (avg) ;2493.8;
Total size of  sent messages (stddev) ;111.69673227091292;
Total size of  sent messages (min) ;2357;
Total size of  sent messages (max) ;2585;
Global Max size of  received messages (avg) ;76.0;
Global Max size of  received messages (stddev) ;0.0;
Global Max size of  received messages (min) ;76;
Global Max size of  received messages (max) ;76;
Nb of  received messages (avg) ;136.4;
Nb of  received messages (stddev) ;1.9595917942265424;
Nb of  received messages (min) ;134;
Nb of  received messages (max) ;138;
Total size of  received messages (avg) ;2493.8;
Total size of  received messages (stddev) ;111.69673227091292;
Total size of  received messages (min) ;2357;
Total size of  received messages (max) ;2585;
Global Max size of  initLocalConv (avg) ;1.0;
Global Max size of  initLocalConv (stddev) ;0.0;
Global Max size of  initLocalConv (min) ;1;
Global Max size of  initLocalConv (max) ;1;
Nb of  initLocalConv (avg) ;6.0;
Nb of  initLocalConv (stddev) ;0.0;
Nb of  initLocalConv (min) ;6;
Nb of  initLocalConv (max) ;6;
Total size of  initLocalConv (avg) ;6.0;
Total size of  initLocalConv (stddev) ;0.0;
Total size of  initLocalConv (min) ;6;
Total size of  initLocalConv (max) ;6;
Global Max size of  acceptLocalConv (avg) ;1.0;
Global Max size of  acceptLocalConv (stddev) ;0.0;
Global Max size of  acceptLocalConv (min) ;1;
Global Max size of  acceptLocalConv (max) ;1;
Nb of  acceptLocalConv (avg) ;6.0;
Nb of  acceptLocalConv (stddev) ;0.0;
Nb of  acceptLocalConv (min) ;6;
Nb of  acceptLocalConv (max) ;6;
Total size of  acceptLocalConv (avg) ;6.0;
Total size of  acceptLocalConv (stddev) ;0.0;
Total size of  acceptLocalConv (min) ;6;
Total size of  acceptLocalConv (max) ;6;
Global Max size of {Started} sent (avg) ;0.0;
Global Max size of {Started} sent (stddev) ;0.0;
Global Max size of {Started} sent (min) ;0;
Global Max size of {Started} sent (max) ;0;
Nb of {Started} sent (avg) ;3.0;
Nb of {Started} sent (stddev) ;0.0;
Nb of {Started} sent (min) ;3;
Nb of {Started} sent (max) ;3;
Total size of {Started} sent (avg) ;0.0;
Total size of {Started} sent (stddev) ;0.0;
Total size of {Started} sent (min) ;0;
Total size of {Started} sent (max) ;0;
Global Max size of {Request} sent (avg) ;18.0;
Global Max size of {Request} sent (stddev) ;0.0;
Global Max size of {Request} sent (min) ;18;
Global Max size of {Request} sent (max) ;18;
Nb of {Request} sent (avg) ;6.0;
Nb of {Request} sent (stddev) ;0.0;
Nb of {Request} sent (min) ;6;
Nb of {Request} sent (max) ;6;
Total size of {Request} sent (avg) ;108.0;
Total size of {Request} sent (stddev) ;0.0;
Total size of {Request} sent (min) ;108;
Total size of {Request} sent (max) ;108;
Global Max size of {Propose} sent (avg) ;76.0;
Global Max size of {Propose} sent (stddev) ;0.0;
Global Max size of {Propose} sent (min) ;76;
Global Max size of {Propose} sent (max) ;76;
Nb of {Propose} sent (avg) ;17.6;
Nb of {Propose} sent (stddev) ;0.4898979485566356;
Nb of {Propose} sent (min) ;17;
Nb of {Propose} sent (max) ;18;
Total size of {Propose} sent (avg) ;626.2;
Total size of {Propose} sent (stddev) ;10.777754868245982;
Total size of {Propose} sent (min) ;613;
Total size of {Propose} sent (max) ;635;
Global Max size of {Acknowledge confirmation} sent (avg) ;59.2;
Global Max size of {Acknowledge confirmation} sent (stddev) ;20.575713839378697;
Global Max size of {Acknowledge confirmation} sent (min) ;34;
Global Max size of {Acknowledge confirmation} sent (max) ;76;
Nb of {Acknowledge confirmation} sent (avg) ;13.6;
Nb of {Acknowledge confirmation} sent (stddev) ;0.48989794855663565;
Nb of {Acknowledge confirmation} sent (min) ;13;
Nb of {Acknowledge confirmation} sent (max) ;14;
Total size of {Acknowledge confirmation} sent (avg) ;365.6;
Total size of {Acknowledge confirmation} sent (stddev) ;37.232244090304306;
Total size of {Acknowledge confirmation} sent (min) ;320;
Total size of {Acknowledge confirmation} sent (max) ;396;
Global Max size of {Acknowledge} sent (avg) ;2.0;
Global Max size of {Acknowledge} sent (stddev) ;0.0;
Global Max size of {Acknowledge} sent (min) ;2;
Global Max size of {Acknowledge} sent (max) ;2;
Nb of {Acknowledge} sent (avg) ;11.6;
Nb of {Acknowledge} sent (stddev) ;0.48989794855663565;
Nb of {Acknowledge} sent (min) ;11;
Nb of {Acknowledge} sent (max) ;12;
Total size of {Acknowledge} sent (avg) ;23.2;
Total size of {Acknowledge} sent (stddev) ;0.9797958971132713;
Total size of {Acknowledge} sent (min) ;22;
Total size of {Acknowledge} sent (max) ;24;
Global Max size of {Confirm context} sent (avg) ;64.0;
Global Max size of {Confirm context} sent (stddev) ;0.0;
Global Max size of {Confirm context} sent (min) ;64;
Global Max size of {Confirm context} sent (max) ;64;
Nb of {Confirm context} sent (avg) ;15.6;
Nb of {Confirm context} sent (stddev) ;0.48989794855663565;
Nb of {Confirm context} sent (min) ;15;
Nb of {Confirm context} sent (max) ;16;
Total size of {Confirm context} sent (avg) ;413.4;
Total size of {Confirm context} sent (stddev) ;31.353468707624682;
Total size of {Confirm context} sent (min) ;375;
Total size of {Confirm context} sent (max) ;439;
Global Max size of {Completeness counter-example} sent (avg) ;10.0;
Global Max size of {Completeness counter-example} sent (stddev) ;0.0;
Global Max size of {Completeness counter-example} sent (min) ;10;
Global Max size of {Completeness counter-example} sent (max) ;10;
Nb of {Completeness counter-example} sent (avg) ;8.0;
Nb of {Completeness counter-example} sent (stddev) ;0.0;
