;v0.3.1395e2_chain8_Inc-CL_Ligne_8All
Theory redundancy (avg) ;2.28;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;2.28;
Theory redundancy (max) ;2.28;
Manifestations redundancy (avg) ;8.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;8.0;
Manifestations redundancy (max) ;8.0;
Nb of Total number of external subsumes (avg) ;174615.0;
Nb of Total number of external subsumes (stddev) ;130.0;
Nb of Total number of external subsumes (min) ;174485;
Nb of Total number of external subsumes (max) ;174745;
Total size of Total number of external subsumes (avg) ;362310.5;
Total size of Total number of external subsumes (stddev) ;266.5;
Total size of Total number of external subsumes (min) ;362044;
Total size of Total number of external subsumes (max) ;362577;
Max size of Total number of external subsumes (avg) ;4.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;4;
Max size of Total number of external subsumes (max) ;4;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;3.0947398893095511E18;
Product of nb of solve step (stddev) ;4.4009489395768064E16;
Product of nb of solve step (min) ;3050730399913782768;
Product of nb of solve step (max) ;3138749378705318976;
Product of total size of solve step (avg) ;-4.4777193403852262E18;
Product of total size of solve step (stddev) ;9.678730105481437E18;
Product of total size of solve step (min) ;1811845490036563424;
Product of total size of solve step (max) ;7679459902902535240;
Product of max size of solve step (avg) ;1.51898592384E12;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;1518985923840;
Product of max size of solve step (max) ;1518985923840;
Product of min size of solve step (avg) ;384.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;384;
Product of min size of solve step (max) ;384;
Max of nb of solve step (avg) ;448.0;
Max of nb of solve step (stddev) ;6.0;
Max of nb of solve step (min) ;442;
Max of nb of solve step (max) ;454;
