;v0.3.1395e1_chain8-4_ECAI_Circuit_4All
Standard deviation of max size of solve for extended hyp (min) ;3.3541019662496847;
Standard deviation of max size of solve for extended hyp (max) ;3.3541019662496847;
Standard deviation of min size of solve for extended hyp (avg) ;3.5;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;3.5;
Standard deviation of min size of solve for extended hyp (max) ;3.5;
Product of nb of solve for own context (avg) ;1.367399828E9;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;1367399828;
Product of nb of solve for own context (max) ;1367399828;
Product of total size of solve for own context (avg) ;1.639097901952E13;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;16390979019520;
Product of total size of solve for own context (max) ;16390979019520;
Product of max size of solve for own context (avg) ;1215000.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;1215000;
Product of max size of solve for own context (max) ;1215000;
Product of min size of solve for own context (avg) ;256.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;256;
Product of min size of solve for own context (max) ;256;
Max of nb of solve for own context (avg) ;323.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;323;
Max of nb of solve for own context (max) ;323;
Max of total size of solve for own context (avg) ;3832.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;3832;
Max of total size of solve for own context (max) ;3832;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;151.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;151;
Min of nb of solve for own context (max) ;151;
Min of total size of solve for own context (avg) ;1480.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;1480;
Min of total size of solve for own context (max) ;1480;
Min of max size of solve for own context (avg) ;30.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;30;
Min of max size of solve for own context (max) ;30;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;809.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;809;
Sum of nb of solve for own context (max) ;809;
Sum of total size of solve for own context (avg) ;8715.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;8715;
Sum of total size of solve for own context (max) ;8715;
Sum of max size of solve for own context (avg) ;135.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;135;
Sum of max size of solve for own context (max) ;135;
Sum of min size of solve for own context (avg) ;16.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;16;
Sum of min size of solve for own context (max) ;16;
Average of nb of solve for own context (avg) ;202.25;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;202.25;
Average of nb of solve for own context (max) ;202.25;
Average of total size of solve for own context (avg) ;2178.75;
