;v0.3.1395e1_exEcai-2ag_ECAI_Clique_2All
Min of min size of solve step (avg) ;2.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;2;
Min of min size of solve step (max) ;2;
Sum of nb of solve step (avg) ;71.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;71;
Sum of nb of solve step (max) ;71;
Sum of total size of solve step (avg) ;711.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;711;
Sum of total size of solve step (max) ;711;
Sum of max size of solve step (avg) ;88.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;88;
Sum of max size of solve step (max) ;88;
Sum of min size of solve step (avg) ;4.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;4;
Sum of min size of solve step (max) ;4;
Average of nb of solve step (avg) ;35.5;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;35.5;
Average of nb of solve step (max) ;35.5;
Average of total size of solve step (avg) ;355.5;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;355.5;
Average of total size of solve step (max) ;355.5;
Average of max size of solve step (avg) ;44.0;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;44.0;
Average of max size of solve step (max) ;44.0;
Average of min size of solve step (avg) ;2.0;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;2.0;
Average of min size of solve step (max) ;2.0;
Standard deviation of nb of solve step (avg) ;3.5;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;3.5;
Standard deviation of nb of solve step (max) ;3.5;
Standard deviation of total size of solve step (avg) ;1.5;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;1.5;
Standard deviation of total size of solve step (max) ;1.5;
Standard deviation of max size of solve step (avg) ;19.0;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;19.0;
Standard deviation of max size of solve step (max) ;19.0;
