;v0.3.1395e1_chain8-4_Inc_Ligne_4All
Sum of nb of solve step (max) ;3886;
Sum of total size of solve step (avg) ;45803.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;45803;
Sum of total size of solve step (max) ;45803;
Sum of max size of solve step (avg) ;324.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;324;
Sum of max size of solve step (max) ;324;
Sum of min size of solve step (avg) ;8.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;8;
Sum of min size of solve step (max) ;8;
Average of nb of solve step (avg) ;971.5;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;971.5;
Average of nb of solve step (max) ;971.5;
Average of total size of solve step (avg) ;11450.75;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;11450.75;
Average of total size of solve step (max) ;11450.75;
Average of max size of solve step (avg) ;81.0;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;81.0;
Average of max size of solve step (max) ;81.0;
Average of min size of solve step (avg) ;2.0;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;2.0;
Average of min size of solve step (max) ;2.0;
Standard deviation of nb of solve step (avg) ;213.1578053930937;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;213.1578053930937;
Standard deviation of nb of solve step (max) ;213.1578053930937;
Standard deviation of total size of solve step (avg) ;2596.5767247474123;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;2596.5767247474123;
Standard deviation of total size of solve step (max) ;2596.5767247474123;
Standard deviation of max size of solve step (avg) ;7.035623639735144;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;7.035623639735144;
Standard deviation of max size of solve step (max) ;7.035623639735144;
Standard deviation of min size of solve step (avg) ;0.0;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.0;
Standard deviation of min size of solve step (max) ;0;
Product of nb of solve for hyp (avg) ;22308.0;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;22308;
Product of nb of solve for hyp (max) ;22308;
Product of total size of solve for hyp (avg) ;3.5252991268E10;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;35252991268;
Product of total size of solve for hyp (max) ;35252991268;
Product of max size of solve for hyp (avg) ;1.481571E7;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;14815710;
Product of max size of solve for hyp (max) ;14815710;
Product of min size of solve for hyp (avg) ;576.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;576;
Product of min size of solve for hyp (max) ;576;
Max of nb of solve for hyp (avg) ;13.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;13;
Max of nb of solve for hyp (max) ;13;
Max of total size of solve for hyp (avg) ;517.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;517;
Max of total size of solve for hyp (max) ;517;
Max of max size of solve for hyp (avg) ;67.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;67;
Max of max size of solve for hyp (max) ;67;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;11.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;11;
Min of nb of solve for hyp (max) ;11;
Min of total size of solve for hyp (avg) ;346.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;346;
Min of total size of solve for hyp (max) ;346;
Min of max size of solve for hyp (avg) ;54.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;54;
Min of max size of solve for hyp (max) ;54;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;49.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;49;
Sum of nb of solve for hyp (max) ;49;
Sum of total size of solve for hyp (avg) ;1752.0;
