;v0.3.13e10_exEcai-3ag_Inc-CL_Ligne_3All
Average of max size of solve step (max) ;29.0;
Average of min size of solve step (avg) ;2.0;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;2.0;
Average of min size of solve step (max) ;2.0;
Standard deviation of nb of solve step (avg) ;15.755069730795299;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;15.755069730795299;
Standard deviation of nb of solve step (max) ;15.755069730795299;
Standard deviation of total size of solve step (avg) ;115.48256241624631;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;115.48256241624631;
Standard deviation of total size of solve step (max) ;115.48256241624631;
Standard deviation of max size of solve step (avg) ;5.6568542494923815;
Standard deviation of max size of solve step (stddev) ;8.881784197001252E-16;
Standard deviation of max size of solve step (min) ;5.656854249492381;
Standard deviation of max size of solve step (max) ;5.656854249492381;
Standard deviation of min size of solve step (avg) ;0.0;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.0;
Standard deviation of min size of solve step (max) ;0;
Product of nb of solve for hyp (avg) ;32.0;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;32;
Product of nb of solve for hyp (max) ;32;
Product of total size of solve for hyp (avg) ;21793.0;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;21793;
Product of total size of solve for hyp (max) ;21793;
Product of max size of solve for hyp (avg) ;2112.0;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;2112;
Product of max size of solve for hyp (max) ;2112;
Product of min size of solve for hyp (avg) ;168.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;168;
Product of min size of solve for hyp (max) ;168;
Max of nb of solve for hyp (avg) ;4.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;4;
Max of nb of solve for hyp (max) ;4;
Max of total size of solve for hyp (avg) ;37.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;37;
Max of total size of solve for hyp (max) ;37;
Max of max size of solve for hyp (avg) ;16.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;16;
Max of max size of solve for hyp (max) ;16;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;2.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;2;
Min of nb of solve for hyp (max) ;2;
Min of total size of solve for hyp (avg) ;19.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;19;
Min of total size of solve for hyp (max) ;19;
Min of max size of solve for hyp (avg) ;11.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;11;
Min of max size of solve for hyp (max) ;11;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;10.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;10;
Sum of nb of solve for hyp (max) ;10;
Sum of total size of solve for hyp (avg) ;87.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;87;
Sum of total size of solve for hyp (max) ;87;
Sum of max size of solve for hyp (avg) ;39.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;39;
Sum of max size of solve for hyp (max) ;39;
Sum of min size of solve for hyp (avg) ;18.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;18;
Sum of min size of solve for hyp (max) ;18;
Average of nb of solve for hyp (avg) ;3.333333333333333;
Average of nb of solve for hyp (stddev) ;4.440892098500626E-16;
Average of nb of solve for hyp (min) ;3.3333333333333335;
Average of nb of solve for hyp (max) ;3.3333333333333335;
Average of total size of solve for hyp (avg) ;29.0;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;29.0;
Average of total size of solve for hyp (max) ;29.0;
Average of max size of solve for hyp (avg) ;13.0;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;13.0;
Average of max size of solve for hyp (max) ;13.0;
Average of min size of solve for hyp (avg) ;6.0;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;6.0;
Average of min size of solve for hyp (max) ;6.0;
Standard deviation of nb of solve for hyp (avg) ;0.9428090415820634;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;0.9428090415820634;
Standard deviation of nb of solve for hyp (max) ;0.9428090415820634;
Standard deviation of total size of solve for hyp (avg) ;7.4833147735478835;
Standard deviation of total size of solve for hyp (stddev) ;8.881784197001252E-16;
Standard deviation of total size of solve for hyp (min) ;7.483314773547883;
Standard deviation of total size of solve for hyp (max) ;7.483314773547883;
Standard deviation of max size of solve for hyp (avg) ;2.1602468994692865;
Standard deviation of max size of solve for hyp (stddev) ;4.440892098500626E-16;
Standard deviation of max size of solve for hyp (min) ;2.160246899469287;
Standard deviation of max size of solve for hyp (max) ;2.160246899469287;
Standard deviation of min size of solve for hyp (avg) ;2.1602468994692865;
Standard deviation of min size of solve for hyp (stddev) ;4.440892098500626E-16;
Standard deviation of min size of solve for hyp (min) ;2.160246899469287;
Standard deviation of min size of solve for hyp (max) ;2.160246899469287;
Product of nb of solve for extended hyp (avg) ;4.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;4;
Product of nb of solve for extended hyp (max) ;4;
Product of total size of solve for extended hyp (avg) ;6804.0;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;6804;
Product of total size of solve for extended hyp (max) ;6804;
Product of max size of solve for extended hyp (avg) ;1890.0;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;1890;
Product of max size of solve for extended hyp (max) ;1890;
Product of min size of solve for extended hyp (avg) ;1512.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;1512;
Product of min size of solve for extended hyp (max) ;1512;
Max of nb of solve for extended hyp (avg) ;2.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;2;
Max of nb of solve for extended hyp (max) ;2;
Max of total size of solve for extended hyp (avg) ;27.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;27;
Max of total size of solve for extended hyp (max) ;27;
Max of max size of solve for extended hyp (avg) ;15.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;15;
Max of max size of solve for extended hyp (max) ;15;
Max of min size of solve for extended hyp (avg) ;14.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;14;
Max of min size of solve for extended hyp (max) ;14;
Min of nb of solve for extended hyp (avg) ;1.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;1;
Min of nb of solve for extended hyp (max) ;1;
Min of total size of solve for extended hyp (avg) ;14.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;14;
Min of total size of solve for extended hyp (max) ;14;
Min of max size of solve for extended hyp (avg) ;9.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;9;
Min of max size of solve for extended hyp (max) ;9;
Min of min size of solve for extended hyp (avg) ;9.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;9;
Min of min size of solve for extended hyp (max) ;9;
Sum of nb of solve for extended hyp (avg) ;5.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;5;
Sum of nb of solve for extended hyp (max) ;5;
Sum of total size of solve for extended hyp (avg) ;59.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;59;
Sum of total size of solve for extended hyp (max) ;59;
Sum of max size of solve for extended hyp (avg) ;38.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;38;
Sum of max size of solve for extended hyp (max) ;38;
Sum of min size of solve for extended hyp (avg) ;35.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;35;
Sum of min size of solve for extended hyp (max) ;35;
