;v0.3.11e1_exEcai-2ag_Inc_Clique_2All
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;1;
Min of nb of solve for hyp (max) ;1;
Min of total size of solve for hyp (avg) ;3.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;3;
Min of total size of solve for hyp (max) ;3;
Min of max size of solve for hyp (avg) ;3.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;3;
Min of max size of solve for hyp (max) ;3;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;3.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;3;
Sum of nb of solve for hyp (max) ;3;
Sum of total size of solve for hyp (avg) ;23.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;23;
Sum of total size of solve for hyp (max) ;23;
Sum of max size of solve for hyp (avg) ;14.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;14;
Sum of max size of solve for hyp (max) ;14;
Sum of min size of solve for hyp (avg) ;12.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;12;
Sum of min size of solve for hyp (max) ;12;
Average of nb of solve for hyp (avg) ;1.5;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;1.5;
Average of nb of solve for hyp (max) ;1.5;
Average of total size of solve for hyp (avg) ;11.5;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;11.5;
Average of total size of solve for hyp (max) ;11.5;
Average of max size of solve for hyp (avg) ;7.0;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;7.0;
Average of max size of solve for hyp (max) ;7.0;
Average of min size of solve for hyp (avg) ;6.0;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;6.0;
