;v0.3.1395e2_chain8_ECAI_Ligne_8All
Max of total size of solve for hyp (max) ;558;
Max of max size of solve for hyp (avg) ;67.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;67;
Max of max size of solve for hyp (max) ;67;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;11.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;11;
Min of nb of solve for hyp (max) ;11;
Min of total size of solve for hyp (avg) ;295.0;
Min of total size of solve for hyp (stddev) ;4.0;
Min of total size of solve for hyp (min) ;291;
Min of total size of solve for hyp (max) ;299;
Min of max size of solve for hyp (avg) ;54.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;54;
Min of max size of solve for hyp (max) ;54;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;107.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;107;
Sum of nb of solve for hyp (max) ;107;
Sum of total size of solve for hyp (avg) ;3634.5;
Sum of total size of solve for hyp (stddev) ;14.5;
Sum of total size of solve for hyp (min) ;3620;
Sum of total size of solve for hyp (max) ;3649;
Sum of max size of solve for hyp (avg) ;512.0;
Sum of max size of solve for hyp (stddev) ;2.0;
Sum of max size of solve for hyp (min) ;510;
Sum of max size of solve for hyp (max) ;514;
Sum of min size of solve for hyp (avg) ;34.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;34;
Sum of min size of solve for hyp (max) ;34;
Average of nb of solve for hyp (avg) ;13.375;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;13.375;
Average of nb of solve for hyp (max) ;13.375;
Average of total size of solve for hyp (avg) ;454.3125;
Average of total size of solve for hyp (stddev) ;1.8125;
Average of total size of solve for hyp (min) ;452.5;
Average of total size of solve for hyp (max) ;456.125;
Average of max size of solve for hyp (avg) ;64.0;
Average of max size of solve for hyp (stddev) ;0.25;
Average of max size of solve for hyp (min) ;63.75;
Average of max size of solve for hyp (max) ;64.25;
Average of min size of solve for hyp (avg) ;4.25;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;4.25;
Average of min size of solve for hyp (max) ;4.25;
Standard deviation of nb of solve for hyp (avg) ;0.9921567416492215;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;0.9921567416492215;
Standard deviation of nb of solve for hyp (max) ;0.9921567416492215;
Standard deviation of total size of solve for hyp (avg) ;89.71077341776777;
Standard deviation of total size of solve for hyp (stddev) ;4.202001937878059;
Standard deviation of total size of solve for hyp (min) ;85.50877147988972;
Standard deviation of total size of solve for hyp (max) ;93.91277535564583;
Standard deviation of max size of solve for hyp (avg) ;4.258209711880314;
Standard deviation of max size of solve for hyp (stddev) ;0.2348404770225434;
Standard deviation of max size of solve for hyp (min) ;4.02336923485777;
Standard deviation of max size of solve for hyp (max) ;4.493050188902857;
Standard deviation of min size of solve for hyp (avg) ;2.165063509461097;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.165063509461097;
Standard deviation of min size of solve for hyp (max) ;2.165063509461097;
Product of nb of solve for extended hyp (avg) ;4.25554506E8;
Product of nb of solve for extended hyp (stddev) ;1.5541578E7;
Product of nb of solve for extended hyp (min) ;410012928;
Product of nb of solve for extended hyp (max) ;441096084;
Product of total size of solve for extended hyp (avg) ;-3.6574773949871831E18;
Product of total size of solve for extended hyp (stddev) ;9.367334025056803E18;
Product of total size of solve for extended hyp (min) ;3929937733280982880;
Product of total size of solve for extended hyp (max) ;7201851550454202368;
Product of max size of solve for extended hyp (avg) ;1.283730102018E15;
Product of max size of solve for extended hyp (stddev) ;4.3224930882E13;
Product of max size of solve for extended hyp (min) ;1240505171136000;
Product of max size of solve for extended hyp (max) ;1326955032900000;
Product of min size of solve for extended hyp (avg) ;495616.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;495616;
Product of min size of solve for extended hyp (max) ;495616;
Max of nb of solve for extended hyp (avg) ;13.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;13;
Max of nb of solve for extended hyp (max) ;13;
Max of total size of solve for extended hyp (avg) ;663.0;
Max of total size of solve for extended hyp (stddev) ;19.0;
Max of total size of solve for extended hyp (min) ;644;
Max of total size of solve for extended hyp (max) ;682;
Max of max size of solve for extended hyp (avg) ;90.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
