;v0.3.139e1_DAREscheduleBis_ECAI-CL_DARE_8Summ
Total size of solve for extended hyp (NC) (stddev) ;0.0;
Total size of solve for extended hyp (NC) (min) ;27063;
Total size of solve for extended hyp (NC) (max) ;27063;
Global Max size of solve for own context (NC) (avg) ;46.0;
Global Max size of solve for own context (NC) (stddev) ;0.0;
Global Max size of solve for own context (NC) (min) ;46;
Global Max size of solve for own context (NC) (max) ;46;
Nb of solve for own context (NC) (avg) ;787.0;
Nb of solve for own context (NC) (stddev) ;0.0;
Nb of solve for own context (NC) (min) ;787;
Nb of solve for own context (NC) (max) ;787;
Total size of solve for own context (NC) (avg) ;4955.0;
Total size of solve for own context (NC) (stddev) ;0.0;
Total size of solve for own context (NC) (min) ;4955;
Total size of solve for own context (NC) (max) ;4955;
Global Max size of solve for external context (NC) (avg) ;44.0;
Global Max size of solve for external context (NC) (stddev) ;0.0;
Global Max size of solve for external context (NC) (min) ;44;
Global Max size of solve for external context (NC) (max) ;44;
Nb of solve for external context (NC) (avg) ;1201.0;
Nb of solve for external context (NC) (stddev) ;0.0;
Nb of solve for external context (NC) (min) ;1201;
Nb of solve for external context (NC) (max) ;1201;
Total size of solve for external context (NC) (avg) ;4999.0;
Total size of solve for external context (NC) (stddev) ;0.0;
Total size of solve for external context (NC) (min) ;4999;
Total size of solve for external context (NC) (max) ;4999;
Global Max size of  sent messages (avg) ;246.0;
Global Max size of  sent messages (stddev) ;0.0;
Global Max size of  sent messages (min) ;246;
Global Max size of  sent messages (max) ;246;
Nb of  sent messages (avg) ;1409.0;
Nb of  sent messages (stddev) ;0.0;
Nb of  sent messages (min) ;1409;
Nb of  sent messages (max) ;1409;
Total size of  sent messages (avg) ;122413.0;
Total size of  sent messages (stddev) ;0.0;
Total size of  sent messages (min) ;122413;
Total size of  sent messages (max) ;122413;
Global Max size of  received messages (avg) ;246.0;
Global Max size of  received messages (stddev) ;0.0;
Global Max size of  received messages (min) ;246;
Global Max size of  received messages (max) ;246;
Nb of  received messages (avg) ;1434.0;
Nb of  received messages (stddev) ;0.0;
Nb of  received messages (min) ;1434;
Nb of  received messages (max) ;1434;
Total size of  received messages (avg) ;122413.0;
Total size of  received messages (stddev) ;0.0;
Total size of  received messages (min) ;122413;
Total size of  received messages (max) ;122413;
Global Max size of  initLocalConv (avg) ;1.0;
Global Max size of  initLocalConv (stddev) ;0.0;
Global Max size of  initLocalConv (min) ;1;
Global Max size of  initLocalConv (max) ;1;
Nb of  initLocalConv (avg) ;33.0;
Nb of  initLocalConv (stddev) ;0.0;
Nb of  initLocalConv (min) ;33;
Nb of  initLocalConv (max) ;33;
Total size of  initLocalConv (avg) ;33.0;
Total size of  initLocalConv (stddev) ;0.0;
Total size of  initLocalConv (min) ;33;
Total size of  initLocalConv (max) ;33;
Global Max size of  acceptLocalConv (avg) ;1.0;
Global Max size of  acceptLocalConv (stddev) ;0.0;
Global Max size of  acceptLocalConv (min) ;1;
Global Max size of  acceptLocalConv (max) ;1;
Nb of  acceptLocalConv (avg) ;33.0;
Nb of  acceptLocalConv (stddev) ;0.0;
Nb of  acceptLocalConv (min) ;33;
Nb of  acceptLocalConv (max) ;33;
Total size of  acceptLocalConv (avg) ;33.0;
Total size of  acceptLocalConv (stddev) ;0.0;
Total size of  acceptLocalConv (min) ;33;
Total size of  acceptLocalConv (max) ;33;
Global Max size of {Started} sent (avg) ;0.0;
Global Max size of {Started} sent (stddev) ;0.0;
Global Max size of {Started} sent (min) ;0;
Global Max size of {Started} sent (max) ;0;
Nb of {Started} sent (avg) ;8.0;
Nb of {Started} sent (stddev) ;0.0;
Nb of {Started} sent (min) ;8;
Nb of {Started} sent (max) ;8;
Total size of {Started} sent (avg) ;0.0;
Total size of {Started} sent (stddev) ;0.0;
Total size of {Started} sent (min) ;0;
Total size of {Started} sent (max) ;0;
Global Max size of {Request} sent (avg) ;18.0;
Global Max size of {Request} sent (stddev) ;0.0;
Global Max size of {Request} sent (min) ;18;
Global Max size of {Request} sent (max) ;18;
Nb of {Request} sent (avg) ;30.0;
Nb of {Request} sent (stddev) ;0.0;
Nb of {Request} sent (min) ;30;
Nb of {Request} sent (max) ;30;
Total size of {Request} sent (avg) ;591.0;
Total size of {Request} sent (stddev) ;0.0;
Total size of {Request} sent (min) ;591;
Total size of {Request} sent (max) ;591;
Global Max size of {Propose} sent (avg) ;246.0;
Global Max size of {Propose} sent (stddev) ;0.0;
Global Max size of {Propose} sent (min) ;246;
Global Max size of {Propose} sent (max) ;246;
Nb of {Propose} sent (avg) ;212.0;
Nb of {Propose} sent (stddev) ;0.0;
Nb of {Propose} sent (min) ;212;
Nb of {Propose} sent (max) ;212;
Total size of {Propose} sent (avg) ;28227.0;
Total size of {Propose} sent (stddev) ;0.0;
Total size of {Propose} sent (min) ;28227;
Total size of {Propose} sent (max) ;28227;
Global Max size of {Acknowledge confirmation} sent (avg) ;246.0;
Global Max size of {Acknowledge confirmation} sent (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} sent (min) ;246;
Global Max size of {Acknowledge confirmation} sent (max) ;246;
Nb of {Acknowledge confirmation} sent (avg) ;229.0;
Nb of {Acknowledge confirmation} sent (stddev) ;0.0;
Nb of {Acknowledge confirmation} sent (min) ;229;
Nb of {Acknowledge confirmation} sent (max) ;229;
Total size of {Acknowledge confirmation} sent (avg) ;26803.0;
Total size of {Acknowledge confirmation} sent (stddev) ;0.0;
Total size of {Acknowledge confirmation} sent (min) ;26803;
Total size of {Acknowledge confirmation} sent (max) ;26803;
Global Max size of {Acknowledge} sent (avg) ;2.0;
Global Max size of {Acknowledge} sent (stddev) ;0.0;
Global Max size of {Acknowledge} sent (min) ;2;
Global Max size of {Acknowledge} sent (max) ;2;
Nb of {Acknowledge} sent (avg) ;159.0;
Nb of {Acknowledge} sent (stddev) ;0.0;
Nb of {Acknowledge} sent (min) ;159;
Nb of {Acknowledge} sent (max) ;159;
Total size of {Acknowledge} sent (avg) ;318.0;
Total size of {Acknowledge} sent (stddev) ;0.0;
Total size of {Acknowledge} sent (min) ;318;
Total size of {Acknowledge} sent (max) ;318;
Global Max size of {Confirm context} sent (avg) ;228.0;
Global Max size of {Confirm context} sent (stddev) ;0.0;
Global Max size of {Confirm context} sent (min) ;228;
Global Max size of {Confirm context} sent (max) ;228;
Nb of {Confirm context} sent (avg) ;240.0;
Nb of {Confirm context} sent (stddev) ;0.0;
Nb of {Confirm context} sent (min) ;240;
Nb of {Confirm context} sent (max) ;240;
Total size of {Confirm context} sent (avg) ;26678.0;
Total size of {Confirm context} sent (stddev) ;0.0;
Total size of {Confirm context} sent (min) ;26678;
Total size of {Confirm context} sent (max) ;26678;
Global Max size of {Completeness counter-example} sent (avg) ;25.0;
Global Max size of {Completeness counter-example} sent (stddev) ;0.0;
Global Max size of {Completeness counter-example} sent (min) ;25;
Global Max size of {Completeness counter-example} sent (max) ;25;
Nb of {Completeness counter-example} sent (avg) ;68.0;
Nb of {Completeness counter-example} sent (stddev) ;0.0;
Nb of {Completeness counter-example} sent (min) ;68;
Nb of {Completeness counter-example} sent (max) ;68;
Total size of {Completeness counter-example} sent (avg) ;1700.0;
Total size of {Completeness counter-example} sent (stddev) ;0.0;
Total size of {Completeness counter-example} sent (min) ;1700;
Total size of {Completeness counter-example} sent (max) ;1700;
Global Max size of {Argue} sent (avg) ;173.0;
Global Max size of {Argue} sent (stddev) ;0.0;
Global Max size of {Argue} sent (min) ;173;
Global Max size of {Argue} sent (max) ;173;
Nb of {Argue} sent (avg) ;60.0;
Nb of {Argue} sent (stddev) ;0.0;
