;v0.3.1395e1_chain8_Inc_Circuit_8All
Max of max size of solve for hyp (max) ;57;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;8.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;8;
Min of nb of solve for hyp (max) ;8;
Min of total size of solve for hyp (avg) ;144.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;144;
Min of total size of solve for hyp (max) ;144;
Min of max size of solve for hyp (avg) ;24.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;24;
Min of max size of solve for hyp (max) ;24;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;85.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;85;
Sum of nb of solve for hyp (max) ;85;
Sum of total size of solve for hyp (avg) ;2231.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;2231;
Sum of total size of solve for hyp (max) ;2231;
Sum of max size of solve for hyp (avg) ;392.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;392;
Sum of max size of solve for hyp (max) ;392;
Sum of min size of solve for hyp (avg) ;34.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;34;
Sum of min size of solve for hyp (max) ;34;
Average of nb of solve for hyp (avg) ;10.625;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;10.625;
Average of nb of solve for hyp (max) ;10.625;
Average of total size of solve for hyp (avg) ;278.875;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;278.875;
Average of total size of solve for hyp (max) ;278.875;
Average of max size of solve for hyp (avg) ;49.0;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;49.0;
Average of max size of solve for hyp (max) ;49.0;
Average of min size of solve for hyp (avg) ;4.25;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;4.25;
Average of min size of solve for hyp (max) ;4.25;
Standard deviation of nb of solve for hyp (avg) ;1.4947825928876748;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;1.4947825928876748;
Standard deviation of nb of solve for hyp (max) ;1.4947825928876748;
Standard deviation of total size of solve for hyp (avg) ;78.87083982689673;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;78.87083982689673;
Standard deviation of total size of solve for hyp (max) ;78.87083982689673;
Standard deviation of max size of solve for hyp (avg) ;10.712142642814275;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
