;v0.3.11e1_exEcai-2ag_ECAI-CL_Clique_2Summ
Total size of solve for extended hyp (NC) (max) ;25;
Global Max size of solve for own context (NC) (avg) ;10.0;
Global Max size of solve for own context (NC) (stddev) ;0.0;
Global Max size of solve for own context (NC) (min) ;10;
Global Max size of solve for own context (NC) (max) ;10;
Nb of solve for own context (NC) (avg) ;5.0;
Nb of solve for own context (NC) (stddev) ;0.0;
Nb of solve for own context (NC) (min) ;5;
Nb of solve for own context (NC) (max) ;5;
Total size of solve for own context (NC) (avg) ;32.0;
Total size of solve for own context (NC) (stddev) ;0.0;
Total size of solve for own context (NC) (min) ;32;
Total size of solve for own context (NC) (max) ;32;
Global Max size of solve for external context (NC) (avg) ;19.0;
Global Max size of solve for external context (NC) (stddev) ;0.0;
Global Max size of solve for external context (NC) (min) ;19;
Global Max size of solve for external context (NC) (max) ;19;
Nb of solve for external context (NC) (avg) ;25.0;
Nb of solve for external context (NC) (stddev) ;0.0;
Nb of solve for external context (NC) (min) ;25;
Nb of solve for external context (NC) (max) ;25;
Total size of solve for external context (NC) (avg) ;174.0;
Total size of solve for external context (NC) (stddev) ;0.0;
Total size of solve for external context (NC) (min) ;174;
Total size of solve for external context (NC) (max) ;174;
Global Max size of  sent messages (avg) ;80.0;
Global Max size of  sent messages (stddev) ;0.0;
Global Max size of  sent messages (min) ;80;
Global Max size of  sent messages (max) ;80;
Nb of  sent messages (avg) ;49.0;
Nb of  sent messages (stddev) ;0.0;
Nb of  sent messages (min) ;49;
Nb of  sent messages (max) ;49;
Total size of  sent messages (avg) ;713.0;
Total size of  sent messages (stddev) ;0.0;
Total size of  sent messages (min) ;713;
Total size of  sent messages (max) ;713;
Global Max size of  received messages (avg) ;80.0;
Global Max size of  received messages (stddev) ;0.0;
Global Max size of  received messages (min) ;80;
Global Max size of  received messages (max) ;80;
Nb of  received messages (avg) ;54.0;
Nb of  received messages (stddev) ;0.0;
Nb of  received messages (min) ;54;
Nb of  received messages (max) ;54;
Total size of  received messages (avg) ;713.0;
Total size of  received messages (stddev) ;0.0;
Total size of  received messages (min) ;713;
Total size of  received messages (max) ;713;
Global Max size of  initLocalConv (avg) ;1.0;
Global Max size of  initLocalConv (stddev) ;0.0;
Global Max size of  initLocalConv (min) ;1;
Global Max size of  initLocalConv (max) ;1;
Nb of  initLocalConv (avg) ;1.0;
Nb of  initLocalConv (stddev) ;0.0;
Nb of  initLocalConv (min) ;1;
Nb of  initLocalConv (max) ;1;
Total size of  initLocalConv (avg) ;1.0;
Total size of  initLocalConv (stddev) ;0.0;
Total size of  initLocalConv (min) ;1;
Total size of  initLocalConv (max) ;1;
Global Max size of  acceptLocalConv (avg) ;1.0;
Global Max size of  acceptLocalConv (stddev) ;0.0;
Global Max size of  acceptLocalConv (min) ;1;
Global Max size of  acceptLocalConv (max) ;1;
Nb of  acceptLocalConv (avg) ;1.0;
Nb of  acceptLocalConv (stddev) ;0.0;
Nb of  acceptLocalConv (min) ;1;
Nb of  acceptLocalConv (max) ;1;
Total size of  acceptLocalConv (avg) ;1.0;
Total size of  acceptLocalConv (stddev) ;0.0;
Total size of  acceptLocalConv (min) ;1;
Total size of  acceptLocalConv (max) ;1;
Global Max size of {Started} sent (avg) ;0.0;
Global Max size of {Started} sent (stddev) ;0.0;
Global Max size of {Started} sent (min) ;0;
Global Max size of {Started} sent (max) ;0;
Nb of {Started} sent (avg) ;2.0;
Nb of {Started} sent (stddev) ;0.0;
Nb of {Started} sent (min) ;2;
Nb of {Started} sent (max) ;2;
Total size of {Started} sent (avg) ;0.0;
Total size of {Started} sent (stddev) ;0.0;
Total size of {Started} sent (min) ;0;
Total size of {Started} sent (max) ;0;
