;v0.3.1395e1_chain8-4_Inc_Circuit_4All
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;12.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;12;
Min of nb of solve for hyp (max) ;12;
Min of total size of solve for hyp (avg) ;414.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;414;
Min of total size of solve for hyp (max) ;414;
Min of max size of solve for hyp (avg) ;57.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;57;
Min of max size of solve for hyp (max) ;57;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;51.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;51;
Sum of nb of solve for hyp (max) ;51;
Sum of total size of solve for hyp (avg) ;1843.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;1843;
Sum of total size of solve for hyp (max) ;1843;
Sum of max size of solve for hyp (avg) ;239.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;239;
Sum of max size of solve for hyp (max) ;239;
Sum of min size of solve for hyp (avg) ;22.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;22;
Sum of min size of solve for hyp (max) ;22;
Average of nb of solve for hyp (avg) ;12.75;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;12.75;
Average of nb of solve for hyp (max) ;12.75;
Average of total size of solve for hyp (avg) ;460.75;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;460.75;
Average of total size of solve for hyp (max) ;460.75;
Average of max size of solve for hyp (avg) ;59.75;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;59.75;
Average of max size of solve for hyp (max) ;59.75;
Average of min size of solve for hyp (avg) ;5.5;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;5.5;
Average of min size of solve for hyp (max) ;5.5;
Standard deviation of nb of solve for hyp (avg) ;0.82915619758885;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;0.82915619758885;
Standard deviation of nb of solve for hyp (max) ;0.82915619758885;
Standard deviation of total size of solve for hyp (avg) ;35.02409884636577;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
