;v0.3.13e10_exEcai-3ag_Inc-CL_Clique_3All
Max of max size of solve for hyp (max) ;16;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;3.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;3;
Min of nb of solve for hyp (max) ;3;
Min of total size of solve for hyp (avg) ;26.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;26;
Min of total size of solve for hyp (max) ;26;
Min of max size of solve for hyp (avg) ;10.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;10;
Min of max size of solve for hyp (max) ;10;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;11.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;11;
Sum of nb of solve for hyp (max) ;11;
Sum of total size of solve for hyp (avg) ;95.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;95;
Sum of total size of solve for hyp (max) ;95;
Sum of max size of solve for hyp (avg) ;37.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;37;
Sum of max size of solve for hyp (max) ;37;
Sum of min size of solve for hyp (avg) ;18.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;18;
Sum of min size of solve for hyp (max) ;18;
Average of nb of solve for hyp (avg) ;3.6666666666666665;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;3.6666666666666665;
Average of nb of solve for hyp (max) ;3.6666666666666665;
Average of total size of solve for hyp (avg) ;31.666666666666668;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;31.666666666666668;
Average of total size of solve for hyp (max) ;31.666666666666668;
Average of max size of solve for hyp (avg) ;12.333333333333332;
Average of max size of solve for hyp (stddev) ;1.7763568394002505E-15;
Average of max size of solve for hyp (min) ;12.333333333333334;
Average of max size of solve for hyp (max) ;12.333333333333334;
Average of min size of solve for hyp (avg) ;6.0;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;6.0;
Average of min size of solve for hyp (max) ;6.0;
Standard deviation of nb of solve for hyp (avg) ;0.4714045207910317;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;0.4714045207910317;
Standard deviation of nb of solve for hyp (max) ;0.4714045207910317;
Standard deviation of total size of solve for hyp (avg) ;4.9216076867444665;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;4.9216076867444665;
Standard deviation of total size of solve for hyp (max) ;4.9216076867444665;
Standard deviation of max size of solve for hyp (avg) ;2.6246692913372702;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;2.6246692913372702;
Standard deviation of max size of solve for hyp (max) ;2.6246692913372702;
Standard deviation of min size of solve for hyp (avg) ;2.1602468994692865;
Standard deviation of min size of solve for hyp (stddev) ;4.440892098500626E-16;
Standard deviation of min size of solve for hyp (min) ;2.160246899469287;
Standard deviation of min size of solve for hyp (max) ;2.160246899469287;
Product of nb of solve for extended hyp (avg) ;4.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;4;
Product of nb of solve for extended hyp (max) ;4;
Product of total size of solve for extended hyp (avg) ;6048.0;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;6048;
Product of total size of solve for extended hyp (max) ;6048;
Product of max size of solve for extended hyp (avg) ;1512.0;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;1512;
Product of max size of solve for extended hyp (max) ;1512;
Product of min size of solve for extended hyp (avg) ;1512.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;1512;
Product of min size of solve for extended hyp (max) ;1512;
Max of nb of solve for extended hyp (avg) ;2.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;2;
Max of nb of solve for extended hyp (max) ;2;
Max of total size of solve for extended hyp (avg) ;28.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;28;
Max of total size of solve for extended hyp (max) ;28;
Max of max size of solve for extended hyp (avg) ;14.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;14;
Max of max size of solve for extended hyp (max) ;14;
Max of min size of solve for extended hyp (avg) ;14.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;14;
Max of min size of solve for extended hyp (max) ;14;
Min of nb of solve for extended hyp (avg) ;1.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;1;
Min of nb of solve for extended hyp (max) ;1;
Min of total size of solve for extended hyp (avg) ;12.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;12;
Min of total size of solve for extended hyp (max) ;12;
Min of max size of solve for extended hyp (avg) ;9.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;9;
Min of max size of solve for extended hyp (max) ;9;
Min of min size of solve for extended hyp (avg) ;9.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;9;
Min of min size of solve for extended hyp (max) ;9;
Sum of nb of solve for extended hyp (avg) ;5.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;5;
Sum of nb of solve for extended hyp (max) ;5;
Sum of total size of solve for extended hyp (avg) ;58.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;58;
Sum of total size of solve for extended hyp (max) ;58;
Sum of max size of solve for extended hyp (avg) ;35.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;35;
Sum of max size of solve for extended hyp (max) ;35;
Sum of min size of solve for extended hyp (avg) ;35.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;35;
Sum of min size of solve for extended hyp (max) ;35;
Average of nb of solve for extended hyp (avg) ;1.6666666666666665;
Average of nb of solve for extended hyp (stddev) ;2.220446049250313E-16;
Average of nb of solve for extended hyp (min) ;1.6666666666666667;
Average of nb of solve for extended hyp (max) ;1.6666666666666667;
Average of total size of solve for extended hyp (avg) ;19.333333333333336;
Average of total size of solve for extended hyp (stddev) ;3.552713678800501E-15;
Average of total size of solve for extended hyp (min) ;19.333333333333332;
Average of total size of solve for extended hyp (max) ;19.333333333333332;
Average of max size of solve for extended hyp (avg) ;11.666666666666668;
Average of max size of solve for extended hyp (stddev) ;1.7763568394002505E-15;
Average of max size of solve for extended hyp (min) ;11.666666666666666;
Average of max size of solve for extended hyp (max) ;11.666666666666666;
Average of min size of solve for extended hyp (avg) ;11.666666666666668;
Average of min size of solve for extended hyp (stddev) ;1.7763568394002505E-15;
Average of min size of solve for extended hyp (min) ;11.666666666666666;
Average of min size of solve for extended hyp (max) ;11.666666666666666;
Standard deviation of nb of solve for extended hyp (avg) ;0.4714045207910317;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.4714045207910317;
Standard deviation of nb of solve for extended hyp (max) ;0.4714045207910317;
Standard deviation of total size of solve for extended hyp (avg) ;6.599663291074444;
Standard deviation of total size of solve for extended hyp (stddev) ;8.881784197001252E-16;
Standard deviation of total size of solve for extended hyp (min) ;6.599663291074443;
Standard deviation of total size of solve for extended hyp (max) ;6.599663291074443;
Standard deviation of max size of solve for extended hyp (avg) ;2.054804667656326;
Standard deviation of max size of solve for extended hyp (stddev) ;4.440892098500626E-16;
Standard deviation of max size of solve for extended hyp (min) ;2.0548046676563256;
Standard deviation of max size of solve for extended hyp (max) ;2.0548046676563256;
Standard deviation of min size of solve for extended hyp (avg) ;2.054804667656326;
Standard deviation of min size of solve for extended hyp (stddev) ;4.440892098500626E-16;
Standard deviation of min size of solve for extended hyp (min) ;2.0548046676563256;
Standard deviation of min size of solve for extended hyp (max) ;2.0548046676563256;
Product of nb of solve for own context (avg) ;728.0;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;728;
Product of nb of solve for own context (max) ;728;
Product of total size of solve for own context (avg) ;1141672.0;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;1141672;
Product of total size of solve for own context (max) ;1141672;
Product of max size of solve for own context (avg) ;9324.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;9324;
Product of max size of solve for own context (max) ;9324;
Product of min size of solve for own context (avg) ;144.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;144;
Product of min size of solve for own context (max) ;144;
Max of nb of solve for own context (avg) ;13.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;13;
Max of nb of solve for own context (max) ;13;
Max of total size of solve for own context (avg) ;203.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;203;
Max of total size of solve for own context (max) ;203;
Max of max size of solve for own context (avg) ;37.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;37;
Max of max size of solve for own context (max) ;37;
Max of min size of solve for own context (avg) ;9.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;9;
Max of min size of solve for own context (max) ;9;
Min of nb of solve for own context (avg) ;7.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;7;
Min of nb of solve for own context (max) ;7;
Min of total size of solve for own context (avg) ;74.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;74;
Min of total size of solve for own context (max) ;74;
Min of max size of solve for own context (avg) ;14.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;14;
Min of max size of solve for own context (max) ;14;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;28.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;28;
Sum of nb of solve for own context (max) ;28;
Sum of total size of solve for own context (avg) ;353.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;353;
Sum of total size of solve for own context (max) ;353;
Sum of max size of solve for own context (avg) ;69.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;69;
Sum of max size of solve for own context (max) ;69;
Sum of min size of solve for own context (avg) ;17.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;17;
Sum of min size of solve for own context (max) ;17;
Average of nb of solve for own context (avg) ;9.333333333333332;
Average of nb of solve for own context (stddev) ;1.7763568394002505E-15;
Average of nb of solve for own context (min) ;9.333333333333334;
Average of nb of solve for own context (max) ;9.333333333333334;
Average of total size of solve for own context (avg) ;117.66666666666667;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;117.66666666666667;
Average of total size of solve for own context (max) ;117.66666666666667;
Average of max size of solve for own context (avg) ;23.0;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;23.0;
Average of max size of solve for own context (max) ;23.0;
Average of min size of solve for own context (avg) ;5.666666666666666;
Average of min size of solve for own context (stddev) ;8.881784197001252E-16;
Average of min size of solve for own context (min) ;5.666666666666667;
Average of min size of solve for own context (max) ;5.666666666666667;
Standard deviation of nb of solve for own context (avg) ;2.6246692913372702;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;2.6246692913372702;
Standard deviation of nb of solve for own context (max) ;2.6246692913372702;
Standard deviation of total size of solve for own context (avg) ;60.34530268012213;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;60.34530268012213;
Standard deviation of total size of solve for own context (max) ;60.34530268012213;
Standard deviation of max size of solve for own context (avg) ;10.033277962194942;
Standard deviation of max size of solve for own context (stddev) ;1.7763568394002505E-15;
Standard deviation of max size of solve for own context (min) ;10.03327796219494;
Standard deviation of max size of solve for own context (max) ;10.03327796219494;
Standard deviation of min size of solve for own context (avg) ;2.357022603955158;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;2.357022603955158;
Standard deviation of min size of solve for own context (max) ;2.357022603955158;
Product of nb of solve for external context (avg) ;1485.0;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;1485;
Product of nb of solve for external context (max) ;1485;
Product of total size of solve for external context (avg) ;1025232.0;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;1025232;
Product of total size of solve for external context (max) ;1025232;
Product of max size of solve for external context (avg) ;7128.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;7128;
Product of max size of solve for external context (max) ;7128;
Product of min size of solve for external context (avg) ;16.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;16;
Product of min size of solve for external context (max) ;16;
Max of nb of solve for external context (avg) ;15.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;15;
Max of nb of solve for external context (max) ;15;
Max of total size of solve for external context (avg) ;124.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;124;
Max of total size of solve for external context (max) ;124;
Max of max size of solve for external context (avg) ;36.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;36;
Max of max size of solve for external context (max) ;36;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;9.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;9;
Min of nb of solve for external context (max) ;9;
Min of total size of solve for external context (avg) ;78.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;78;
Min of total size of solve for external context (max) ;78;
Min of max size of solve for external context (avg) ;11.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;11;
Min of max size of solve for external context (max) ;11;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;35.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;35;
Sum of nb of solve for external context (max) ;35;
Sum of total size of solve for external context (avg) ;308.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;308;
Sum of total size of solve for external context (max) ;308;
Sum of max size of solve for external context (avg) ;65.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;65;
Sum of max size of solve for external context (max) ;65;
Sum of min size of solve for external context (avg) ;8.0;
