;v0.3.1395e1_chain8-4_Inc-CL_Ligne_4All
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;6.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;6;
Min of nb of solve for hyp (max) ;6;
Min of total size of solve for hyp (avg) ;134.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;134;
Min of total size of solve for hyp (max) ;134;
Min of max size of solve for hyp (avg) ;34.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;34;
Min of max size of solve for hyp (max) ;34;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;32.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;32;
Sum of nb of solve for hyp (max) ;32;
Sum of total size of solve for hyp (avg) ;929.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;929;
Sum of total size of solve for hyp (max) ;929;
Sum of max size of solve for hyp (avg) ;169.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;169;
Sum of max size of solve for hyp (max) ;169;
Sum of min size of solve for hyp (avg) ;22.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;22;
Sum of min size of solve for hyp (max) ;22;
Average of nb of solve for hyp (avg) ;8.0;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;8.0;
Average of nb of solve for hyp (max) ;8.0;
Average of total size of solve for hyp (avg) ;232.25;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;232.25;
Average of total size of solve for hyp (max) ;232.25;
Average of max size of solve for hyp (avg) ;42.25;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;42.25;
Average of max size of solve for hyp (max) ;42.25;
Average of min size of solve for hyp (avg) ;5.5;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;5.5;
Average of min size of solve for hyp (max) ;5.5;
Standard deviation of nb of solve for hyp (avg) ;2.0;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;2.0;
Standard deviation of nb of solve for hyp (max) ;2.0;
Standard deviation of total size of solve for hyp (avg) ;91.74523148371254;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;91.74523148371254;
Standard deviation of total size of solve for hyp (max) ;91.74523148371254;
Standard deviation of max size of solve for hyp (avg) ;7.790218225441442;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;7.790218225441442;
Standard deviation of max size of solve for hyp (max) ;7.790218225441442;
Standard deviation of min size of solve for hyp (avg) ;2.5;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.5;
Standard deviation of min size of solve for hyp (max) ;2.5;
Product of nb of solve for extended hyp (avg) ;1024.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;1024;
Product of nb of solve for extended hyp (max) ;1024;
Product of total size of solve for extended hyp (avg) ;1.140296704E9;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;1140296704;
Product of total size of solve for extended hyp (max) ;1140296704;
Product of max size of solve for extended hyp (avg) ;6810804.0;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;6810804;
Product of max size of solve for extended hyp (max) ;6810804;
Product of min size of solve for extended hyp (avg) ;1936.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;1936;
Product of min size of solve for extended hyp (max) ;1936;
Max of nb of solve for extended hyp (avg) ;8.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;8;
Max of nb of solve for extended hyp (max) ;8;
Max of total size of solve for extended hyp (avg) ;344.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;344;
Max of total size of solve for extended hyp (max) ;344;
Max of max size of solve for extended hyp (avg) ;66.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;66;
Max of max size of solve for extended hyp (max) ;66;
Max of min size of solve for extended hyp (avg) ;11.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;11;
Max of min size of solve for extended hyp (max) ;11;
Min of nb of solve for extended hyp (avg) ;4.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;4;
Min of nb of solve for extended hyp (max) ;4;
Min of total size of solve for extended hyp (avg) ;94.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;94;
Min of total size of solve for extended hyp (max) ;94;
Min of max size of solve for extended hyp (avg) ;39.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;39;
Min of max size of solve for extended hyp (max) ;39;
Min of min size of solve for extended hyp (avg) ;4.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;4;
Min of min size of solve for extended hyp (max) ;4;
Sum of nb of solve for extended hyp (avg) ;24.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;24;
Sum of nb of solve for extended hyp (max) ;24;
Sum of total size of solve for extended hyp (avg) ;858.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;858;
Sum of total size of solve for extended hyp (max) ;858;
