;v0.3.1395e1_DAREscheduleBis_Inc-CL_DARE_8All
Max of max size of solve for hyp (avg) ;105.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;105;
Max of max size of solve for hyp (max) ;105;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;4.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;4;
Min of nb of solve for hyp (max) ;4;
Min of total size of solve for hyp (avg) ;33.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;33;
Min of total size of solve for hyp (max) ;33;
Min of max size of solve for hyp (avg) ;12.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;12;
Min of max size of solve for hyp (max) ;12;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;76.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;76;
Sum of nb of solve for hyp (max) ;76;
Sum of total size of solve for hyp (avg) ;2204.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;2204;
Sum of total size of solve for hyp (max) ;2204;
Sum of max size of solve for hyp (avg) ;482.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;482;
Sum of max size of solve for hyp (max) ;482;
Sum of min size of solve for hyp (avg) ;29.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;29;
Sum of min size of solve for hyp (max) ;29;
Average of nb of solve for hyp (avg) ;9.5;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;9.5;
Average of nb of solve for hyp (max) ;9.5;
Average of total size of solve for hyp (avg) ;275.5;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;275.5;
Average of total size of solve for hyp (max) ;275.5;
Average of max size of solve for hyp (avg) ;60.25;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;60.25;
Average of max size of solve for hyp (max) ;60.25;
Average of min size of solve for hyp (avg) ;3.625;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;3.625;
Average of min size of solve for hyp (max) ;3.625;
Standard deviation of nb of solve for hyp (avg) ;3.391164991562634;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;3.391164991562634;
Standard deviation of nb of solve for hyp (max) ;3.391164991562634;
Standard deviation of total size of solve for hyp (avg) ;157.16472250476568;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;157.16472250476568;
Standard deviation of total size of solve for hyp (max) ;157.16472250476568;
Standard deviation of max size of solve for hyp (avg) ;26.133072915369137;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;26.133072915369137;
Standard deviation of max size of solve for hyp (max) ;26.133072915369137;
Standard deviation of min size of solve for hyp (avg) ;1.653594569415369;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;1.653594569415369;
Standard deviation of min size of solve for hyp (max) ;1.653594569415369;
Product of nb of solve for extended hyp (avg) ;3.784704E7;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;37847040;
Product of nb of solve for extended hyp (max) ;37847040;
Product of total size of solve for extended hyp (avg) ;7.2332242642935316E18;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;7233224264293531648;
Product of total size of solve for extended hyp (max) ;7233224264293531648;
Product of max size of solve for extended hyp (avg) ;6.3313526088899953E18;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;6331352608889995072;
Product of max size of solve for extended hyp (max) ;6331352608889995072;
Product of min size of solve for extended hyp (avg) ;1.86535791E8;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;186535791;
Product of min size of solve for extended hyp (max) ;186535791;
Max of nb of solve for extended hyp (avg) ;16.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;16;
Max of nb of solve for extended hyp (max) ;16;
Max of total size of solve for extended hyp (avg) ;11184.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;11184;
Max of total size of solve for extended hyp (max) ;11184;
Max of max size of solve for extended hyp (avg) ;1944.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;1944;
Max of max size of solve for extended hyp (max) ;1944;
Max of min size of solve for extended hyp (avg) ;39.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;39;
Max of min size of solve for extended hyp (max) ;39;
Min of nb of solve for extended hyp (avg) ;4.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;4;
Min of nb of solve for extended hyp (max) ;4;
Min of total size of solve for extended hyp (avg) ;406.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;406;
Min of total size of solve for extended hyp (max) ;406;
Min of max size of solve for extended hyp (avg) ;211.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;211;
Min of max size of solve for extended hyp (max) ;211;
Min of min size of solve for extended hyp (avg) ;9.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;9;
Min of min size of solve for extended hyp (max) ;9;
Sum of nb of solve for extended hyp (avg) ;76.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;76;
Sum of nb of solve for extended hyp (max) ;76;
Sum of total size of solve for extended hyp (avg) ;48550.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;48550;
Sum of total size of solve for extended hyp (max) ;48550;
Sum of max size of solve for extended hyp (avg) ;9746.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;9746;
Sum of max size of solve for extended hyp (max) ;9746;
Sum of min size of solve for extended hyp (avg) ;102.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;102;
Sum of min size of solve for extended hyp (max) ;102;
Average of nb of solve for extended hyp (avg) ;9.5;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;9.5;
Average of nb of solve for extended hyp (max) ;9.5;
Average of total size of solve for extended hyp (avg) ;6068.75;
