;v0.3.1395e1_chain8-4_ECAI-CL_Circuit_4All
Sum of total size of solve for extended hyp (max) ;603;
Sum of max size of solve for extended hyp (avg) ;174.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;174;
Sum of max size of solve for extended hyp (max) ;174;
Sum of min size of solve for extended hyp (avg) ;30.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;30;
Sum of min size of solve for extended hyp (max) ;30;
Average of nb of solve for extended hyp (avg) ;5.0;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;5.0;
Average of nb of solve for extended hyp (max) ;5.0;
Average of total size of solve for extended hyp (avg) ;150.75;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;150.75;
Average of total size of solve for extended hyp (max) ;150.75;
Average of max size of solve for extended hyp (avg) ;43.5;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;43.5;
Average of max size of solve for extended hyp (max) ;43.5;
Average of min size of solve for extended hyp (avg) ;7.5;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;7.5;
Average of min size of solve for extended hyp (max) ;7.5;
Standard deviation of nb of solve for extended hyp (avg) ;0.7071067811865476;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.7071067811865476;
Standard deviation of nb of solve for extended hyp (max) ;0.7071067811865476;
Standard deviation of total size of solve for extended hyp (avg) ;28.455008346510812;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;28.455008346510812;
Standard deviation of total size of solve for extended hyp (max) ;28.455008346510812;
Standard deviation of max size of solve for extended hyp (avg) ;3.3541019662496847;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;3.3541019662496847;
Standard deviation of max size of solve for extended hyp (max) ;3.3541019662496847;
Standard deviation of min size of solve for extended hyp (avg) ;3.5;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;3.5;
Standard deviation of min size of solve for extended hyp (max) ;3.5;
