;v0.3.13e10_exEcai-3ag_Inc_Clique_3All
Sum of min size of solve for own context (avg) ;12.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;12;
Sum of min size of solve for own context (max) ;12;
Average of nb of solve for own context (avg) ;15.533333333333337;
Average of nb of solve for own context (stddev) ;0.16329931618554464;
Average of nb of solve for own context (min) ;15.333333333333334;
Average of nb of solve for own context (max) ;15.666666666666666;
Average of total size of solve for own context (avg) ;152.13333333333333;
Average of total size of solve for own context (stddev) ;0.6531972647421715;
Average of total size of solve for own context (min) ;151.33333333333334;
Average of total size of solve for own context (max) ;152.66666666666666;
Average of max size of solve for own context (avg) ;24.333333333333336;
Average of max size of solve for own context (stddev) ;3.552713678800501E-15;
Average of max size of solve for own context (min) ;24.333333333333332;
Average of max size of solve for own context (max) ;24.333333333333332;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;3.1268756895946828;
Standard deviation of nb of solve for own context (stddev) ;0.2118269200172536;
Standard deviation of nb of solve for own context (min) ;2.8674417556808756;
Standard deviation of nb of solve for own context (max) ;3.2998316455372216;
Standard deviation of total size of solve for own context (avg) ;47.07529778864479;
Standard deviation of total size of solve for own context (stddev) ;8.679778818186412;
Standard deviation of total size of solve for own context (min) ;36.44478319625763;
Standard deviation of total size of solve for own context (max) ;54.16230751690289;
Standard deviation of max size of solve for own context (avg) ;8.956685895029603;
Standard deviation of max size of solve for own context (stddev) ;1.7763568394002505E-15;
Standard deviation of max size of solve for own context (min) ;8.9566858950296;
Standard deviation of max size of solve for own context (max) ;8.9566858950296;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;7082.4;
Product of nb of solve for external context (stddev) ;878.8769197106043;
Product of nb of solve for external context (min) ;6006;
Product of nb of solve for external context (max) ;7800;
Product of total size of solve for external context (avg) ;2909112.0;
Product of total size of solve for external context (stddev) ;144015.29993719418;
Product of total size of solve for external context (min) ;2732730;
Product of total size of solve for external context (max) ;3026700;
Product of max size of solve for external context (avg) ;6105.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;6105;
Product of max size of solve for external context (max) ;6105;
Product of min size of solve for external context (avg) ;16.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;16;
Product of min size of solve for external context (max) ;16;
Max of nb of solve for external context (avg) ;25.4;
Max of nb of solve for external context (stddev) ;0.4898979485566356;
Max of nb of solve for external context (min) ;25;
Max of nb of solve for external context (max) ;26;
Max of total size of solve for external context (avg) ;181.6;
Max of total size of solve for external context (stddev) ;10.287856919689348;
Max of total size of solve for external context (min) ;169;
Max of total size of solve for external context (max) ;190;
Max of max size of solve for external context (avg) ;37.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;37;
Max of max size of solve for external context (max) ;37;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;12.2;
Min of nb of solve for external context (stddev) ;0.9797958971132713;
Min of nb of solve for external context (min) ;11;
Min of nb of solve for external context (max) ;13;
Min of total size of solve for external context (avg) ;112.8;
Min of total size of solve for external context (stddev) ;6.368673331236264;
Min of total size of solve for external context (min) ;105;
Min of total size of solve for external context (max) ;118;
Min of max size of solve for external context (avg) ;11.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;11;
Min of max size of solve for external context (max) ;11;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;60.4;
Sum of nb of solve for external context (stddev) ;1.9595917942265426;
Sum of nb of solve for external context (min) ;58;
Sum of nb of solve for external context (max) ;62;
Sum of total size of solve for external context (avg) ;437.0;
Sum of total size of solve for external context (stddev) ;7.3484692283495345;
Sum of total size of solve for external context (min) ;428;
Sum of total size of solve for external context (max) ;443;
Sum of max size of solve for external context (avg) ;63.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;63;
Sum of max size of solve for external context (max) ;63;
Sum of min size of solve for external context (avg) ;8.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;8;
Sum of min size of solve for external context (max) ;8;
Average of nb of solve for external context (avg) ;20.133333333333333;
Average of nb of solve for external context (stddev) ;0.653197264742182;
Average of nb of solve for external context (min) ;19.333333333333332;
Average of nb of solve for external context (max) ;20.666666666666668;
Average of total size of solve for external context (avg) ;145.66666666666669;
Average of total size of solve for external context (stddev) ;2.449489742783178;
Average of total size of solve for external context (min) ;142.66666666666666;
Average of total size of solve for external context (max) ;147.66666666666666;
Average of max size of solve for external context (avg) ;21.0;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;21.0;
Average of max size of solve for external context (max) ;21.0;
Average of min size of solve for external context (avg) ;2.666666666666667;
Average of min size of solve for external context (stddev) ;4.440892098500626E-16;
Average of min size of solve for external context (min) ;2.6666666666666665;
Average of min size of solve for external context (max) ;2.6666666666666665;
Standard deviation of nb of solve for external context (avg) ;5.756339543909313;
Standard deviation of nb of solve for external context (stddev) ;0.3917192159121363;
Standard deviation of nb of solve for external context (min) ;5.436502143433364;
Standard deviation of nb of solve for external context (max) ;6.236095644623236;
Standard deviation of total size of solve for external context (avg) ;29.368626678530216;
Standard deviation of total size of solve for external context (stddev) ;1.6651293961766431;
Standard deviation of total size of solve for external context (min) ;27.329267990359508;
Standard deviation of total size of solve for external context (max) ;30.728199137310703;
Standard deviation of max size of solve for external context (avg) ;11.430952132988166;
Standard deviation of max size of solve for external context (stddev) ;1.7763568394002505E-15;
Standard deviation of max size of solve for external context (min) ;11.430952132988164;
Standard deviation of max size of solve for external context (max) ;11.430952132988164;
Standard deviation of min size of solve for external context (avg) ;0.9428090415820634;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.9428090415820634;
Standard deviation of min size of solve for external context (max) ;0.9428090415820634;
Product of nb of solve for covered manif. (avg) ;199.6;
Product of nb of solve for covered manif. (stddev) ;20.08581589082206;
Product of nb of solve for covered manif. (min) ;175;
Product of nb of solve for covered manif. (max) ;216;
Product of total size of solve for covered manif. (avg) ;455417.6;
Product of total size of solve for covered manif. (stddev) ;47155.61693626752;
Product of total size of solve for covered manif. (min) ;397664;
Product of total size of solve for covered manif. (max) ;493920;
Product of max size of solve for covered manif. (avg) ;10000.0;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;10000;
Product of max size of solve for covered manif. (max) ;10000;
Product of min size of solve for covered manif. (avg) ;27.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;27;
Product of min size of solve for covered manif. (max) ;27;
Max of nb of solve for covered manif. (avg) ;6.4;
Max of nb of solve for covered manif. (stddev) ;0.48989794855663565;
Max of nb of solve for covered manif. (min) ;6;
Max of nb of solve for covered manif. (max) ;7;
Max of total size of solve for covered manif. (avg) ;84.8;
Max of total size of solve for covered manif. (stddev) ;0.9797958971132712;
Max of total size of solve for covered manif. (min) ;84;
Max of total size of solve for covered manif. (max) ;86;
Max of max size of solve for covered manif. (avg) ;25.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;25;
Max of max size of solve for covered manif. (max) ;25;
Max of min size of solve for covered manif. (avg) ;3.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;3;
Max of min size of solve for covered manif. (max) ;3;
Min of nb of solve for covered manif. (avg) ;5.6;
Min of nb of solve for covered manif. (stddev) ;0.48989794855663565;
Min of nb of solve for covered manif. (min) ;5;
Min of nb of solve for covered manif. (max) ;6;
Min of total size of solve for covered manif. (avg) ;69.2;
Min of total size of solve for covered manif. (stddev) ;0.9797958971132712;
Min of total size of solve for covered manif. (min) ;68;
Min of total size of solve for covered manif. (max) ;70;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;17.6;
Sum of nb of solve for covered manif. (stddev) ;0.4898979485566356;
Sum of nb of solve for covered manif. (min) ;17;
Sum of nb of solve for covered manif. (max) ;18;
Sum of total size of solve for covered manif. (avg) ;231.6;
Sum of total size of solve for covered manif. (stddev) ;7.8383671769061705;
Sum of total size of solve for covered manif. (min) ;222;
Sum of total size of solve for covered manif. (max) ;238;
Sum of max size of solve for covered manif. (avg) ;66.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;66;
Sum of max size of solve for covered manif. (max) ;66;
Sum of min size of solve for covered manif. (avg) ;9.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;9;
Sum of min size of solve for covered manif. (max) ;9;
Average of nb of solve for covered manif. (avg) ;5.866666666666666;
Average of nb of solve for covered manif. (stddev) ;0.16329931618554508;
Average of nb of solve for covered manif. (min) ;5.666666666666667;
Average of nb of solve for covered manif. (max) ;6.0;
Average of total size of solve for covered manif. (avg) ;77.2;
Average of total size of solve for covered manif. (stddev) ;2.612789058968721;
Average of total size of solve for covered manif. (min) ;74.0;
Average of total size of solve for covered manif. (max) ;79.33333333333333;
Average of max size of solve for covered manif. (avg) ;22.0;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;22.0;
Average of max size of solve for covered manif. (max) ;22.0;
Average of min size of solve for covered manif. (avg) ;3.0;
