;v0.3.1395e1_exEcai-2ag_ECAI_Clique_2Summ
Total size of solve for extended hyp (NC) (max) ;14;
Global Max size of solve for own context (NC) (avg) ;10.0;
Global Max size of solve for own context (NC) (stddev) ;0.0;
Global Max size of solve for own context (NC) (min) ;10;
Global Max size of solve for own context (NC) (max) ;10;
Nb of solve for own context (NC) (avg) ;5.0;
Nb of solve for own context (NC) (stddev) ;0.0;
Nb of solve for own context (NC) (min) ;5;
Nb of solve for own context (NC) (max) ;5;
Total size of solve for own context (NC) (avg) ;32.0;
Total size of solve for own context (NC) (stddev) ;0.0;
Total size of solve for own context (NC) (min) ;32;
Total size of solve for own context (NC) (max) ;32;
Global Max size of solve for external context (NC) (avg) ;19.0;
Global Max size of solve for external context (NC) (stddev) ;0.0;
Global Max size of solve for external context (NC) (min) ;19;
Global Max size of solve for external context (NC) (max) ;19;
Nb of solve for external context (NC) (avg) ;23.0;
Nb of solve for external context (NC) (stddev) ;0.0;
Nb of solve for external context (NC) (min) ;23;
Nb of solve for external context (NC) (max) ;23;
Total size of solve for external context (NC) (avg) ;163.0;
Total size of solve for external context (NC) (stddev) ;0.0;
Total size of solve for external context (NC) (min) ;163;
Total size of solve for external context (NC) (max) ;163;
Global Max size of  sent messages (avg) ;80.0;
Global Max size of  sent messages (stddev) ;0.0;
Global Max size of  sent messages (min) ;80;
Global Max size of  sent messages (max) ;80;
Nb of  sent messages (avg) ;41.0;
Nb of  sent messages (stddev) ;0.0;
Nb of  sent messages (min) ;41;
Nb of  sent messages (max) ;41;
Total size of  sent messages (avg) ;617.0;
Total size of  sent messages (stddev) ;0.0;
Total size of  sent messages (min) ;617;
Total size of  sent messages (max) ;617;
Global Max size of  received messages (avg) ;80.0;
Global Max size of  received messages (stddev) ;0.0;
Global Max size of  received messages (min) ;80;
Global Max size of  received messages (max) ;80;
Nb of  received messages (avg) ;46.0;
Nb of  received messages (stddev) ;0.0;
Nb of  received messages (min) ;46;
Nb of  received messages (max) ;46;
Total size of  received messages (avg) ;617.0;
Total size of  received messages (stddev) ;0.0;
Total size of  received messages (min) ;617;
Total size of  received messages (max) ;617;
Global Max size of  initLocalConv (avg) ;1.0;
Global Max size of  initLocalConv (stddev) ;0.0;
Global Max size of  initLocalConv (min) ;1;
Global Max size of  initLocalConv (max) ;1;
Nb of  initLocalConv (avg) ;1.0;
Nb of  initLocalConv (stddev) ;0.0;
Nb of  initLocalConv (min) ;1;
Nb of  initLocalConv (max) ;1;
Total size of  initLocalConv (avg) ;1.0;
