;v0.3.1395e1_chain8_ECAI-CL_Ligne_8All
Max of max size of solve for hyp (max) ;31;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;3.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;3;
Min of nb of solve for hyp (max) ;3;
Min of total size of solve for hyp (avg) ;40.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;40;
Min of total size of solve for hyp (max) ;40;
Min of max size of solve for hyp (avg) ;20.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;20;
Min of max size of solve for hyp (max) ;20;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;41.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;41;
Sum of nb of solve for hyp (max) ;41;
Sum of total size of solve for hyp (avg) ;815.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;815;
Sum of total size of solve for hyp (max) ;815;
Sum of max size of solve for hyp (avg) ;226.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;226;
Sum of max size of solve for hyp (max) ;226;
Sum of min size of solve for hyp (avg) ;34.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;34;
Sum of min size of solve for hyp (max) ;34;
Average of nb of solve for hyp (avg) ;5.125;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;5.125;
Average of nb of solve for hyp (max) ;5.125;
Average of total size of solve for hyp (avg) ;101.875;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;101.875;
Average of total size of solve for hyp (max) ;101.875;
Average of max size of solve for hyp (avg) ;28.25;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;28.25;
Average of max size of solve for hyp (max) ;28.25;
Average of min size of solve for hyp (avg) ;4.25;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;4.25;
Average of min size of solve for hyp (max) ;4.25;
Standard deviation of nb of solve for hyp (avg) ;1.2686114456365274;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;1.2686114456365274;
Standard deviation of nb of solve for hyp (max) ;1.2686114456365274;
Standard deviation of total size of solve for hyp (avg) ;35.87630659641541;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;35.87630659641541;
Standard deviation of total size of solve for hyp (max) ;35.87630659641541;
Standard deviation of max size of solve for hyp (avg) ;4.264680527307995;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;4.264680527307995;
Standard deviation of max size of solve for hyp (max) ;4.264680527307995;
Standard deviation of min size of solve for hyp (avg) ;2.165063509461097;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.165063509461097;
Standard deviation of min size of solve for hyp (max) ;2.165063509461097;
Product of nb of solve for extended hyp (avg) ;6144.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;6144;
Product of nb of solve for extended hyp (max) ;6144;
Product of total size of solve for extended hyp (avg) ;1.139411409136E14;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;113941140913600;
Product of total size of solve for extended hyp (max) ;113941140913600;
Product of max size of solve for extended hyp (avg) ;4.60933659648E11;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;460933659648;
Product of max size of solve for extended hyp (max) ;460933659648;
Product of min size of solve for extended hyp (avg) ;495616.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;495616;
Product of min size of solve for extended hyp (max) ;495616;
Max of nb of solve for extended hyp (avg) ;4.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;4;
Max of nb of solve for extended hyp (max) ;4;
Max of total size of solve for extended hyp (avg) ;91.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;91;
Max of total size of solve for extended hyp (max) ;91;
Max of max size of solve for extended hyp (avg) ;36.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;36;
Max of max size of solve for extended hyp (max) ;36;
Max of min size of solve for extended hyp (avg) ;11.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;11;
Max of min size of solve for extended hyp (max) ;11;
Min of nb of solve for extended hyp (avg) ;1.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;1;
Min of nb of solve for extended hyp (max) ;1;
Min of total size of solve for extended hyp (avg) ;11.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;11;
Min of total size of solve for extended hyp (max) ;11;
Min of max size of solve for extended hyp (avg) ;11.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;11;
Min of max size of solve for extended hyp (max) ;11;
Min of min size of solve for extended hyp (avg) ;4.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;4;
Min of min size of solve for extended hyp (max) ;4;
Sum of nb of solve for extended hyp (avg) ;26.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;26;
Sum of nb of solve for extended hyp (max) ;26;
Sum of total size of solve for extended hyp (avg) ;556.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;556;
Sum of total size of solve for extended hyp (max) ;556;
Sum of max size of solve for extended hyp (avg) ;245.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;245;
Sum of max size of solve for extended hyp (max) ;245;
Sum of min size of solve for extended hyp (avg) ;46.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;46;
Sum of min size of solve for extended hyp (max) ;46;
Average of nb of solve for extended hyp (avg) ;3.25;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;3.25;
Average of nb of solve for extended hyp (max) ;3.25;
Average of total size of solve for extended hyp (avg) ;69.5;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;69.5;
Average of total size of solve for extended hyp (max) ;69.5;
Average of max size of solve for extended hyp (avg) ;30.625;
