;v0.3.136e1_DAREschedule_ECAI_DARE_8All
Max of max size of solve for hyp (avg) ;141.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;141;
Max of max size of solve for hyp (max) ;141;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;12.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;12;
Min of nb of solve for hyp (max) ;12;
Min of total size of solve for hyp (avg) ;226.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;226;
Min of total size of solve for hyp (max) ;226;
Min of max size of solve for hyp (avg) ;41.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;41;
Min of max size of solve for hyp (max) ;41;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;141.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;141;
Sum of nb of solve for hyp (max) ;141;
Sum of total size of solve for hyp (avg) ;5697.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;5697;
Sum of total size of solve for hyp (max) ;5697;
Sum of max size of solve for hyp (avg) ;673.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;673;
Sum of max size of solve for hyp (max) ;673;
Sum of min size of solve for hyp (avg) ;29.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;29;
Sum of min size of solve for hyp (max) ;29;
Average of nb of solve for hyp (avg) ;17.625;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;17.625;
Average of nb of solve for hyp (max) ;17.625;
Average of total size of solve for hyp (avg) ;712.125;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;712.125;
Average of total size of solve for hyp (max) ;712.125;
Average of max size of solve for hyp (avg) ;84.125;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;84.125;
Average of max size of solve for hyp (max) ;84.125;
Average of min size of solve for hyp (avg) ;3.625;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;3.625;
Average of min size of solve for hyp (max) ;3.625;
Standard deviation of nb of solve for hyp (avg) ;5.452923527796809;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;5.452923527796809;
Standard deviation of nb of solve for hyp (max) ;5.452923527796809;
Standard deviation of total size of solve for hyp (avg) ;458.46522155448173;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;458.46522155448173;
Standard deviation of total size of solve for hyp (max) ;458.46522155448173;
Standard deviation of max size of solve for hyp (avg) ;37.02511816321455;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;37.02511816321455;
Standard deviation of max size of solve for hyp (max) ;37.02511816321455;
Standard deviation of min size of solve for hyp (avg) ;1.653594569415369;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;1.653594569415369;
Standard deviation of min size of solve for hyp (max) ;1.653594569415369;
Product of nb of solve for extended hyp (avg) ;3.48340608E9;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;3483406080;
Product of nb of solve for extended hyp (max) ;3483406080;
Product of total size of solve for extended hyp (avg) ;1.73878068532506624E17;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;173878068532506624;
Product of total size of solve for extended hyp (max) ;173878068532506624;
Product of max size of solve for extended hyp (avg) ;4.4364572916061088E17;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;443645729160610902;
Product of max size of solve for extended hyp (max) ;443645729160610902;
Product of min size of solve for extended hyp (avg) ;1.86535791E8;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;186535791;
Product of min size of solve for extended hyp (max) ;186535791;
Max of nb of solve for extended hyp (avg) ;28.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;28;
Max of nb of solve for extended hyp (max) ;28;
Max of total size of solve for extended hyp (avg) ;6490.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;6490;
Max of total size of solve for extended hyp (max) ;6490;
Max of max size of solve for extended hyp (avg) ;449.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;449;
Max of max size of solve for extended hyp (max) ;449;
Max of min size of solve for extended hyp (avg) ;39.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;39;
Max of min size of solve for extended hyp (max) ;39;
Min of nb of solve for extended hyp (avg) ;11.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;11;
Min of nb of solve for extended hyp (max) ;11;
Min of total size of solve for extended hyp (avg) ;1130.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;1130;
Min of total size of solve for extended hyp (max) ;1130;
Min of max size of solve for extended hyp (avg) ;145.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;145;
Min of max size of solve for extended hyp (max) ;145;
Min of min size of solve for extended hyp (avg) ;9.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;9;
Min of min size of solve for extended hyp (max) ;9;
Sum of nb of solve for extended hyp (avg) ;131.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;131;
Sum of nb of solve for extended hyp (max) ;131;
Sum of total size of solve for extended hyp (avg) ;22801.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;22801;
Sum of total size of solve for extended hyp (max) ;22801;
Sum of max size of solve for extended hyp (avg) ;2509.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;2509;
Sum of max size of solve for extended hyp (max) ;2509;
Sum of min size of solve for extended hyp (avg) ;102.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;102;
Sum of min size of solve for extended hyp (max) ;102;
Average of nb of solve for extended hyp (avg) ;16.375;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;16.375;
Average of nb of solve for extended hyp (max) ;16.375;
Average of total size of solve for extended hyp (avg) ;2850.125;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;2850.125;
Average of total size of solve for extended hyp (max) ;2850.125;
Average of max size of solve for extended hyp (avg) ;313.625;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;313.625;
Average of max size of solve for extended hyp (max) ;313.625;
Average of min size of solve for extended hyp (avg) ;12.75;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;12.75;
Average of min size of solve for extended hyp (max) ;12.75;
Standard deviation of nb of solve for extended hyp (avg) ;5.429951657243368;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;5.429951657243368;
Standard deviation of nb of solve for extended hyp (max) ;5.429951657243368;
Standard deviation of total size of solve for extended hyp (avg) ;1808.0498774577543;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;1808.0498774577543;
Standard deviation of total size of solve for extended hyp (max) ;1808.0498774577543;
Standard deviation of max size of solve for extended hyp (avg) ;104.41615954918089;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;104.41615954918089;
Standard deviation of max size of solve for extended hyp (max) ;104.41615954918089;
Standard deviation of min size of solve for extended hyp (avg) ;9.921567416492215;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;9.921567416492215;
Standard deviation of min size of solve for extended hyp (max) ;9.921567416492215;
Product of nb of solve for own context (avg) ;2.3582219388444288E17;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;235822193884442880;
Product of nb of solve for own context (max) ;235822193884442880;
Product of total size of solve for own context (avg) ;3.6803456861197143E18;
