;v0.3.135e1_chain8_ECAI-CL_Ligne_8Summ
Total size of solve for extended hyp (NC) (min) ;4980;
Total size of solve for extended hyp (NC) (max) ;4980;
Global Max size of solve for own context (NC) (avg) ;38.0;
Global Max size of solve for own context (NC) (stddev) ;0.0;
Global Max size of solve for own context (NC) (min) ;38;
Global Max size of solve for own context (NC) (max) ;38;
Nb of solve for own context (NC) (avg) ;1283.0;
Nb of solve for own context (NC) (stddev) ;0.0;
Nb of solve for own context (NC) (min) ;1283;
Nb of solve for own context (NC) (max) ;1283;
Total size of solve for own context (NC) (avg) ;13198.0;
Total size of solve for own context (NC) (stddev) ;0.0;
Total size of solve for own context (NC) (min) ;13198;
Total size of solve for own context (NC) (max) ;13198;
Global Max size of solve for external context (NC) (avg) ;38.0;
Global Max size of solve for external context (NC) (stddev) ;0.0;
Global Max size of solve for external context (NC) (min) ;38;
Global Max size of solve for external context (NC) (max) ;38;
Nb of solve for external context (NC) (avg) ;1816.0;
Nb of solve for external context (NC) (stddev) ;0.0;
Nb of solve for external context (NC) (min) ;1816;
Nb of solve for external context (NC) (max) ;1816;
Total size of solve for external context (NC) (avg) ;12587.0;
Total size of solve for external context (NC) (stddev) ;0.0;
Total size of solve for external context (NC) (min) ;12587;
Total size of solve for external context (NC) (max) ;12587;
Global Max size of  sent messages (avg) ;44.0;
Global Max size of  sent messages (stddev) ;0.0;
Global Max size of  sent messages (min) ;44;
Global Max size of  sent messages (max) ;44;
Nb of  sent messages (avg) ;3122.0;
Nb of  sent messages (stddev) ;0.0;
Nb of  sent messages (min) ;3122;
Nb of  sent messages (max) ;3122;
Total size of  sent messages (avg) ;48396.0;
Total size of  sent messages (stddev) ;0.0;
Total size of  sent messages (min) ;48396;
Total size of  sent messages (max) ;48396;
Global Max size of  received messages (avg) ;44.0;
Global Max size of  received messages (stddev) ;0.0;
Global Max size of  received messages (min) ;44;
Global Max size of  received messages (max) ;44;
Nb of  received messages (avg) ;3145.0;
Nb of  received messages (stddev) ;0.0;
Nb of  received messages (min) ;3145;
Nb of  received messages (max) ;3145;
Total size of  received messages (avg) ;48396.0;
Total size of  received messages (stddev) ;0.0;
Total size of  received messages (min) ;48396;
Total size of  received messages (max) ;48396;
Global Max size of  initLocalConv (avg) ;1.0;
Global Max size of  initLocalConv (stddev) ;0.0;
Global Max size of  initLocalConv (min) ;1;
Global Max size of  initLocalConv (max) ;1;
Nb of  initLocalConv (avg) ;148.0;
Nb of  initLocalConv (stddev) ;0.0;
Nb of  initLocalConv (min) ;148;
Nb of  initLocalConv (max) ;148;
Total size of  initLocalConv (avg) ;148.0;
Total size of  initLocalConv (stddev) ;0.0;
Total size of  initLocalConv (min) ;148;
Total size of  initLocalConv (max) ;148;
Global Max size of  acceptLocalConv (avg) ;1.0;
Global Max size of  acceptLocalConv (stddev) ;0.0;
Global Max size of  acceptLocalConv (min) ;1;
Global Max size of  acceptLocalConv (max) ;1;
Nb of  acceptLocalConv (avg) ;148.0;
Nb of  acceptLocalConv (stddev) ;0.0;
Nb of  acceptLocalConv (min) ;148;
Nb of  acceptLocalConv (max) ;148;
Total size of  acceptLocalConv (avg) ;148.0;
Total size of  acceptLocalConv (stddev) ;0.0;
Total size of  acceptLocalConv (min) ;148;
Total size of  acceptLocalConv (max) ;148;
Global Max size of {Started} sent (avg) ;0.0;
Global Max size of {Started} sent (stddev) ;0.0;
Global Max size of {Started} sent (min) ;0;
Global Max size of {Started} sent (max) ;0;
Nb of {Started} sent (avg) ;8.0;
Nb of {Started} sent (stddev) ;0.0;
Nb of {Started} sent (min) ;8;
Nb of {Started} sent (max) ;8;
Total size of {Started} sent (avg) ;0.0;
Total size of {Started} sent (stddev) ;0.0;
Total size of {Started} sent (min) ;0;
Total size of {Started} sent (max) ;0;
Global Max size of {Request} sent (avg) ;18.0;
Global Max size of {Request} sent (stddev) ;0.0;
Global Max size of {Request} sent (min) ;18;
Global Max size of {Request} sent (max) ;18;
Nb of {Request} sent (avg) ;148.0;
Nb of {Request} sent (stddev) ;0.0;
Nb of {Request} sent (min) ;148;
Nb of {Request} sent (max) ;148;
Total size of {Request} sent (avg) ;2664.0;
Total size of {Request} sent (stddev) ;0.0;
Total size of {Request} sent (min) ;2664;
Total size of {Request} sent (max) ;2664;
Global Max size of {Propose} sent (avg) ;44.0;
Global Max size of {Propose} sent (stddev) ;0.0;
Global Max size of {Propose} sent (min) ;44;
Global Max size of {Propose} sent (max) ;44;
Nb of {Propose} sent (avg) ;409.0;
Nb of {Propose} sent (stddev) ;0.0;
Nb of {Propose} sent (min) ;409;
Nb of {Propose} sent (max) ;409;
Total size of {Propose} sent (avg) ;7907.0;
Total size of {Propose} sent (stddev) ;0.0;
Total size of {Propose} sent (min) ;7907;
Total size of {Propose} sent (max) ;7907;
Global Max size of {Acknowledge confirmation} sent (avg) ;44.0;
Global Max size of {Acknowledge confirmation} sent (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} sent (min) ;44;
Global Max size of {Acknowledge confirmation} sent (max) ;44;
Nb of {Acknowledge confirmation} sent (avg) ;448.0;
Nb of {Acknowledge confirmation} sent (stddev) ;0.0;
Nb of {Acknowledge confirmation} sent (min) ;448;
Nb of {Acknowledge confirmation} sent (max) ;448;
Total size of {Acknowledge confirmation} sent (avg) ;8800.0;
Total size of {Acknowledge confirmation} sent (stddev) ;0.0;
Total size of {Acknowledge confirmation} sent (min) ;8800;
Total size of {Acknowledge confirmation} sent (max) ;8800;
Global Max size of {Acknowledge} sent (avg) ;2.0;
Global Max size of {Acknowledge} sent (stddev) ;0.0;
Global Max size of {Acknowledge} sent (min) ;2;
Global Max size of {Acknowledge} sent (max) ;2;
Nb of {Acknowledge} sent (avg) ;259.0;
Nb of {Acknowledge} sent (stddev) ;0.0;
Nb of {Acknowledge} sent (min) ;259;
Nb of {Acknowledge} sent (max) ;259;
Total size of {Acknowledge} sent (avg) ;518.0;
Total size of {Acknowledge} sent (stddev) ;0.0;
Total size of {Acknowledge} sent (min) ;518;
Total size of {Acknowledge} sent (max) ;518;
Global Max size of {Confirm context} sent (avg) ;32.0;
Global Max size of {Confirm context} sent (stddev) ;0.0;
Global Max size of {Confirm context} sent (min) ;32;
Global Max size of {Confirm context} sent (max) ;32;
Nb of {Confirm context} sent (avg) ;526.0;
Nb of {Confirm context} sent (stddev) ;0.0;
Nb of {Confirm context} sent (min) ;526;
Nb of {Confirm context} sent (max) ;526;
Total size of {Confirm context} sent (avg) ;8382.0;
Total size of {Confirm context} sent (stddev) ;0.0;
Total size of {Confirm context} sent (min) ;8382;
Total size of {Confirm context} sent (max) ;8382;
Global Max size of {Completeness counter-example} sent (avg) ;7.0;
Global Max size of {Completeness counter-example} sent (stddev) ;0.0;
Global Max size of {Completeness counter-example} sent (min) ;7;
Global Max size of {Completeness counter-example} sent (max) ;7;
Nb of {Completeness counter-example} sent (avg) ;40.0;
Nb of {Completeness counter-example} sent (stddev) ;0.0;
Nb of {Completeness counter-example} sent (min) ;40;
Nb of {Completeness counter-example} sent (max) ;40;
Total size of {Completeness counter-example} sent (avg) ;280.0;
Total size of {Completeness counter-example} sent (stddev) ;0.0;
Total size of {Completeness counter-example} sent (min) ;280;
Total size of {Completeness counter-example} sent (max) ;280;
Global Max size of {Propose again} sent (avg) ;32.0;
Global Max size of {Propose again} sent (stddev) ;0.0;
Global Max size of {Propose again} sent (min) ;32;
Global Max size of {Propose again} sent (max) ;32;
Nb of {Propose again} sent (avg) ;124.0;
Nb of {Propose again} sent (stddev) ;0.0;
Nb of {Propose again} sent (min) ;124;
Nb of {Propose again} sent (max) ;124;
Total size of {Propose again} sent (avg) ;2480.0;
Total size of {Propose again} sent (stddev) ;0.0;
Total size of {Propose again} sent (min) ;2480;
Total size of {Propose again} sent (max) ;2480;
Global Max size of {End of local conversation} sent (avg) ;10.0;
Global Max size of {End of local conversation} sent (stddev) ;0.0;
Global Max size of {End of local conversation} sent (min) ;10;
Global Max size of {End of local conversation} sent (max) ;10;
Nb of {End of local conversation} sent (avg) ;296.0;
Nb of {End of local conversation} sent (stddev) ;0.0;
Nb of {End of local conversation} sent (min) ;296;
Nb of {End of local conversation} sent (max) ;296;
Total size of {End of local conversation} sent (avg) ;2960.0;
Total size of {End of local conversation} sent (stddev) ;0.0;
Total size of {End of local conversation} sent (min) ;2960;
Total size of {End of local conversation} sent (max) ;2960;
Global Max size of {Accept Request} sent (avg) ;10.0;
Global Max size of {Accept Request} sent (stddev) ;0.0;
Global Max size of {Accept Request} sent (min) ;10;
Global Max size of {Accept Request} sent (max) ;10;
Nb of {Accept Request} sent (avg) ;148.0;
Nb of {Accept Request} sent (stddev) ;0.0;
Nb of {Accept Request} sent (min) ;148;
Nb of {Accept Request} sent (max) ;148;
Total size of {Accept Request} sent (avg) ;1480.0;
Total size of {Accept Request} sent (stddev) ;0.0;
Total size of {Accept Request} sent (min) ;1480;
Total size of {Accept Request} sent (max) ;1480;
Global Max size of {Deny} sent (avg) ;37.0;
Global Max size of {Deny} sent (stddev) ;0.0;
Global Max size of {Deny} sent (min) ;37;
Global Max size of {Deny} sent (max) ;37;
Nb of {Deny} sent (avg) ;245.0;
Nb of {Deny} sent (stddev) ;0.0;
Nb of {Deny} sent (min) ;245;
Nb of {Deny} sent (max) ;245;
Total size of {Deny} sent (avg) ;4853.0;
Total size of {Deny} sent (stddev) ;0.0;
Total size of {Deny} sent (min) ;4853;
Total size of {Deny} sent (max) ;4853;
Global Max size of {Argue} sent (avg) ;14.0;
Global Max size of {Argue} sent (stddev) ;0.0;
Global Max size of {Argue} sent (min) ;14;
Global Max size of {Argue} sent (max) ;14;
Nb of {Argue} sent (avg) ;33.0;
Nb of {Argue} sent (stddev) ;0.0;
Nb of {Argue} sent (min) ;33;
Nb of {Argue} sent (max) ;33;
Total size of {Argue} sent (avg) ;436.0;
Total size of {Argue} sent (stddev) ;0.0;
Total size of {Argue} sent (min) ;436;
Total size of {Argue} sent (max) ;436;
Global Max size of {Ask other hypothesis} sent (avg) ;7.0;
Global Max size of {Ask other hypothesis} sent (stddev) ;0.0;
Global Max size of {Ask other hypothesis} sent (min) ;7;
