;v0.3.135e1_chain8_Inc_Ligne_8All
Max of max size of solve for hyp (min) ;67;
Max of max size of solve for hyp (max) ;67;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;11.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;11;
Min of nb of solve for hyp (max) ;11;
Min of total size of solve for hyp (avg) ;280.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;280;
Min of total size of solve for hyp (max) ;280;
Min of max size of solve for hyp (avg) ;50.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;50;
Min of max size of solve for hyp (max) ;50;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;127.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;127;
Sum of nb of solve for hyp (max) ;127;
Sum of total size of solve for hyp (avg) ;4259.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;4259;
Sum of total size of solve for hyp (max) ;4259;
Sum of max size of solve for hyp (avg) ;506.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;506;
Sum of max size of solve for hyp (max) ;506;
Sum of min size of solve for hyp (avg) ;34.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;34;
Sum of min size of solve for hyp (max) ;34;
Average of nb of solve for hyp (avg) ;15.875;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;15.875;
Average of nb of solve for hyp (max) ;15.875;
Average of total size of solve for hyp (avg) ;532.375;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;532.375;
Average of total size of solve for hyp (max) ;532.375;
Average of max size of solve for hyp (avg) ;63.25;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;63.25;
Average of max size of solve for hyp (max) ;63.25;
Average of min size of solve for hyp (avg) ;4.25;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;4.25;
Average of min size of solve for hyp (max) ;4.25;
Standard deviation of nb of solve for hyp (avg) ;2.0879116360612584;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;2.0879116360612584;
Standard deviation of nb of solve for hyp (max) ;2.0879116360612584;
Standard deviation of total size of solve for hyp (avg) ;118.51891990311083;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;118.51891990311083;
Standard deviation of total size of solve for hyp (max) ;118.51891990311083;
Standard deviation of max size of solve for hyp (avg) ;5.261891294962297;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;5.261891294962297;
Standard deviation of max size of solve for hyp (max) ;5.261891294962297;
Standard deviation of min size of solve for hyp (avg) ;2.165063509461097;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.165063509461097;
Standard deviation of min size of solve for hyp (max) ;2.165063509461097;
Product of nb of solve for extended hyp (avg) ;1.919232E9;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;1919232000;
Product of nb of solve for extended hyp (max) ;1919232000;
Product of total size of solve for extended hyp (avg) ;-6.60840735838481E18;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;-6608407358384809704;
Product of total size of solve for extended hyp (max) ;0;
Product of max size of solve for extended hyp (avg) ;1.240505171136E15;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;1240505171136000;
Product of max size of solve for extended hyp (max) ;1240505171136000;
Product of min size of solve for extended hyp (avg) ;495616.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;495616;
Product of min size of solve for extended hyp (max) ;495616;
Max of nb of solve for extended hyp (avg) ;17.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;17;
Max of nb of solve for extended hyp (max) ;17;
Max of total size of solve for extended hyp (avg) ;883.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;883;
Max of total size of solve for extended hyp (max) ;883;
Max of max size of solve for extended hyp (avg) ;90.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;90;
Max of max size of solve for extended hyp (max) ;90;
Max of min size of solve for extended hyp (avg) ;11.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;11;
Max of min size of solve for extended hyp (max) ;11;
Min of nb of solve for extended hyp (avg) ;10.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;10;
Min of nb of solve for extended hyp (max) ;10;
Min of total size of solve for extended hyp (avg) ;333.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;333;
Min of total size of solve for extended hyp (max) ;333;
Min of max size of solve for extended hyp (avg) ;44.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;44;
Min of max size of solve for extended hyp (max) ;44;
Min of min size of solve for extended hyp (avg) ;4.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;4;
Min of min size of solve for extended hyp (max) ;4;
Sum of nb of solve for extended hyp (avg) ;117.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;117;
Sum of nb of solve for extended hyp (max) ;117;
Sum of total size of solve for extended hyp (avg) ;5326.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;5326;
Sum of total size of solve for extended hyp (max) ;5326;
Sum of max size of solve for extended hyp (avg) ;632.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;632;
Sum of max size of solve for extended hyp (max) ;632;
Sum of min size of solve for extended hyp (avg) ;46.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;46;
Sum of min size of solve for extended hyp (max) ;46;
Average of nb of solve for extended hyp (avg) ;14.625;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;14.625;
Average of nb of solve for extended hyp (max) ;14.625;
Average of total size of solve for extended hyp (avg) ;665.75;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;665.75;
Average of total size of solve for extended hyp (max) ;665.75;
Average of max size of solve for extended hyp (avg) ;79.0;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;79.0;
Average of max size of solve for extended hyp (max) ;79.0;
Average of min size of solve for extended hyp (avg) ;5.75;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;5.75;
Average of min size of solve for extended hyp (max) ;5.75;
Standard deviation of nb of solve for extended hyp (avg) ;1.996089927833914;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;1.996089927833914;
Standard deviation of nb of solve for extended hyp (max) ;1.996089927833914;
