;v0.3.1395e1_chain8-4_Inc-CL_Circuit_4All
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;2352;
Product of nb of solve for hyp (max) ;2352;
Product of total size of solve for hyp (avg) ;9.348864E8;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;934886400;
Product of total size of solve for hyp (max) ;934886400;
Product of max size of solve for hyp (avg) ;1717170.0;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;1717170;
Product of max size of solve for hyp (max) ;1717170;
Product of min size of solve for hyp (avg) ;576.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;576;
Product of min size of solve for hyp (max) ;576;
Max of nb of solve for hyp (avg) ;8.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;8;
Max of nb of solve for hyp (max) ;8;
Max of total size of solve for hyp (avg) ;210.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;210;
Max of total size of solve for hyp (max) ;210;
Max of max size of solve for hyp (avg) ;39.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;39;
Max of max size of solve for hyp (max) ;39;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;6.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;6;
Min of nb of solve for hyp (max) ;6;
Min of total size of solve for hyp (avg) ;148.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;148;
Min of total size of solve for hyp (max) ;148;
Min of max size of solve for hyp (avg) ;34.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;34;
Min of max size of solve for hyp (max) ;34;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;28.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;28;
Sum of nb of solve for hyp (max) ;28;
Sum of total size of solve for hyp (avg) ;706.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;706;
Sum of total size of solve for hyp (max) ;706;
Sum of max size of solve for hyp (avg) ;145.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;145;
Sum of max size of solve for hyp (max) ;145;
Sum of min size of solve for hyp (avg) ;22.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;22;
Sum of min size of solve for hyp (max) ;22;
Average of nb of solve for hyp (avg) ;7.0;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;7.0;
Average of nb of solve for hyp (max) ;7.0;
Average of total size of solve for hyp (avg) ;176.5;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;176.5;
Average of total size of solve for hyp (max) ;176.5;
Average of max size of solve for hyp (avg) ;36.25;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;36.25;
Average of max size of solve for hyp (max) ;36.25;
Average of min size of solve for hyp (avg) ;5.5;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;5.5;
Average of min size of solve for hyp (max) ;5.5;
Standard deviation of nb of solve for hyp (avg) ;0.7071067811865476;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;0.7071067811865476;
Standard deviation of nb of solve for hyp (max) ;0.7071067811865476;
Standard deviation of total size of solve for hyp (avg) ;24.181604578687494;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;24.181604578687494;
Standard deviation of total size of solve for hyp (max) ;24.181604578687494;
Standard deviation of max size of solve for hyp (avg) ;1.920286436967152;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;1.920286436967152;
Standard deviation of max size of solve for hyp (max) ;1.920286436967152;
Standard deviation of min size of solve for hyp (avg) ;2.5;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.5;
Standard deviation of min size of solve for hyp (max) ;2.5;
Product of nb of solve for extended hyp (avg) ;600.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;600;
Product of nb of solve for extended hyp (max) ;600;
Product of total size of solve for extended hyp (avg) ;4.8073648E8;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;480736480;
Product of total size of solve for extended hyp (max) ;480736480;
Product of max size of solve for extended hyp (avg) ;3538080.0;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;3538080;
Product of max size of solve for extended hyp (max) ;3538080;
Product of min size of solve for extended hyp (avg) ;1936.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;1936;
Product of min size of solve for extended hyp (max) ;1936;
Max of nb of solve for extended hyp (avg) ;6.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;6;
Max of nb of solve for extended hyp (max) ;6;
Max of total size of solve for extended hyp (avg) ;190.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;190;
Max of total size of solve for extended hyp (max) ;190;
Max of max size of solve for extended hyp (avg) ;48.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;48;
Max of max size of solve for extended hyp (max) ;48;
Max of min size of solve for extended hyp (avg) ;11.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;11;
Max of min size of solve for extended hyp (max) ;11;
Min of nb of solve for extended hyp (avg) ;4.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;4;
Min of nb of solve for extended hyp (max) ;4;
Min of total size of solve for extended hyp (avg) ;116.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;116;
Min of total size of solve for extended hyp (max) ;116;
Min of max size of solve for extended hyp (avg) ;39.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;39;
Min of max size of solve for extended hyp (max) ;39;
Min of min size of solve for extended hyp (avg) ;4.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;4;
Min of min size of solve for extended hyp (max) ;4;
Sum of nb of solve for extended hyp (avg) ;20.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;20;
Sum of nb of solve for extended hyp (max) ;20;
Sum of total size of solve for extended hyp (avg) ;603.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;603;
Sum of total size of solve for extended hyp (max) ;603;
Sum of max size of solve for extended hyp (avg) ;174.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;174;
Sum of max size of solve for extended hyp (max) ;174;
Sum of min size of solve for extended hyp (avg) ;30.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;30;
Sum of min size of solve for extended hyp (max) ;30;
Average of nb of solve for extended hyp (avg) ;5.0;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;5.0;
Average of nb of solve for extended hyp (max) ;5.0;
Average of total size of solve for extended hyp (avg) ;150.75;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;150.75;
Average of total size of solve for extended hyp (max) ;150.75;
Average of max size of solve for extended hyp (avg) ;43.5;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;43.5;
Average of max size of solve for extended hyp (max) ;43.5;
Average of min size of solve for extended hyp (avg) ;7.5;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;7.5;
Average of min size of solve for extended hyp (max) ;7.5;
Standard deviation of nb of solve for extended hyp (avg) ;0.7071067811865476;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.7071067811865476;
Standard deviation of nb of solve for extended hyp (max) ;0.7071067811865476;
Standard deviation of total size of solve for extended hyp (avg) ;28.455008346510812;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;28.455008346510812;
Standard deviation of total size of solve for extended hyp (max) ;28.455008346510812;
Standard deviation of max size of solve for extended hyp (avg) ;3.3541019662496847;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;3.3541019662496847;
Standard deviation of max size of solve for extended hyp (max) ;3.3541019662496847;
Standard deviation of min size of solve for extended hyp (avg) ;3.5;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;3.5;
Standard deviation of min size of solve for extended hyp (max) ;3.5;
Product of nb of solve for own context (avg) ;4.1328615E7;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;41328615;
Product of nb of solve for own context (max) ;41328615;
Product of total size of solve for own context (avg) ;7.79161962852E11;
Product of total size of solve for own context (stddev) ;0.0;
