;v0.3.135e1_chain8_Inc-CL_Ligne_8All
Max of max size of solve for hyp (min) ;31;
Max of max size of solve for hyp (max) ;31;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;12.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;12;
Min of nb of solve for hyp (max) ;12;
Min of total size of solve for hyp (avg) ;131.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;131;
Min of total size of solve for hyp (max) ;131;
Min of max size of solve for hyp (avg) ;20.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;20;
Min of max size of solve for hyp (max) ;20;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;164.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;164;
Sum of nb of solve for hyp (max) ;164;
Sum of total size of solve for hyp (avg) ;2987.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;2987;
Sum of total size of solve for hyp (max) ;2987;
Sum of max size of solve for hyp (avg) ;226.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;226;
Sum of max size of solve for hyp (max) ;226;
Sum of min size of solve for hyp (avg) ;34.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;34;
Sum of min size of solve for hyp (max) ;34;
Average of nb of solve for hyp (avg) ;20.5;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;20.5;
Average of nb of solve for hyp (max) ;20.5;
Average of total size of solve for hyp (avg) ;373.375;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;373.375;
Average of total size of solve for hyp (max) ;373.375;
Average of max size of solve for hyp (avg) ;28.25;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;28.25;
Average of max size of solve for hyp (max) ;28.25;
Average of min size of solve for hyp (avg) ;4.25;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;4.25;
Average of min size of solve for hyp (max) ;4.25;
Standard deviation of nb of solve for hyp (avg) ;6.18465843842649;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;6.18465843842649;
Standard deviation of nb of solve for hyp (max) ;6.18465843842649;
Standard deviation of total size of solve for hyp (avg) ;142.66739072051467;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;142.66739072051467;
Standard deviation of total size of solve for hyp (max) ;142.66739072051467;
Standard deviation of max size of solve for hyp (avg) ;4.264680527307995;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;4.264680527307995;
Standard deviation of max size of solve for hyp (max) ;4.264680527307995;
Standard deviation of min size of solve for hyp (avg) ;2.165063509461097;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.165063509461097;
Standard deviation of min size of solve for hyp (max) ;2.165063509461097;
Product of nb of solve for extended hyp (avg) ;9.1725426E9;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;9172542600;
Product of nb of solve for extended hyp (max) ;9172542600;
Product of total size of solve for extended hyp (avg) ;7.1677872038664653E18;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;7167787203866465280;
Product of total size of solve for extended hyp (max) ;7167787203866465280;
Product of max size of solve for extended hyp (avg) ;5.86642839552E11;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;586642839552;
Product of max size of solve for extended hyp (max) ;586642839552;
Product of min size of solve for extended hyp (avg) ;495616.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;495616;
Product of min size of solve for extended hyp (max) ;495616;
Max of nb of solve for extended hyp (avg) ;30.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;30;
Max of nb of solve for extended hyp (max) ;30;
Max of total size of solve for extended hyp (avg) ;790.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;790;
Max of total size of solve for extended hyp (max) ;790;
Max of max size of solve for extended hyp (avg) ;36.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;36;
Max of max size of solve for extended hyp (max) ;36;
Max of min size of solve for extended hyp (avg) ;11.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;11;
Max of min size of solve for extended hyp (max) ;11;
Min of nb of solve for extended hyp (avg) ;10.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;10;
Min of nb of solve for extended hyp (max) ;10;
Min of total size of solve for extended hyp (avg) ;137.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;137;
Min of total size of solve for extended hyp (max) ;137;
Min of max size of solve for extended hyp (avg) ;14.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;14;
Min of max size of solve for extended hyp (max) ;14;
Min of min size of solve for extended hyp (avg) ;4.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;4;
Min of min size of solve for extended hyp (max) ;4;
Sum of nb of solve for extended hyp (avg) ;149.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;149;
Sum of nb of solve for extended hyp (max) ;149;
Sum of total size of solve for extended hyp (avg) ;3683.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
