;v0.3.136e1_DAREschedule_Inc-CL_DARE_8All
Average of total size of solve for extended hyp (nc) (max) ;19.0;
Average of max size of solve for extended hyp (nc) (avg) ;3.625;
Average of max size of solve for extended hyp (nc) (stddev) ;0.0;
Average of max size of solve for extended hyp (nc) (min) ;3.625;
Average of max size of solve for extended hyp (nc) (max) ;3.625;
Average of min size of solve for extended hyp (nc) (avg) ;3.0;
Average of min size of solve for extended hyp (nc) (stddev) ;0.0;
Average of min size of solve for extended hyp (nc) (min) ;3.0;
Average of min size of solve for extended hyp (nc) (max) ;3.0;
Standard deviation of nb of solve for extended hyp (nc) (avg) ;5.291502622129181;
Standard deviation of nb of solve for extended hyp (nc) (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (nc) (min) ;5.291502622129181;
Standard deviation of nb of solve for extended hyp (nc) (max) ;5.291502622129181;
Standard deviation of total size of solve for extended hyp (nc) (avg) ;42.33202097703345;
Standard deviation of total size of solve for extended hyp (nc) (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (nc) (min) ;42.33202097703345;
Standard deviation of total size of solve for extended hyp (nc) (max) ;42.33202097703345;
Standard deviation of max size of solve for extended hyp (nc) (avg) ;1.653594569415369;
Standard deviation of max size of solve for extended hyp (nc) (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (nc) (min) ;1.653594569415369;
Standard deviation of max size of solve for extended hyp (nc) (max) ;1.653594569415369;
Standard deviation of min size of solve for extended hyp (nc) (avg) ;0.0;
Standard deviation of min size of solve for extended hyp (nc) (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (nc) (min) ;0.0;
Standard deviation of min size of solve for extended hyp (nc) (max) ;0;
Product of nb of  sent messages (avg) ;3.0237585625E10;
Product of nb of  sent messages (stddev) ;0.0;
Product of nb of  sent messages (min) ;30237585625;
Product of nb of  sent messages (max) ;30237585625;
Product of total size of  sent messages (avg) ;-2.6994645337182013E18;
Product of total size of  sent messages (stddev) ;0.0;
Product of total size of  sent messages (min) ;-2699464533718201408;
Product of total size of  sent messages (max) ;0;
Product of max size of  sent messages (avg) ;8.52891037441E11;
Product of max size of  sent messages (stddev) ;0.0;
Product of max size of  sent messages (min) ;852891037441;
Product of max size of  sent messages (max) ;852891037441;
Product of min size of  sent messages (avg) ;0.0;
Product of min size of  sent messages (stddev) ;0.0;
Product of min size of  sent messages (min) ;0;
Product of min size of  sent messages (max) ;0;
Max of nb of  sent messages (avg) ;61.0;
Max of nb of  sent messages (stddev) ;0.0;
Max of nb of  sent messages (min) ;61;
Max of nb of  sent messages (max) ;61;
Max of total size of  sent messages (avg) ;1225.0;
Max of total size of  sent messages (stddev) ;0.0;
Max of total size of  sent messages (min) ;1225;
Max of total size of  sent messages (max) ;1225;
Max of max size of  sent messages (avg) ;31.0;
Max of max size of  sent messages (stddev) ;0.0;
Max of max size of  sent messages (min) ;31;
Max of max size of  sent messages (max) ;31;
Max of min size of  sent messages (avg) ;0.0;
Max of min size of  sent messages (stddev) ;0.0;
Max of min size of  sent messages (min) ;0;
Max of min size of  sent messages (max) ;0;
Min of nb of  sent messages (avg) ;13.0;
Min of nb of  sent messages (stddev) ;0.0;
Min of nb of  sent messages (min) ;13;
Min of nb of  sent messages (max) ;13;
Min of total size of  sent messages (avg) ;202.0;
Min of total size of  sent messages (stddev) ;0.0;
Min of total size of  sent messages (min) ;202;
Min of total size of  sent messages (max) ;202;
Min of max size of  sent messages (avg) ;31.0;
Min of max size of  sent messages (stddev) ;0.0;
Min of max size of  sent messages (min) ;31;
Min of max size of  sent messages (max) ;31;
Min of min size of  sent messages (avg) ;0.0;
Min of min size of  sent messages (stddev) ;0.0;
Min of min size of  sent messages (min) ;0;
Min of min size of  sent messages (max) ;0;
Sum of nb of  sent messages (avg) ;188.0;
Sum of nb of  sent messages (stddev) ;0.0;
Sum of nb of  sent messages (min) ;188;
Sum of nb of  sent messages (max) ;188;
Sum of total size of  sent messages (avg) ;3411.0;
Sum of total size of  sent messages (stddev) ;0.0;
Sum of total size of  sent messages (min) ;3411;
Sum of total size of  sent messages (max) ;3411;
Sum of max size of  sent messages (avg) ;248.0;
Sum of max size of  sent messages (stddev) ;0.0;
Sum of max size of  sent messages (min) ;248;
Sum of max size of  sent messages (max) ;248;
Sum of min size of  sent messages (avg) ;0.0;
Sum of min size of  sent messages (stddev) ;0.0;
Sum of min size of  sent messages (min) ;0;
Sum of min size of  sent messages (max) ;0;
Average of nb of  sent messages (avg) ;23.5;
Average of nb of  sent messages (stddev) ;0.0;
Average of nb of  sent messages (min) ;23.5;
Average of nb of  sent messages (max) ;23.5;
Average of total size of  sent messages (avg) ;426.375;
Average of total size of  sent messages (stddev) ;0.0;
Average of total size of  sent messages (min) ;426.375;
Average of total size of  sent messages (max) ;426.375;
Average of max size of  sent messages (avg) ;31.0;
Average of max size of  sent messages (stddev) ;0.0;
Average of max size of  sent messages (min) ;31.0;
Average of max size of  sent messages (max) ;31.0;
Average of min size of  sent messages (avg) ;0.0;
Average of min size of  sent messages (stddev) ;0.0;
Average of min size of  sent messages (min) ;0.0;
Average of min size of  sent messages (max) ;0;
