;v0.3.1395e1_chain8-4_ECAI_Ligne_4All
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;11.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;11;
Min of nb of solve for hyp (max) ;11;
Min of total size of solve for hyp (avg) ;346.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;346;
Min of total size of solve for hyp (max) ;346;
Min of max size of solve for hyp (avg) ;54.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;54;
Min of max size of solve for hyp (max) ;54;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;49.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;49;
Sum of nb of solve for hyp (max) ;49;
Sum of total size of solve for hyp (avg) ;1752.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;1752;
Sum of total size of solve for hyp (max) ;1752;
Sum of max size of solve for hyp (avg) ;249.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;249;
Sum of max size of solve for hyp (max) ;249;
Sum of min size of solve for hyp (avg) ;22.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;22;
Sum of min size of solve for hyp (max) ;22;
Average of nb of solve for hyp (avg) ;12.25;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;12.25;
Average of nb of solve for hyp (max) ;12.25;
Average of total size of solve for hyp (avg) ;438.0;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;438.0;
Average of total size of solve for hyp (max) ;438.0;
Average of max size of solve for hyp (avg) ;62.25;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;62.25;
Average of max size of solve for hyp (max) ;62.25;
Average of min size of solve for hyp (avg) ;5.5;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;5.5;
Average of min size of solve for hyp (max) ;5.5;
Standard deviation of nb of solve for hyp (avg) ;0.82915619758885;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;0.82915619758885;
Standard deviation of nb of solve for hyp (max) ;0.82915619758885;
Standard deviation of total size of solve for hyp (avg) ;62.853003110432205;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
