;v0.3.136e1_t08r1-dist1-6ag_Inc-CL_Ligne_6All
Max of total size of solve for hyp (min) ;7795;
Max of total size of solve for hyp (max) ;7795;
Max of max size of solve for hyp (avg) ;2582.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;2582;
Max of max size of solve for hyp (max) ;2582;
Max of min size of solve for hyp (avg) ;106.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;106;
Max of min size of solve for hyp (max) ;106;
Min of nb of solve for hyp (avg) ;1.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;1;
Min of nb of solve for hyp (max) ;1;
Min of total size of solve for hyp (avg) ;39.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;39;
Min of total size of solve for hyp (max) ;39;
Min of max size of solve for hyp (avg) ;39.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;39;
Min of max size of solve for hyp (max) ;39;
Min of min size of solve for hyp (avg) ;39.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;39;
Min of min size of solve for hyp (max) ;39;
Sum of nb of solve for hyp (avg) ;29.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;29;
Sum of nb of solve for hyp (max) ;29;
Sum of total size of solve for hyp (avg) ;9980.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;9980;
Sum of total size of solve for hyp (max) ;9980;
Sum of max size of solve for hyp (avg) ;3133.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;3133;
Sum of max size of solve for hyp (max) ;3133;
Sum of min size of solve for hyp (avg) ;343.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;343;
Sum of min size of solve for hyp (max) ;343;
Average of nb of solve for hyp (avg) ;4.833333333333333;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;4.833333333333333;
Average of nb of solve for hyp (max) ;4.833333333333333;
Average of total size of solve for hyp (avg) ;1663.3333333333333;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;1663.3333333333333;
Average of total size of solve for hyp (max) ;1663.3333333333333;
Average of max size of solve for hyp (avg) ;522.1666666666666;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;522.1666666666666;
Average of max size of solve for hyp (max) ;522.1666666666666;
Average of min size of solve for hyp (avg) ;57.166666666666664;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;57.166666666666664;
Average of min size of solve for hyp (max) ;57.166666666666664;
Standard deviation of nb of solve for hyp (avg) ;3.531603350069515;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;3.531603350069515;
Standard deviation of nb of solve for hyp (max) ;3.531603350069515;
Standard deviation of total size of solve for hyp (avg) ;2776.971891987546;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;2776.971891987546;
Standard deviation of total size of solve for hyp (max) ;2776.971891987546;
Standard deviation of max size of solve for hyp (avg) ;923.7390354183132;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;923.7390354183132;
Standard deviation of max size of solve for hyp (max) ;923.7390354183132;
Standard deviation of min size of solve for hyp (avg) ;25.009442661167448;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;25.009442661167448;
Standard deviation of min size of solve for hyp (max) ;25.009442661167448;
Product of nb of solve for extended hyp (avg) ;0.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;0;
Product of nb of solve for extended hyp (max) ;0;
Product of total size of solve for extended hyp (avg) ;0.0;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;0;
Product of total size of solve for extended hyp (max) ;0;
Product of max size of solve for extended hyp (avg) ;5.7214993986267023E18;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;5721499398626702087;
Product of max size of solve for extended hyp (max) ;5721499398626702087;
Product of min size of solve for extended hyp (avg) ;-3.663273708864E13;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;-36632737088640;
Product of min size of solve for extended hyp (max) ;0;
Max of nb of solve for extended hyp (avg) ;8.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;8;
Max of nb of solve for extended hyp (max) ;8;
Max of total size of solve for extended hyp (avg) ;2534675.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;2534675;
Max of total size of solve for extended hyp (max) ;2534675;
Max of max size of solve for extended hyp (avg) ;2074259.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;2074259;
Max of max size of solve for extended hyp (max) ;2074259;
Max of min size of solve for extended hyp (avg) ;823.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;823;
Max of min size of solve for extended hyp (max) ;823;
Min of nb of solve for extended hyp (avg) ;0.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;0;
Min of nb of solve for extended hyp (max) ;0;
Min of total size of solve for extended hyp (avg) ;0.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;0;
Min of total size of solve for extended hyp (max) ;0;
Min of max size of solve for extended hyp (avg) ;-1.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;-1;
Min of max size of solve for extended hyp (max) ;0;
Min of min size of solve for extended hyp (avg) ;-1.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;-1;
Min of min size of solve for extended hyp (max) ;0;
Sum of nb of solve for extended hyp (avg) ;20.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;20;
Sum of nb of solve for extended hyp (max) ;20;
Sum of total size of solve for extended hyp (avg) ;2644564.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;2644564;
Sum of total size of solve for extended hyp (max) ;2644564;
Sum of max size of solve for extended hyp (avg) ;2116396.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;2116396;
Sum of max size of solve for extended hyp (max) ;2116396;
Sum of min size of solve for extended hyp (avg) ;2685.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;2685;
Sum of min size of solve for extended hyp (max) ;2685;
Average of nb of solve for extended hyp (avg) ;3.3333333333333335;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;3.3333333333333335;
Average of nb of solve for extended hyp (max) ;3.3333333333333335;
Average of total size of solve for extended hyp (avg) ;440760.6666666667;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;440760.6666666667;
Average of total size of solve for extended hyp (max) ;440760.6666666667;
Average of max size of solve for extended hyp (avg) ;352732.6666666667;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;352732.6666666667;
Average of max size of solve for extended hyp (max) ;352732.6666666667;
Average of min size of solve for extended hyp (avg) ;447.5;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;447.5;
Average of min size of solve for extended hyp (max) ;447.5;
Standard deviation of nb of solve for extended hyp (avg) ;3.0912061651652345;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;3.0912061651652345;
Standard deviation of nb of solve for extended hyp (max) ;3.0912061651652345;
Standard deviation of total size of solve for extended hyp (avg) ;936984.931238254;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;936984.931238254;
Standard deviation of total size of solve for extended hyp (max) ;936984.931238254;
Standard deviation of max size of solve for extended hyp (avg) ;769950.1391634974;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;769950.1391634974;
Standard deviation of max size of solve for extended hyp (max) ;769950.1391634974;
Standard deviation of min size of solve for extended hyp (avg) ;247.13070091215567;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;247.13070091215567;
Standard deviation of min size of solve for extended hyp (max) ;247.13070091215567;
Product of nb of solve for own context (avg) ;0.0;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;0;
Product of nb of solve for own context (max) ;0;
Product of total size of solve for own context (avg) ;0.0;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;0;
Product of total size of solve for own context (max) ;0;
Product of max size of solve for own context (avg) ;6.529768E7;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;65297680;
Product of max size of solve for own context (max) ;65297680;
Product of min size of solve for own context (avg) ;248832.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;248832;
Product of min size of solve for own context (max) ;248832;
Max of nb of solve for own context (avg) ;161.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;161;
Max of nb of solve for own context (max) ;161;
Max of total size of solve for own context (avg) ;7943.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;7943;
Max of total size of solve for own context (max) ;7943;
Max of max size of solve for own context (avg) ;119.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;119;
Max of max size of solve for own context (max) ;119;
Max of min size of solve for own context (avg) ;24.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;24;
Max of min size of solve for own context (max) ;24;
Min of nb of solve for own context (avg) ;0.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;0;
Min of nb of solve for own context (max) ;0;
Min of total size of solve for own context (avg) ;0.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;0;
Min of total size of solve for own context (max) ;0;
Min of max size of solve for own context (avg) ;-1.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;-1;
Min of max size of solve for own context (max) ;0;
Min of min size of solve for own context (avg) ;-1.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;-1;
