;e1_chain7_Inc-CL_Ligne_0Summ
Nb of {Request} received (avg) ;58.0;
Total size of {Request} received (avg) ;1044.0;
Global Max size of {Argue} received (avg) ;14.0;
Nb of {Argue} received (avg) ;49.0;
Total size of {Argue} received (avg) ;672.0;
Global Max size of {Acknowledge} received (avg) ;2.0;
Nb of {Acknowledge} received (avg) ;170.0;
Total size of {Acknowledge} received (avg) ;340.0;
Global Max size of {Completeness counter-example} received (avg) ;7.0;
Nb of {Completeness counter-example} received (avg) ;56.0;
Total size of {Completeness counter-example} received (avg) ;392.0;
Global Max size of {Finish} received (avg) ;0.0;
Nb of {Finish} received (avg) ;8.0;
Total size of {Finish} received (avg) ;0.0;
