;v0.3.13e10_exEcai-3ag_Inc_Ligne_3Summ
Total size of solve for prove manif (stddev) ;0.0;
Total size of solve for prove manif (min) ;111;
Total size of solve for prove manif (max) ;111;
Global Max size of solve for add manif (avg) ;8.0;
Global Max size of solve for add manif (stddev) ;0.0;
Global Max size of solve for add manif (min) ;8;
Global Max size of solve for add manif (max) ;8;
Nb of solve for add manif (avg) ;2.0;
Nb of solve for add manif (stddev) ;0.0;
Nb of solve for add manif (min) ;2;
Nb of solve for add manif (max) ;2;
Total size of solve for add manif (avg) ;16.0;
Total size of solve for add manif (stddev) ;0.0;
Total size of solve for add manif (min) ;16;
Total size of solve for add manif (max) ;16;
Global Max size of solve for addToTheory (avg) ;3.0;
Global Max size of solve for addToTheory (stddev) ;0.0;
Global Max size of solve for addToTheory (min) ;3;
Global Max size of solve for addToTheory (max) ;3;
Nb of solve for addToTheory (avg) ;5.0;
Nb of solve for addToTheory (stddev) ;0.0;
Nb of solve for addToTheory (min) ;5;
Nb of solve for addToTheory (max) ;5;
Total size of solve for addToTheory (avg) ;13.0;
Total size of solve for addToTheory (stddev) ;0.0;
Total size of solve for addToTheory (min) ;13;
Total size of solve for addToTheory (max) ;13;
Global Max size of solve for hyp (NC) (avg) ;15.0;
Global Max size of solve for hyp (NC) (stddev) ;0.0;
Global Max size of solve for hyp (NC) (min) ;15;
Global Max size of solve for hyp (NC) (max) ;15;
Nb of solve for hyp (NC) (avg) ;3.0;
Nb of solve for hyp (NC) (stddev) ;0.0;
Nb of solve for hyp (NC) (min) ;3;
Nb of solve for hyp (NC) (max) ;3;
Total size of solve for hyp (NC) (avg) ;33.0;
Total size of solve for hyp (NC) (stddev) ;0.0;
Total size of solve for hyp (NC) (min) ;33;
Total size of solve for hyp (NC) (max) ;33;
Global Max size of solve for extended hyp (NC) (avg) ;8.0;
Global Max size of solve for extended hyp (NC) (stddev) ;0.0;
Global Max size of solve for extended hyp (NC) (min) ;8;
Global Max size of solve for extended hyp (NC) (max) ;8;
Nb of solve for extended hyp (NC) (avg) ;7.0;
Nb of solve for extended hyp (NC) (stddev) ;0.0;
Nb of solve for extended hyp (NC) (min) ;7;
Nb of solve for extended hyp (NC) (max) ;7;
Total size of solve for extended hyp (NC) (avg) ;31.0;
Total size of solve for extended hyp (NC) (stddev) ;0.0;
Total size of solve for extended hyp (NC) (min) ;31;
Total size of solve for extended hyp (NC) (max) ;31;
Global Max size of solve for own context (NC) (avg) ;19.0;
Global Max size of solve for own context (NC) (stddev) ;0.0;
Global Max size of solve for own context (NC) (min) ;19;
Global Max size of solve for own context (NC) (max) ;19;
Nb of solve for own context (NC) (avg) ;35.0;
Nb of solve for own context (NC) (stddev) ;0.0;
Nb of solve for own context (NC) (min) ;35;
Nb of solve for own context (NC) (max) ;35;
Total size of solve for own context (NC) (avg) ;272.0;
Total size of solve for own context (NC) (stddev) ;0.0;
Total size of solve for own context (NC) (min) ;272;
Total size of solve for own context (NC) (max) ;272;
Global Max size of solve for external context (NC) (avg) ;19.0;
Global Max size of solve for external context (NC) (stddev) ;0.0;
Global Max size of solve for external context (NC) (min) ;19;
Global Max size of solve for external context (NC) (max) ;19;
Nb of solve for external context (NC) (avg) ;41.0;
Nb of solve for external context (NC) (stddev) ;0.0;
Nb of solve for external context (NC) (min) ;41;
Nb of solve for external context (NC) (max) ;41;
Total size of solve for external context (NC) (avg) ;213.0;
Total size of solve for external context (NC) (stddev) ;0.0;
Total size of solve for external context (NC) (min) ;213;
Total size of solve for external context (NC) (max) ;213;
Global Max size of  sent messages (avg) ;61.0;
Global Max size of  sent messages (stddev) ;0.0;
Global Max size of  sent messages (min) ;61;
Global Max size of  sent messages (max) ;61;
Nb of  sent messages (avg) ;97.0;
Nb of  sent messages (stddev) ;0.0;
Nb of  sent messages (min) ;97;
Nb of  sent messages (max) ;97;
Total size of  sent messages (avg) ;1692.0;
Total size of  sent messages (stddev) ;0.0;
Total size of  sent messages (min) ;1692;
Total size of  sent messages (max) ;1692;
Global Max size of  received messages (avg) ;61.0;
Global Max size of  received messages (stddev) ;0.0;
Global Max size of  received messages (min) ;61;
Global Max size of  received messages (max) ;61;
Nb of  received messages (avg) ;105.0;
Nb of  received messages (stddev) ;0.0;
Nb of  received messages (min) ;105;
Nb of  received messages (max) ;105;
Total size of  received messages (avg) ;1692.0;
Total size of  received messages (stddev) ;0.0;
Total size of  received messages (min) ;1692;
Total size of  received messages (max) ;1692;
Global Max size of  initLocalConv (avg) ;1.0;
Global Max size of  initLocalConv (stddev) ;0.0;
Global Max size of  initLocalConv (min) ;1;
Global Max size of  initLocalConv (max) ;1;
Nb of  initLocalConv (avg) ;4.0;
Nb of  initLocalConv (stddev) ;0.0;
Nb of  initLocalConv (min) ;4;
Nb of  initLocalConv (max) ;4;
Total size of  initLocalConv (avg) ;4.0;
Total size of  initLocalConv (stddev) ;0.0;
Total size of  initLocalConv (min) ;4;
Total size of  initLocalConv (max) ;4;
Global Max size of  acceptLocalConv (avg) ;1.0;
Global Max size of  acceptLocalConv (stddev) ;0.0;
Global Max size of  acceptLocalConv (min) ;1;
Global Max size of  acceptLocalConv (max) ;1;
Nb of  acceptLocalConv (avg) ;4.0;
Nb of  acceptLocalConv (stddev) ;0.0;
Nb of  acceptLocalConv (min) ;4;
Nb of  acceptLocalConv (max) ;4;
Total size of  acceptLocalConv (avg) ;4.0;
Total size of  acceptLocalConv (stddev) ;0.0;
Total size of  acceptLocalConv (min) ;4;
Total size of  acceptLocalConv (max) ;4;
Global Max size of {Started} sent (avg) ;0.0;
Global Max size of {Started} sent (stddev) ;0.0;
Global Max size of {Started} sent (min) ;0;
Global Max size of {Started} sent (max) ;0;
Nb of {Started} sent (avg) ;3.0;
Nb of {Started} sent (stddev) ;0.0;
Nb of {Started} sent (min) ;3;
Nb of {Started} sent (max) ;3;
Total size of {Started} sent (avg) ;0.0;
Total size of {Started} sent (stddev) ;0.0;
