;v0.3.11e1_exEcai-2ag_Inc_Clique_2Summ
Total size of solve for extended hyp (NC) (max) ;14;
Global Max size of solve for own context (NC) (avg) ;10.0;
Global Max size of solve for own context (NC) (stddev) ;0.0;
Global Max size of solve for own context (NC) (min) ;10;
Global Max size of solve for own context (NC) (max) ;10;
Nb of solve for own context (NC) (avg) ;3.0;
Nb of solve for own context (NC) (stddev) ;0.0;
Nb of solve for own context (NC) (min) ;3;
Nb of solve for own context (NC) (max) ;3;
Total size of solve for own context (NC) (avg) ;21.0;
Total size of solve for own context (NC) (stddev) ;0.0;
Total size of solve for own context (NC) (min) ;21;
Total size of solve for own context (NC) (max) ;21;
Global Max size of solve for external context (NC) (avg) ;19.0;
Global Max size of solve for external context (NC) (stddev) ;0.0;
Global Max size of solve for external context (NC) (min) ;19;
Global Max size of solve for external context (NC) (max) ;19;
Nb of solve for external context (NC) (avg) ;18.0;
Nb of solve for external context (NC) (stddev) ;0.0;
Nb of solve for external context (NC) (min) ;18;
Nb of solve for external context (NC) (max) ;18;
Total size of solve for external context (NC) (avg) ;134.0;
Total size of solve for external context (NC) (stddev) ;0.0;
Total size of solve for external context (NC) (min) ;134;
Total size of solve for external context (NC) (max) ;134;
Global Max size of  sent messages (avg) ;53.0;
Global Max size of  sent messages (stddev) ;0.0;
Global Max size of  sent messages (min) ;53;
Global Max size of  sent messages (max) ;53;
Nb of  sent messages (avg) ;31.0;
Nb of  sent messages (stddev) ;0.0;
Nb of  sent messages (min) ;31;
Nb of  sent messages (max) ;31;
Total size of  sent messages (avg) ;408.0;
Total size of  sent messages (stddev) ;0.0;
Total size of  sent messages (min) ;408;
Total size of  sent messages (max) ;408;
Global Max size of  received messages (avg) ;53.0;
Global Max size of  received messages (stddev) ;0.0;
Global Max size of  received messages (min) ;53;
Global Max size of  received messages (max) ;53;
Nb of  received messages (avg) ;36.0;
Nb of  received messages (stddev) ;0.0;
Nb of  received messages (min) ;36;
Nb of  received messages (max) ;36;
Total size of  received messages (avg) ;408.0;
Total size of  received messages (stddev) ;0.0;
Total size of  received messages (min) ;408;
Total size of  received messages (max) ;408;
Global Max size of  initLocalConv (avg) ;1.0;
Global Max size of  initLocalConv (stddev) ;0.0;
Global Max size of  initLocalConv (min) ;1;
Global Max size of  initLocalConv (max) ;1;
Nb of  initLocalConv (avg) ;1.0;
Nb of  initLocalConv (stddev) ;0.0;
Nb of  initLocalConv (min) ;1;
Nb of  initLocalConv (max) ;1;
Total size of  initLocalConv (avg) ;1.0;
