;v0.3.13e10_exEcai-3ag_ECAI-CL_Clique_3Summ
Total size of solve for extended hyp (NC) (min) ;31;
Total size of solve for extended hyp (NC) (max) ;31;
Global Max size of solve for own context (NC) (avg) ;19.0;
Global Max size of solve for own context (NC) (stddev) ;0.0;
Global Max size of solve for own context (NC) (min) ;19;
Global Max size of solve for own context (NC) (max) ;19;
Nb of solve for own context (NC) (avg) ;31.0;
Nb of solve for own context (NC) (stddev) ;0.0;
Nb of solve for own context (NC) (min) ;31;
Nb of solve for own context (NC) (max) ;31;
Total size of solve for own context (NC) (avg) ;237.0;
Total size of solve for own context (NC) (stddev) ;0.0;
Total size of solve for own context (NC) (min) ;237;
Total size of solve for own context (NC) (max) ;237;
Global Max size of solve for external context (NC) (avg) ;19.0;
Global Max size of solve for external context (NC) (stddev) ;0.0;
Global Max size of solve for external context (NC) (min) ;19;
Global Max size of solve for external context (NC) (max) ;19;
Nb of solve for external context (NC) (avg) ;38.0;
Nb of solve for external context (NC) (stddev) ;0.0;
Nb of solve for external context (NC) (min) ;38;
Nb of solve for external context (NC) (max) ;38;
Total size of solve for external context (NC) (avg) ;196.0;
Total size of solve for external context (NC) (stddev) ;0.0;
Total size of solve for external context (NC) (min) ;196;
Total size of solve for external context (NC) (max) ;196;
Global Max size of  sent messages (avg) ;64.0;
Global Max size of  sent messages (stddev) ;0.0;
Global Max size of  sent messages (min) ;64;
Global Max size of  sent messages (max) ;64;
Nb of  sent messages (avg) ;131.0;
Nb of  sent messages (stddev) ;0.0;
Nb of  sent messages (min) ;131;
Nb of  sent messages (max) ;131;
Total size of  sent messages (avg) ;1876.0;
Total size of  sent messages (stddev) ;0.0;
Total size of  sent messages (min) ;1876;
Total size of  sent messages (max) ;1876;
Global Max size of  received messages (avg) ;64.0;
Global Max size of  received messages (stddev) ;0.0;
Global Max size of  received messages (min) ;64;
Global Max size of  received messages (max) ;64;
Nb of  received messages (avg) ;141.0;
Nb of  received messages (stddev) ;0.0;
