;v0.3.1395e1_chain8_ECAI_Circuit_8All
Average of nb of solve for hyp (avg) ;10.875;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;10.875;
Average of nb of solve for hyp (max) ;10.875;
Average of total size of solve for hyp (avg) ;292.625;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;292.625;
Average of total size of solve for hyp (max) ;292.625;
Average of max size of solve for hyp (avg) ;50.0;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;50.0;
Average of max size of solve for hyp (max) ;50.0;
Average of min size of solve for hyp (avg) ;4.25;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;4.25;
Average of min size of solve for hyp (max) ;4.25;
Standard deviation of nb of solve for hyp (avg) ;1.5360257159305635;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;1.5360257159305635;
Standard deviation of nb of solve for hyp (max) ;1.5360257159305635;
Standard deviation of total size of solve for hyp (avg) ;89.83309175910624;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;89.83309175910624;
Standard deviation of total size of solve for hyp (max) ;89.83309175910624;
Standard deviation of max size of solve for hyp (avg) ;11.034038245356955;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;11.034038245356955;
Standard deviation of max size of solve for hyp (max) ;11.034038245356955;
Standard deviation of min size of solve for hyp (avg) ;2.165063509461097;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.165063509461097;
Standard deviation of min size of solve for hyp (max) ;2.165063509461097;
Product of nb of solve for extended hyp (avg) ;1.43327232E8;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;143327232;
Product of nb of solve for extended hyp (max) ;143327232;
Product of total size of solve for extended hyp (avg) ;2.2678497339213993E18;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;2267849733921399296;
Product of total size of solve for extended hyp (max) ;2267849733921399296;
Product of max size of solve for extended hyp (avg) ;2.6742562656768E14;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;267425626567680;
Product of max size of solve for extended hyp (max) ;267425626567680;
Product of min size of solve for extended hyp (avg) ;495616.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;495616;
Product of min size of solve for extended hyp (max) ;495616;
Max of nb of solve for extended hyp (avg) ;12.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;12;
Max of nb of solve for extended hyp (max) ;12;
Max of total size of solve for extended hyp (avg) ;595.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;595;
