,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0-2,+AF8-kmet8,8,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,0,600318,1162,1313,5697,0,0,58,620,350,389,1777,0,0,26,209,24,7,23,0,0,4,2,50,56,272,0,0,4,24
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Async,0,3,600560,28106,33701,471457,0,0,158,26764,8881,13299,163389,0,0,41,11929,1494,1025,6508,0,0,20,617,3608,5992,114588,0,0,26,1256
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-4+AC0-2+AC0-3+AC0-5+AC0-0+AC0-1,0,0,600578,10308,184711,910114,0,0,27,1179,4377,74096,341936,0,0,5,533,12,12,60,0,0,4,27,2287,50904,235040,0,0,4,212
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-5,0,0,600682,16558,34317,446939,0,0,36,3841,9308,13748,196585,0,0,16,1439,151,127,673,0,0,4,36,2034,9091,134227,0,0,4,276
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,0,600854,23522,387218,2662037,0,0,34,4464,13278,179495,1196805,0,0,16,2527,63,60,395,0,0,3,17,13278,179495,1196805,0,0,4,1681
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-5+AC0-4+AC0-2+AC0-3+AC0-0,0,0,600659,3836,53095,320889,0,0,37,1703,2542,46020,285586,0,0,7,530,22,337,1229,0,0,5,110,29,337,1229,0,0,5,171
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-4+AC0-5+AC0-2+AC0-1+AC0-0+AC0-3,0,0,600815,3093,29947,201221,0,0,16,330,1611,23333,151259,0,0,3,205,6,9,38,0,0,2,4,6,9,38,0,0,2,4
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-5+AC0-4+AC0-0+AC0-1+AC0-2,0,0,600742,6793,42673,409604,0,0,23,1129,6073,41179,402779,0,0,4,1030,15,80,282,0,0,3,7,15,80,282,0,0,4,8
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,0,601098,489,335,1780,0,0,36,251,178,106,682,0,0,16,81,9,8,34,0,0,4,7,19,33,127,0,0,4,11
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token,0,0,601011,1082,2376,12672,0,0,18,189,876,1617,9106,0,0,3,83,6,9,38,0,0,3,6,6,9,38,0,0,3,6
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-4,0,0,600984,12172,136468,740311,0,0,46,2025,3116,44894,247004,0,0,21,784,1033,2059,10577,0,0,5,36,1898,25900,139445,0,0,5,340
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld+AC0-1+AC0-2,+AF8-kmet8,8,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,0,600849,15042,35078,372761,0,0,50,12826,14665,34806,371325,0,0,25,12642,0,0,0,0,0,2,0,7,6,28,0,0,4,6
