problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0-4,Mono,1,Solar,0,3,165,46,26,76,0,0,0,0,46,26,76,0,0,0,0,46,26,76,0,0,0,0,46,26,76,0,0,0,0
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0-4,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,16,1046,116,289,1324,0,0,18,103,67,190,696,0,0,9,71,49,99,628,0,0,9,32,49,99,696,0,0,9,71
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0-4,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,16,1048,120,289,1324,0,0,14,87,69,190,696,0,0,8,71,51,99,628,0,0,6,16,51,99,696,0,0,8,71
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0-4,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,16,1043,105,289,1324,0,0,12,87,61,190,696,0,0,7,55,44,99,628,0,0,5,32,44,99,696,0,0,5,55
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0-4,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,16,531201,71462,127004,877215,0,0,54,17017,66211,102344,683368,0,0,27,16144,53,369,2780,0,0,9,166,66211,102344,683368,0,0,9,16144
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0-4,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,6,609443,154929,116207,917938,0,0,650,81126,125955,62331,421111,0,0,228,52872,1319,10507,82261,0,0,52,726,125955,62331,421111,0,0,52,52872
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0-4,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token,0,16,214081,30183,85536,716881,0,0,41,33640,10550,26970,232370,0,0,11,12208,1706,10862,94001,0,0,10,250,9894,26970,181377,0,0,10,11416
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,16,2083,408,2115,15502,0,0,18,177,329,1677,13850,0,0,9,145,79,438,1652,0,0,9,32,329,1677,13850,0,0,9,145
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,16,2050,431,2115,15502,0,0,18,177,363,1677,13850,0,0,9,145,68,438,1652,0,0,9,32,363,1677,13850,0,0,9,145
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,16,1052,439,2115,15502,0,0,14,161,371,1677,13850,0,0,8,145,68,438,1652,0,0,6,16,371,1677,13850,0,0,8,145
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,16,1045,375,2115,15502,0,0,12,161,302,1677,13850,0,0,7,129,73,438,1652,0,0,5,32,302,1677,13850,0,0,5,129
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,0,600211,67470,143837,1151877,0,0,21,23438,44071,92125,714957,0,0,10,13377,2864,8563,77125,0,0,3,68,5812,18639,123306,0,0,3,5059
PUZ008+AC0-3.C1i2+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token,0,0,600249,259,798,6386,0,0,12,161,115,583,4401,0,0,3,68,8,9,50,0,0,3,9,8,9,50,0,0,3,9
PUZ008-3.C1i2_all_ld-1--1;_kmet6;6;DICF-PB-Star-FixedRoot-2;0;0;782528;94199;519104;3492798;0;0;104;63661;43383;459353;2805667;0;0;50;31990;2207;8616;87248;0;0;10;37;43383;459353;2805667;0;0;11;10091
