problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;graph;ccut;init;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
pathwayPb-large_all_ld1-3;_kmet256;256;DCF-PB-Seq-MaxClSize;134;2;600092;88000;8,12;22,3;98,4;2143327;7425580;2;5520;6186;156086;9635;350070;1227124;1;87;90;2799;0;0;0;0;0;1;0;0;0;0;0;0;1;0
pathwayPb-large_all_ld1-3;_kmet64;64;DCF-PB-Seq-MaxClSize;61;0;601689;18391;80,1;25,8;378;307241;1033242;0;296;375;8164;1411;29588;103323;0;67;70;1804;0;0;0;0;0;1;0;0;0;0;0;0;1;0
pathwayPb-large_min-5_ld1-6;_kmet256;256;DCF-PB-Seq-MaxClSize;134;0;1514050;33063;312,6;640,5;21,8;179952;632334;0;10867;11624;529721;2440;4530;16384;0;360;363;26155;0;0;0;0;0;2;2;2;94;205;0;0;2;2
pathwayPb-large_min-5_ld1-6;_kmet64;64;DCF-PB-Seq-MaxClSize;61;0;600001;83251;90;38,9;13,8;1929617;6186005;0;1998;2144;63472;7356;512464;2058346;0;265;268;10090;0;0;0;0;0;1;0;0;0;0;0;0;1;0
pathwayPb-large_min-5_ld1-6;_kmet64;64;DCF-PB-Seq-MaxClSize;61;0;600019;253260;3,8;1,4;0,67;2147037;6630629;0;2729;2887;83963;36919;512464;2058346;0;265;268;10090;0;0;0;0;0;1;0;0;0;0;0;0;1;0
pathwayPb-large_min-5_ld1-6;_kmet256;256;DCF-PB-Seq-MaxClSize;134;0;600013;85120;53,1;150,2;5,8;2410397;7949524;0;3866;4575;122703;13319;1103203;3808184;0;181;184;6917;0;0;0;0;0;1;0;0;0;0;0;0;1;0
pathwayPb-large_all_ld1-3;_kmet64;64;DCF-PB-Seq-MaxClSize;61;1;600034;68823;61;17,8;299,3;1145388;3808886;1;1003;1100;28329;4860;160411;610435;1;108;112;3295;0;0;0;0;0;1;0;0;0;0;0;0;1;0
pathwayPb-large_all_ld1-3;_kmet256;256;DCF-PB-Seq-MaxClSize;134;0;2806607;2682;231,8;487,8;1883,6;0;0;0;0;512;512;13;0;0;0;0;2;2;9;0;0;0;0;2;2;11;0;0;0;0;2;2
